NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGO1	na	0	0.5204532146453857	0.019190254	Yes	
row_1	NUF2	na	1	0.4848828911781311	0.03706895	Yes	
row_2	EME1	na	7	0.4423238933086395	0.0531017	Yes	
row_3	XRCC2	na	13	0.4235908091068268	0.06844372	Yes	
row_4	RAD54L	na	14	0.4208837151527405	0.08396263	Yes	
row_5	SMC1B	na	15	0.41244080662727356	0.09917023	Yes	
row_6	CCNE1	na	20	0.4082704782485962	0.1140027	Yes	
row_7	TDRKH	na	26	0.3956996500492096	0.12831631	Yes	
row_8	MEIOC	na	43	0.3778229057788849	0.14136203	Yes	
row_9	AURKA	na	46	0.3756858706474304	0.1551037	Yes	
row_10	TTK	na	49	0.3734489977359772	0.1687629	Yes	
row_11	FIGNL1	na	51	0.3728753924369812	0.1824563	Yes	
row_12	NEK2	na	57	0.37076812982559204	0.19585064	Yes	
row_13	TRIP13	na	59	0.368221640586853	0.20937243	Yes	
row_14	PSMC3IP	na	60	0.3680493235588074	0.22294322	Yes	
row_15	CDC25C	na	66	0.3632694482803345	0.23606107	Yes	
row_16	ESPL1	na	74	0.3543851673603058	0.24874064	Yes	
row_17	NCAPH	na	79	0.3498130738735199	0.26141766	Yes	
row_18	MNS1	na	90	0.3439474105834961	0.27354634	Yes	
row_19	BUB1	na	91	0.3433838486671448	0.28620768	Yes	
row_20	BRIP1	na	110	0.32955360412597656	0.2973629	Yes	
row_21	BRCA2	na	113	0.3268110156059265	0.30930245	Yes	
row_22	RMI1	na	114	0.32679498195648193	0.3213521	Yes	
row_23	TOP2A	na	138	0.31734612584114075	0.33178052	Yes	
row_24	CDC25A	na	153	0.31257301568984985	0.34253103	Yes	
row_25	SGO2	na	198	0.29669272899627686	0.35103574	Yes	
row_26	BUB1B	na	229	0.2895878255367279	0.36005327	Yes	
row_27	RAD51	na	236	0.2874767780303955	0.37032115	Yes	
row_28	FANCD2	na	251	0.2839699685573578	0.38001698	Yes	
row_29	EXO1	na	257	0.2825232148170471	0.39015752	Yes	
row_30	MASTL	na	276	0.2790234088897705	0.39944962	Yes	
row_31	CDC20	na	351	0.2623608410358429	0.40502822	Yes	
row_32	MCMDC2	na	355	0.26196643710136414	0.4145215	Yes	
row_33	ASPM	na	358	0.26158252358436584	0.42405593	Yes	
row_34	KIF18A	na	383	0.2572842836380005	0.4322144	Yes	
row_35	CDK2	na	386	0.25665751099586487	0.44156724	Yes	
row_36	PLK1	na	434	0.24873705208301544	0.44813773	Yes	
row_37	CKS2	na	490	0.24012599885463715	0.453948	Yes	
row_38	SMC2	na	495	0.23919431865215302	0.46254626	Yes	
row_39	CCNE2	na	520	0.236044242978096	0.46992156	Yes	
row_40	FANCA	na	592	0.22716479003429413	0.47436845	Yes	
row_41	FBXO5	na	596	0.22693884372711182	0.48257017	Yes	
row_42	FBXO43	na	598	0.22691652178764343	0.49088174	Yes	
row_43	DMC1	na	612	0.2253018170595169	0.49846968	Yes	
row_44	SMC4	na	703	0.21663060784339905	0.5014767	Yes	
row_45	RAD51C	na	731	0.2149139791727066	0.50790685	Yes	
row_46	RAD54B	na	760	0.21134556829929352	0.5141501	Yes	
row_47	MYBL1	na	859	0.20277535915374756	0.5162035	Yes	
row_48	SYCE2	na	870	0.20215168595314026	0.5231039	Yes	
row_49	WBP2NL	na	893	0.19980080425739288	0.5292535	Yes	
row_50	HFM1	na	914	0.19755251705646515	0.5354309	Yes	
row_51	MND1	na	926	0.19598455727100372	0.5420485	Yes	
row_52	RAD51D	na	1031	0.18786120414733887	0.54322	Yes	
row_53	MSH6	na	1089	0.18334126472473145	0.54682577	Yes	
row_54	TDRD12	na	1162	0.17857539653778076	0.5494257	Yes	
row_55	RAD1	na	1192	0.17725102603435516	0.5543565	Yes	
row_56	SYCP2	na	1218	0.17538927495479584	0.55943996	Yes	
row_57	PTTG1	na	1232	0.174512580037117	0.5651552	Yes	
row_58	NDC1	na	1284	0.1721530556678772	0.5686805	Yes	
row_59	OSGIN2	na	1457	0.16317643225193024	0.56517863	Yes	
row_60	PLD6	na	1468	0.16270864009857178	0.5706247	Yes	
row_61	NCAPD3	na	1487	0.16171927750110626	0.5755915	Yes	
row_62	C11orf80	na	1630	0.15616650879383087	0.5734914	Yes	
row_63	CCNB3	na	1637	0.1558481603860855	0.5789058	Yes	
row_64	CENPX	na	1677	0.15408921241760254	0.5824291	Yes	
row_65	CDC25B	na	1691	0.15350104868412018	0.5873696	Yes	
row_66	MSH5	na	1725	0.1519148349761963	0.5911448	Yes	
row_67	NCAPD2	na	1851	0.14568667113780975	0.5895991	Yes	
row_68	STAG2	na	1894	0.14356008172035217	0.59256816	Yes	
row_69	SMC1A	na	2137	0.13341383635997772	0.58409506	No	
row_70	FANCM	na	2141	0.13328471779823303	0.5888435	No	
row_71	SUN1	na	2217	0.13049869239330292	0.5895048	No	
row_72	TOP3A	na	2307	0.12723657488822937	0.589271	No	
row_73	TEX14	na	2465	0.12163172662258148	0.5850674	No	
row_74	RAD21	na	2499	0.12061972171068192	0.5876887	No	
row_75	HUS1	na	2521	0.11975929141044617	0.5909423	No	
row_76	STAG3	na	2661	0.1147310808300972	0.58748037	No	
