NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGO1	na	0	0.5204532146453857	0.016499888	Yes	
row_1	NUF2	na	1	0.4848828911781311	0.031872094	Yes	
row_2	KIF18B	na	29	0.3942987620830536	0.0428731	Yes	
row_3	DSCC1	na	31	0.39006465673446655	0.055183757	Yes	
row_4	AURKA	na	46	0.3756858706474304	0.06631662	Yes	
row_5	SPAG5	na	47	0.3746994733810425	0.07819569	Yes	
row_6	TTK	na	49	0.3734489977359772	0.08997958	Yes	
row_7	MYBL2	na	56	0.37143510580062866	0.10142196	Yes	
row_8	NEK2	na	57	0.37076812982559204	0.11317639	Yes	
row_9	TRIP13	na	59	0.368221640586853	0.12479456	Yes	
row_10	CDC25C	na	66	0.3632694482803345	0.13597806	Yes	
row_11	UBE2C	na	68	0.3611384630203247	0.14737168	Yes	
row_12	ESPL1	na	74	0.3543851673603058	0.15832905	Yes	
row_13	TPX2	na	78	0.3506922721862793	0.16928042	Yes	
row_14	NCAPH	na	79	0.3498130738735199	0.18037051	Yes	
row_15	KIF4A	na	88	0.34481796622276306	0.19085798	Yes	
row_16	BUB1	na	91	0.3433838486671448	0.20163319	Yes	
row_17	HASPIN	na	101	0.33657410740852356	0.21180376	Yes	
row_18	MTBP	na	104	0.3319172263145447	0.22221544	Yes	
row_19	CDC6	na	107	0.3302302956581116	0.23257364	Yes	
row_20	MAD2L1	na	109	0.32974255084991455	0.24297191	Yes	
row_21	CDCA8	na	140	0.3166016638278961	0.2513431	Yes	
row_22	NDC80	na	147	0.3155629634857178	0.26101416	Yes	
row_23	CDCA5	na	148	0.3153299391269684	0.27101102	Yes	
row_24	BIRC5	na	170	0.3059920370578766	0.27954566	Yes	
row_25	ANLN	na	187	0.3000594973564148	0.2881699	Yes	
row_26	KIF2C	na	189	0.2991792559623718	0.2975992	Yes	
row_27	CCSAP	na	200	0.29608941078186035	0.30643076	Yes	
row_28	KIF14	na	205	0.2946458160877228	0.31554976	Yes	
row_29	AURKB	na	206	0.2945592999458313	0.32488817	Yes	
row_30	DSN1	na	208	0.2941659986972809	0.33415854	Yes	
row_31	KIF23	na	225	0.2900671660900116	0.34246597	Yes	
row_32	BUB1B	na	229	0.2895878255367279	0.35148016	Yes	
row_33	UBE2S	na	238	0.28709179162979126	0.36013752	Yes	
row_34	CENPF	na	275	0.27914825081825256	0.36698812	Yes	
row_35	KNSTRN	na	284	0.27672651410102844	0.3753169	Yes	
row_36	NCAPG	na	306	0.2723560929298401	0.38278517	Yes	
row_37	CENPE	na	344	0.2649793028831482	0.38913104	Yes	
row_38	CDC20	na	351	0.2623608410358429	0.39711544	Yes	
row_39	RACGAP1	na	359	0.26126712560653687	0.40500963	Yes	
row_40	CHEK1	na	373	0.25816279649734497	0.4124722	Yes	
row_41	KIF18A	na	383	0.2572842836380005	0.42012906	Yes	
row_42	KIFC1	na	396	0.2545696794986725	0.42753327	Yes	
row_43	GEN1	na	428	0.24938759207725525	0.43371803	Yes	
row_44	PLK1	na	434	0.24873705208301544	0.44132605	Yes	
row_45	PRC1	na	442	0.247090145945549	0.4487708	Yes	
row_46	SMC2	na	495	0.23919431865215302	0.45346618	Yes	
row_47	CEP85	na	513	0.23696917295455933	0.46003473	Yes	
row_48	KNTC1	na	529	0.2347143590450287	0.46664283	Yes	
row_49	BORA	na	532	0.23435279726982117	0.47396144	Yes	
row_50	NUSAP1	na	576	0.22878915071487427	0.47882676	Yes	
row_51	FBXO5	na	596	0.22693884372711182	0.48496625	Yes	
row_52	ZWINT	na	610	0.22577328979969025	0.49140197	Yes	
row_53	KIF20B	na	615	0.22513681650161743	0.49831733	Yes	
