NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOBEC3B	na	499	0.2383251190185547	0.007409974	No	
row_1	MORC2	na	2505	0.12047182768583298	-0.085229196	No	
row_2	PTX3	na	3030	0.10495356470346451	-0.09869684	No	
row_3	TRIM6	na	3190	0.10106856375932693	-0.0926611	No	
row_4	SETDB1	na	4418	0.07206282764673233	-0.14959659	No	
row_5	EIF2AK2	na	4948	0.06202958524227142	-0.16961594	No	
row_6	SRPK2	na	5088	0.05970345437526703	-0.16852918	No	
row_7	CCNK	na	5289	0.05629491060972214	-0.17129529	No	
row_8	ILF3	na	5452	0.053436439484357834	-0.17238973	No	
row_9	TNF	na	6000	0.04481460526585579	-0.19591625	No	
row_10	PROX1	na	6358	0.03880330175161362	-0.20987363	No	
row_11	PLSCR1	na	6522	0.036039143800735474	-0.21356708	No	
row_12	TASOR	na	6576	0.035170722752809525	-0.21133856	No	
row_13	TRIM32	na	6689	0.03347843140363693	-0.21260196	No	
row_14	HMGA2	na	6788	0.03189031407237053	-0.2133277	No	
row_15	CCL8	na	6885	0.030419768765568733	-0.2141585	No	
row_16	SRPK1	na	7218	0.02548019029200077	-0.22868936	No	
row_17	CHMP3	na	7470	0.021791929379105568	-0.23930532	No	
row_18	MID2	na	7660	0.018752489238977432	-0.24695633	No	
row_19	VAPA	na	7835	0.016112476587295532	-0.25416854	No	
row_20	RESF1	na	7836	0.016100767999887466	-0.25181413	No	
row_21	MAVS	na	7858	0.015900108963251114	-0.25064388	No	
row_22	TRIM28	na	8015	0.013723501935601234	-0.2572156	No	
row_23	MPHOSPH8	na	8056	0.013037033379077911	-0.25750878	No	
row_24	RSAD2	na	8587	0.005314656067639589	-0.28587654	No	
row_25	BANF1	na	8602	0.005159950815141201	-0.28589186	No	
row_26	TRIM25	na	9275	-0.003383927745744586	-0.32235056	No	
row_27	APOBEC3F	na	9298	-0.003765840781852603	-0.32300967	No	
row_28	TRIM11	na	9835	-0.010769836604595184	-0.35090965	No	
row_29	LTF	na	10034	-0.013124512508511543	-0.35987857	No	
row_30	FAM111A	na	10598	-0.020135149359703064	-0.3878938	No	
row_31	EIF2AK4	na	10676	-0.02125203050673008	-0.38902038	No	
row_32	SNX3	na	11143	-0.02743373066186905	-0.41063428	No	
row_33	AEN	na	12079	-0.040289655327796936	-0.45615873	No	
row_34	TRIM27	na	12336	-0.04388584569096565	-0.46381885	No	
row_35	INPP5K	na	12855	-0.0518343560397625	-0.48472416	No	
row_36	GSN	na	13194	-0.05728660896420479	-0.4949339	No	
row_37	ISG15	na	13286	-0.05850355699658394	-0.4913831	No	
row_38	MX1	na	13483	-0.06176555156707764	-0.49312925	No	
row_39	CCL5	na	13557	-0.06305122375488281	-0.4879236	No	
row_40	TRIM26	na	13600	-0.06365121901035309	-0.4809255	No	
row_41	OAS3	na	14125	-0.07309277355670929	-0.49905214	No	
row_42	IFIT1	na	14146	-0.07349495589733124	-0.48940483	No	
row_43	APOBEC3A	na	14213	-0.07478734105825424	-0.48209807	No	
row_44	ZC3HAV1	na	14266	-0.07583726197481155	-0.47386792	No	
row_45	FCN3	na	14925	-0.08933538943529129	-0.49698812	No	
row_46	FCN1	na	15531	-0.10295025259256363	-0.51520294	Yes	
row_47	ZC3H12A	na	15539	-0.10332319140434265	-0.500479	Yes	
row_48	APOBEC3G	na	15586	-0.1042778491973877	-0.48776	Yes	
row_49	TNIP1	na	15592	-0.10442140698432922	-0.47276548	Yes	
row_50	PARP10	na	15871	-0.11152185499668121	-0.471745	Yes	
row_51	APOBEC3C	na	15954	-0.11369115859270096	-0.4596292	Yes	
row_52	TRIM8	na	16018	-0.11569161713123322	-0.44617608	Yes	
row_53	IFITM1	na	16101	-0.11786364018917084	-0.43345013	Yes	
row_54	OASL	na	16217	-0.12150818109512329	-0.42200595	Yes	
row_55	APOBEC3H	na	16429	-0.1282368004322052	-0.4148569	Yes	
row_56	TRIM31	na	16509	-0.1304396688938141	-0.40012702	Yes	
row_57	PRKN	na	16738	-0.13929422199726105	-0.3922959	Yes	
row_58	BST2	na	16839	-0.14354318380355835	-0.37680468	Yes	
row_59	OAS1	na	16995	-0.15046505630016327	-0.36332574	Yes	
row_60	TRIM35	na	17074	-0.15374208986759186	-0.34513336	Yes	
row_61	TRIM13	na	17184	-0.15887677669525146	-0.32789484	Yes	
row_62	RNASEL	na	17229	-0.1612766683101654	-0.306731	Yes	
row_63	IFIT5	na	17288	-0.16482320427894592	-0.2858184	Yes	
row_64	IFITM3	na	17294	-0.1650446653366089	-0.26195896	Yes	
row_65	ISG20	na	17325	-0.16683337092399597	-0.2392127	Yes	
row_66	TRIM5	na	17610	-0.18799127638339996	-0.22734009	Yes	
row_67	PML	na	17727	-0.19734220206737518	-0.20486172	Yes	
row_68	SHFL	na	17760	-0.2004958838224411	-0.17730299	Yes	
row_69	APOBEC3D	na	17813	-0.20646703243255615	-0.1499709	Yes	
row_70	OAS2	na	17849	-0.21041135489940643	-0.12112722	Yes	
row_71	SLPI	na	17886	-0.21430820226669312	-0.09176868	Yes	
row_72	IFI16	na	18089	-0.24568615853786469	-0.066950165	Yes	
row_73	IFITM2	na	18106	-0.25024279952049255	-0.03123712	Yes	
row_74	TRIM21	na	18160	-0.2707778215408325	0.0054441052	Yes	
