NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPA	na	25	0.3957374691963196	0.023115741	Yes	
row_1	CENPI	na	39	0.3791094422340393	0.045864422	Yes	
row_2	CENPL	na	44	0.37585774064064026	0.06890846	Yes	
row_3	CENPO	na	118	0.32642969489097595	0.08508549	Yes	
row_4	MIS18A	na	163	0.3072768449783325	0.10167726	Yes	
row_5	HJURP	na	169	0.30605441331863403	0.12034545	Yes	
row_6	CHAF1B	na	240	0.2864115834236145	0.13421099	Yes	
row_7	OIP5	na	244	0.2854926586151123	0.15171681	Yes	
row_8	H3C8	na	263	0.281548410654068	0.16815077	Yes	
row_9	MCM2	na	273	0.2796883285045624	0.18496624	Yes	
row_10	H3C10	na	333	0.26709479093551636	0.1982431	Yes	
row_11	ASF1B	na	416	0.25093522667884827	0.20925055	Yes	
row_12	CENPU	na	437	0.24796783924102783	0.22349559	Yes	
row_13	H2BC13	na	463	0.2440875619649887	0.23722453	Yes	
row_14	CENPP	na	464	0.24400019645690918	0.25232762	Yes	
row_15	H2BW1	na	473	0.24298614263534546	0.26692647	Yes	
row_16	H2BC15	na	474	0.24269798398017883	0.28194892	Yes	
row_17	H2BC19P	na	479	0.2421148121356964	0.29671457	Yes	
row_18	H2BC11	na	485	0.24080941081047058	0.31134424	Yes	
row_19	H4C8	na	503	0.23812833428382874	0.32514578	Yes	
row_20	H4C4	na	504	0.23812079429626465	0.33988494	Yes	
row_21	H2BU1	na	514	0.23672239482402802	0.3540409	Yes	
row_22	H2BC7	na	533	0.23426170647144318	0.36754793	Yes	
row_23	H2BC17	na	564	0.23006151616573334	0.38013276	Yes	
row_24	CENPN	na	600	0.22689543664455414	0.39224574	Yes	
row_25	H4C14	na	607	0.2265474796295166	0.40593746	Yes	
row_26	H2BC21	na	633	0.22350002825260162	0.41839206	Yes	
row_27	CENPM	na	674	0.21888934075832367	0.42973357	Yes	
row_28	KNL1	na	739	0.21392250061035156	0.4394433	Yes	
row_29	H2AW	na	792	0.20823417603969574	0.4494631	Yes	
row_30	H4C12	na	830	0.20459076762199402	0.4600851	Yes	
row_31	H4C9	na	848	0.2032838612794876	0.47172984	Yes	
row_32	CENPH	na	908	0.19866546988487244	0.48077106	Yes	
row_33	NAP1L2	na	924	0.19607999920845032	0.49208027	Yes	
row_34	H1-2	na	949	0.19368579983711243	0.5027446	Yes	
row_35	CENPK	na	954	0.19339574873447418	0.51449466	Yes	
row_36	HMGB2	na	1000	0.19008585810661316	0.5237774	Yes	
row_37	H2BC12	na	1061	0.18572835624217987	0.5319627	Yes	
row_38	H1-3	na	1086	0.1836034208536148	0.542003	Yes	
row_39	H4C5	na	1130	0.1805599480867386	0.55080646	Yes	
row_40	H2BC18	na	1187	0.17744296789169312	0.5586996	Yes	
row_41	H1-5	na	1368	0.16756018996238708	0.55913854	Yes	
row_42	CENPQ	na	1394	0.1661854088306427	0.5680455	Yes	
row_43	ITGB3BP	na	1600	0.15696433186531067	0.56644905	Yes	
row_44	H1-4	na	1604	0.15688727796077728	0.5759945	Yes	
row_45	CENPX	na	1677	0.15408921241760254	0.5815592	Yes	
row_46	CHAF1A	na	1684	0.15382060408592224	0.59074926	Yes	
row_47	ANP32E	na	1797	0.1487359255552292	0.59377533	Yes	
row_48	H2BC4	na	1826	0.14681144058704376	0.6013176	Yes	
row_49	H3C4	na	1866	0.1450657993555069	0.60814476	Yes	
row_50	H2BC5	na	1885	0.1441037654876709	0.61607116	Yes	
row_51	RUVBL1	na	2085	0.13556717336177826	0.61348134	Yes	
row_52	H1-0	na	2104	0.1347070336341858	0.6208262	Yes	
row_53	MIS18BP1	na	2225	0.130059152841568	0.6222547	Yes	
row_54	H1-10	na	2339	0.12617194652557373	0.623829	Yes	
row_55	TSPYL5	na	2598	0.11696512997150421	0.6168321	Yes	
row_56	CENPW	na	2735	0.11264147609472275	0.6162996	Yes	
row_57	H2BC6	na	3064	0.10391809791326523	0.6046324	Yes	
row_58	VPS72	na	3179	0.10136313736438751	0.60461587	Yes	
row_59	RBBP7	na	3193	0.10103650391101837	0.6101524	Yes	
row_60	SMARCA1	na	3222	0.10018891841173172	0.6148088	Yes	
row_61	NASP	na	3224	0.10016929358243942	0.62095386	Yes	
row_62	H2AX	na	3267	0.09879806637763977	0.6247516	Yes	
row_63	CENPS	na	3747	0.0865565687417984	0.60367733	No	
row_64	TSPY26P	na	3781	0.08586431294679642	0.6071712	No	
row_65	H2BC8	na	3851	0.08386153727769852	0.6085545	No	
row_66	CHD5	na	3867	0.08355052769184113	0.61289835	No	
row_67	POLE3	na	3997	0.08106306195259094	0.6107976	No	
row_68	H3C6	na	4264	0.07488985359668732	0.6007548	No	
row_69	H4-16	na	4463	0.0712069422006607	0.5942364	No	
row_70	HAT1	na	4474	0.0710969790816307	0.59808534	No	
row_71	SHPRH	na	4795	0.06521172821521759	0.5844637	No	
row_72	PAF1	na	4808	0.06495783478021622	0.58782226	No	
row_73	H2BC9	na	4893	0.06323793530464172	0.5871013	No	
row_74	ACTR6	na	4908	0.06284875422716141	0.59021896	No	
row_75	SMARCA4	na	5332	0.05535835027694702	0.57030374	No	
row_76	SMARCE1	na	5473	0.053041137754917145	0.56586146	No	
row_77	HP1BP3	na	5814	0.04749958589673042	0.5500398	No	
row_78	SMARCC1	na	5883	0.046445585787296295	0.5491624	No	
row_79	RBBP4	na	5989	0.04505856707692146	0.5461573	No	
row_80	SMARCC2	na	6078	0.04341055080294609	0.54398835	No	
row_81	TSPYL2	na	6095	0.04307142645120621	0.5457715	No	
row_82	SMARCD2	na	6110	0.04282190278172493	0.5476495	No	
