NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGO1	na	0	0.5204532146453857	0.010496972	Yes	
row_1	NUF2	na	1	0.4848828911781311	0.02027653	Yes	
row_2	MTFR2	na	4	0.45481443405151367	0.02933765	Yes	
row_3	EME1	na	7	0.4423238933086395	0.03814685	Yes	
row_4	RAD54L	na	14	0.4208837151527405	0.04629965	Yes	
row_5	CCNE1	na	20	0.4082704782485962	0.054254048	Yes	
row_6	TDRKH	na	26	0.3956996500492096	0.061954908	Yes	
row_7	KIF18B	na	29	0.3942987620830536	0.06979549	Yes	
row_8	DSCC1	na	31	0.39006465673446655	0.07760668	Yes	
row_9	MEIOC	na	43	0.3778229057788849	0.08461101	Yes	
row_10	AURKA	na	46	0.3756858706474304	0.0920762	Yes	
row_11	SPAG5	na	47	0.3746994733810425	0.09963348	Yes	
row_12	TTK	na	49	0.3734489977359772	0.10710954	Yes	
row_13	FIGNL1	na	51	0.3728753924369812	0.11457404	Yes	
row_14	MYBL2	na	56	0.37143510580062866	0.1218415	Yes	
row_15	NEK2	na	57	0.37076812982559204	0.12931949	Yes	
row_16	TRIP13	na	59	0.368221640586853	0.13669012	Yes	
row_17	PSMC3IP	na	60	0.3680493235588074	0.14411327	Yes	
row_18	CDC25C	na	66	0.3632694482803345	0.15116005	Yes	
row_19	UBE2C	na	68	0.3611384630203247	0.15838782	Yes	
row_20	ESPL1	na	74	0.3543851673603058	0.16525541	Yes	
row_21	TPX2	na	78	0.3506922721862793	0.1721605	Yes	
row_22	NCAPH	na	79	0.3498130738735199	0.17921585	Yes	
row_23	KIF4A	na	88	0.34481796622276306	0.1857225	Yes	
row_24	BUB1	na	91	0.3433838486671448	0.19253619	Yes	
row_25	HASPIN	na	101	0.33657410740852356	0.19882058	Yes	
row_26	MTBP	na	104	0.3319172263145447	0.205403	Yes	
row_27	CDC6	na	107	0.3302302956581116	0.21195139	Yes	
row_28	MAD2L1	na	109	0.32974255084991455	0.21854594	Yes	
row_29	BRIP1	na	110	0.32955360412597656	0.22519268	Yes	
row_30	BRCA2	na	113	0.3268110156059265	0.23167211	Yes	
row_31	RMI1	na	114	0.32679498195648193	0.2382632	Yes	
row_32	TOP2A	na	138	0.31734612584114075	0.24337587	Yes	
row_33	CDCA8	na	140	0.3166016638278961	0.24970537	Yes	
row_34	NDC80	na	147	0.3155629634857178	0.25573397	Yes	
row_35	CDCA5	na	148	0.3153299391269684	0.26209384	Yes	
row_36	BIRC5	na	170	0.3059920370578766	0.2670895	Yes	
row_37	ANLN	na	187	0.3000594973564148	0.27224544	Yes	
row_38	KIF2C	na	189	0.2991792559623718	0.27822357	Yes	
row_39	SGO2	na	198	0.29669272899627686	0.2837596	Yes	
row_40	CCSAP	na	200	0.29608941078186035	0.28967538	Yes	
row_41	KIF14	na	205	0.2946458160877228	0.2953941	Yes	
row_42	AURKB	na	206	0.2945592999458313	0.30133504	Yes	
row_43	DSN1	na	208	0.2941659986972809	0.30721205	Yes	
row_44	KIF23	na	225	0.2900671660900116	0.31216648	Yes	
row_45	BUB1B	na	229	0.2895878255367279	0.31783918	Yes	
row_46	RAD51	na	236	0.2874767780303955	0.3233013	Yes	
row_47	UBE2S	na	238	0.28709179162979126	0.3290356	Yes	
row_48	FANCD2	na	251	0.2839699685573578	0.33409107	Yes	
row_49	CENPF	na	275	0.27914825081825256	0.3384333	Yes	
row_50	MASTL	na	276	0.2790234088897705	0.3440609	Yes	
row_51	KNSTRN	na	284	0.27672651410102844	0.34925023	Yes	
row_52	NCAPG	na	306	0.2723560929298401	0.35356745	Yes	
row_53	CENPE	na	344	0.2649793028831482	0.35684	Yes	
row_54	CDC20	na	351	0.2623608410358429	0.36179557	Yes	
row_55	MCMDC2	na	355	0.26196643710136414	0.36691117	Yes	
row_56	ASPM	na	358	0.26158252358436584	0.37207502	Yes	
row_57	RACGAP1	na	359	0.26126712560653687	0.3773445	Yes	
row_58	CHEK1	na	373	0.25816279649734497	0.38182342	Yes	
row_59	KIF18A	na	383	0.2572842836380005	0.3865086	Yes	
row_60	KIFC1	na	396	0.2545696794986725	0.3909711	Yes	
row_61	GEN1	na	428	0.24938759207725525	0.39426515	Yes	
row_62	PLK1	na	434	0.24873705208301544	0.39900193	Yes	
row_63	PRC1	na	442	0.247090145945549	0.4035935	Yes	
row_64	DNM1	na	446	0.24661341309547424	0.40839943	Yes	
row_65	CKS2	na	490	0.24012599885463715	0.4108348	Yes	
row_66	SMC2	na	495	0.23919431865215302	0.41543508	Yes	
row_67	CEP85	na	513	0.23696917295455933	0.4192626	Yes	
row_68	CCNE2	na	520	0.236044242978096	0.4236874	Yes	
row_69	KNTC1	na	529	0.2347143590450287	0.42797336	Yes	
row_70	BORA	na	532	0.23435279726982117	0.432588	Yes	
row_71	NUSAP1	na	576	0.22878915071487427	0.4347947	Yes	
