NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIM6	na	3190	0.10106856375932693	-0.12379902	No	
row_1	DTX3L	na	7726	0.0175626277923584	-0.36359817	No	
row_2	MAVS	na	7858	0.015900108963251114	-0.362738	No	
row_3	CGAS	na	7870	0.015700677409768105	-0.3553984	No	
row_4	TRIM44	na	8641	0.004689814057201147	-0.39525002	No	
row_5	PARP9	na	9180	-0.002298998646438122	-0.42358908	No	
row_6	APOBEC3F	na	9298	-0.003765840781852603	-0.42809984	No	
row_7	IL23A	na	9615	-0.008010445162653923	-0.4413758	No	
row_8	EIF2AK4	na	10676	-0.02125203050673008	-0.48875135	No	
row_9	SELENOK	na	10832	-0.023430846631526947	-0.48539758	No	
row_10	STAT1	na	11647	-0.034096501767635345	-0.51278543	No	
row_11	PQBP1	na	12532	-0.047042302787303925	-0.5374627	No	
row_12	SIN3A	na	12628	-0.04838529974222183	-0.5181945	No	
row_13	ERCC6	na	14967	-0.09020249545574188	-0.60076976	Yes	
row_14	DDX58	na	15333	-0.09802529215812683	-0.571195	Yes	
row_15	ZC3H12A	na	15539	-0.10332319140434265	-0.5301662	Yes	
row_16	APOBEC3G	na	15586	-0.1042778491973877	-0.47993547	Yes	
row_17	IL27	na	15992	-0.11499644070863724	-0.4439686	Yes	
row_18	LILRB1	na	16175	-0.12030539661645889	-0.39308742	Yes	
row_19	IL12RB1	na	16506	-0.13028301298618317	-0.34527448	Yes	
row_20	TRAF3IP2	na	16872	-0.14477987587451935	-0.29204696	Yes	
row_21	PYCARD	na	17793	-0.20497162640094757	-0.2388033	Yes	
row_22	AIM2	na	17869	-0.21236400306224823	-0.13548298	Yes	
row_23	STING1	na	18230	-0.30997687578201294	0.0015904122	Yes	
