NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FFAR2	na	8327	0.009179314598441124	-0.4511989	No	
row_1	F2R	na	10146	-0.014477861113846302	-0.5426409	No	
row_2	CD244	na	11069	-0.02638944424688816	-0.5782256	No	
row_3	HYAL2	na	11766	-0.03590204566717148	-0.59603447	No	
row_4	CD14	na	11859	-0.0370759554207325	-0.58007336	No	
row_5	FCN1	na	15531	-0.10295025259256363	-0.7229576	Yes	
row_6	TLR1	na	15696	-0.10713429749011993	-0.6712546	Yes	
row_7	CD2	na	16935	-0.14798612892627716	-0.65527433	Yes	
row_8	TLR2	na	16994	-0.15045392513275146	-0.5732208	Yes	
row_9	F2RL1	na	17292	-0.16496600210666656	-0.49604565	Yes	
row_10	CD58	na	17324	-0.16676580905914307	-0.40327156	Yes	
row_11	LGALS9	na	17327	-0.16688837110996246	-0.30883855	Yes	
row_12	PYCARD	na	17793	-0.20497162640094757	-0.21820812	Yes	
row_13	WNT5A	na	17892	-0.21456342935562134	-0.10202881	Yes	
row_14	TLR4	na	17903	-0.21551397442817688	0.019512225	Yes	
