NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XCL1	na	1377	0.16710948944091797	-0.065214396	No	
row_1	DAPK1	na	1573	0.15827563405036926	-0.06561781	No	
row_2	MID1	na	2213	0.13060782849788666	-0.09239945	No	
row_3	CAMK2B	na	2404	0.12355564534664154	-0.094804205	No	
row_4	STXBP4	na	2430	0.12272120267152786	-0.088135585	No	
row_5	MED1	na	2759	0.1119365468621254	-0.0989371	No	
row_6	SLC26A6	na	2936	0.10739238560199738	-0.10162782	No	
row_7	STXBP1	na	3502	0.09233476966619492	-0.1268267	No	
row_8	PPARG	na	3537	0.09165366739034653	-0.1226943	No	
row_9	MRC1	na	4300	0.07416793704032898	-0.15998353	No	
row_10	CCL11	na	4342	0.07326841354370117	-0.15744463	No	
row_11	CCL7	na	4448	0.07151610404253006	-0.1585613	No	
row_12	CYP27B1	na	4801	0.06505672633647919	-0.17376631	No	
row_13	XCL2	na	4859	0.06383689492940903	-0.17273135	No	
row_14	RAB43	na	4957	0.061869554221630096	-0.17403837	No	
row_15	KIF16B	na	5012	0.060851629823446274	-0.17303331	No	
row_16	CCL18	na	5222	0.057469453662633896	-0.18082507	No	
row_17	SLC11A1	na	5490	0.052773501724004745	-0.19213359	No	
row_18	EPRS1	na	5692	0.04962649196386337	-0.19999734	No	
row_19	KIF5B	na	5847	0.04712164029479027	-0.2054253	No	
row_20	ICAM1	na	5912	0.04605993628501892	-0.20594394	No	
row_21	RAB12	na	5995	0.044920776039361954	-0.20753312	No	
row_22	CAMK2G	na	6224	0.041013412177562714	-0.21745566	No	
row_23	CCL13	na	6275	0.040288735181093216	-0.21757844	No	
row_24	ACTR2	na	6294	0.03996569663286209	-0.21595211	No	
row_25	CITED1	na	6304	0.03970139101147652	-0.21384522	No	
row_26	CCL23	na	6407	0.03795303404331207	-0.21699798	No	
row_27	CCL24	na	6621	0.03448303043842316	-0.22651915	No	
row_28	HLA-DQA2	na	6638	0.03418910503387451	-0.22516118	No	
row_29	RPS6KB1	na	6681	0.03367893397808075	-0.22527504	No	
row_30	CCL2	na	6778	0.03213479369878769	-0.22847761	No	
row_31	CCL21	na	6816	0.03144221752882004	-0.22846162	No	
row_32	SEC61A1	na	6860	0.030779831111431122	-0.22882101	No	
row_33	CCL8	na	6885	0.030419768765568733	-0.22815292	No	
row_34	SUMO1	na	6935	0.029639964923262596	-0.22891903	No	
row_35	GBP7	na	7021	0.028221337124705315	-0.23176982	No	
row_36	CCL26	na	7062	0.02771395817399025	-0.2321644	No	
row_37	ADAMTS13	na	7281	0.024389376863837242	-0.24262442	No	
row_38	IRF5	na	7456	0.02198985405266285	-0.2508077	No	
row_39	STXBP2	na	7596	0.01973084546625614	-0.25720292	No	
row_40	ASS1	na	7768	0.01699235662817955	-0.2655481	No	
row_41	IRF3	na	8116	0.012303092516958714	-0.28393763	No	
row_42	HSP90AB1	na	8227	0.010746845044195652	-0.28931797	No	
row_43	RAB20	na	8231	0.010675790719687939	-0.2887835	No	
row_44	CALCOCO2	na	8248	0.01042692270129919	-0.28898454	No	
row_45	FCGR1A	na	8289	0.009922540746629238	-0.29054642	No	
row_46	TXK	na	8623	0.004869152791798115	-0.30864918	No	
row_47	SNCA	na	8869	0.0015455891843885183	-0.32210165	No	
row_48	MT2A	na	8885	0.0013729644706472754	-0.3228414	No	
row_49	CAMK2A	na	9012	-9.334206697531044E-5	-0.32980585	No	
row_50	CCL3	na	9033	-2.957013202831149E-4	-0.3308929	No	
row_51	NCAM1	na	9094	-0.001177965197712183	-0.3341349	No	
row_52	FCGR1B	na	9176	-0.0022611464373767376	-0.33846763	No	
row_53	PARP9	na	9180	-0.002298998646438122	-0.33848277	No	
row_54	STAR	na	9254	-0.003122568828985095	-0.34231642	No	
row_55	TRIM25	na	9275	-0.003383927745744586	-0.34320083	No	
row_56	CCL20	na	9656	-0.00847224798053503	-0.3636673	No	
row_57	CD47	na	9740	-0.009493080899119377	-0.3676362	No	
row_58	PDE12	na	10183	-0.014739039354026318	-0.3911215	No	
row_59	PTPN2	na	10212	-0.01509049441665411	-0.39168042	No	
row_60	CCL3L1	na	10271	-0.015834232792258263	-0.39385024	No	
row_61	STXBP3	na	10301	-0.016281718388199806	-0.39438635	No	
row_62	CCL15	na	10443	-0.01816757768392563	-0.40099478	No	
row_63	CDC42	na	10483	-0.018603838980197906	-0.40193173	No	
row_64	SYNCRIP	na	10488	-0.01864558830857277	-0.4009297	No	
row_65	CCL14	na	10951	-0.02509048394858837	-0.42484227	No	
row_66	VCAM1	na	11047	-0.026223601773381233	-0.42837736	No	
row_67	IRF8	na	11051	-0.02624659240245819	-0.4268213	No	
row_68	TP53	na	11052	-0.026256414130330086	-0.42509863	No	
row_69	SIRPA	na	11076	-0.026433655992150307	-0.42463672	No	
row_70	VPS26B	na	11382	-0.030729010701179504	-0.43949383	No	
row_71	STX8	na	11424	-0.03115452639758587	-0.439718	No	
row_72	CDC37	na	11588	-0.03336227685213089	-0.44654658	No	
row_73	ACTG1	na	11643	-0.034053534269332886	-0.44729975	No	
row_74	STAT1	na	11647	-0.034096501767635345	-0.44522867	No	
row_75	GAPDH	na	11735	-0.03547266870737076	-0.44771433	No	
row_76	PARP14	na	11788	-0.03610960394144058	-0.44822195	No	
row_77	DAPK3	na	11936	-0.038128916174173355	-0.45385265	No	
row_78	ACTR3	na	12094	-0.040478017181158066	-0.45988247	No	
row_79	PIAS1	na	12424	-0.04501901939511299	-0.47512972	No	
row_80	HLA-DQB2	na	12486	-0.04606612026691437	-0.475482	No	
row_81	HLA-G	na	12500	-0.046357426792383194	-0.4731597	No	
row_82	ARG1	na	12704	-0.04962446540594101	-0.48113424	Yes	
row_83	NR1H2	na	12718	-0.04983492195606232	-0.47858378	Yes	
row_84	NUB1	na	12780	-0.05052463337779045	-0.4786435	Yes	
row_85	HCK	na	12785	-0.05063851177692413	-0.47554246	Yes	
row_86	AIF1	na	12814	-0.05108601599931717	-0.47373974	Yes	
