NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGO1	na	0	0.5204532146453857	0.021715717	Yes	
row_1	NUF2	na	1	0.4848828911781311	0.041947275	Yes	
row_2	SMC1B	na	15	0.41244080662727356	0.05843719	Yes	
row_3	KIF18B	na	29	0.3942987620830536	0.074170135	Yes	
row_4	DSCC1	na	31	0.39006465673446655	0.09039012	Yes	
row_5	SPAG5	na	47	0.3746994733810425	0.10519468	Yes	
row_6	TTK	na	49	0.3734489977359772	0.12072139	Yes	
row_7	NEK2	na	57	0.37076812982559204	0.13580438	Yes	
row_8	TRIP13	na	59	0.368221640586853	0.15111299	Yes	
row_9	ESPL1	na	74	0.3543851673603058	0.16512524	Yes	
row_10	NCAPH	na	79	0.3498130738735199	0.17949982	Yes	
row_11	KIF4A	na	88	0.34481796622276306	0.19344474	Yes	
row_12	BUB1	na	91	0.3433838486671448	0.20766169	Yes	
row_13	HASPIN	na	101	0.33657410740852356	0.22120734	Yes	
row_14	CDC6	na	107	0.3302302956581116	0.23470952	Yes	
row_15	MAD2L1	na	109	0.32974255084991455	0.2484126	Yes	
row_16	TOP2A	na	138	0.31734612584114075	0.26010507	Yes	
row_17	CDCA8	na	140	0.3166016638278961	0.27325985	Yes	
row_18	NDC80	na	147	0.3155629634857178	0.28609475	Yes	
row_19	CDCA5	na	148	0.3153299391269684	0.29925177	Yes	
row_20	KIF2C	na	189	0.2991792559623718	0.3095225	Yes	
row_21	SGO2	na	198	0.29669272899627686	0.32145944	Yes	
row_22	KIF14	na	205	0.2946458160877228	0.33342156	Yes	
row_23	AURKB	na	206	0.2945592999458313	0.34571195	Yes	
row_24	DSN1	na	208	0.2941659986972809	0.3579306	Yes	
row_25	KIF23	na	225	0.2900671660900116	0.36914858	Yes	
row_26	BUB1B	na	229	0.2895878255367279	0.3810656	Yes	
row_27	CENPF	na	275	0.27914825081825256	0.39022404	Yes	
row_28	KNSTRN	na	284	0.27672651410102844	0.40132785	Yes	
row_29	NCAPG	na	306	0.2723560929298401	0.41153032	Yes	
row_30	CENPE	na	344	0.2649793028831482	0.42054	Yes	
row_31	CDC20	na	351	0.2623608410358429	0.43115506	Yes	
row_32	RACGAP1	na	359	0.26126712560653687	0.44166917	Yes	
row_33	KIF18A	na	383	0.2572842836380005	0.45113215	Yes	
row_34	KIFC1	na	396	0.2545696794986725	0.46109024	Yes	
row_35	GEN1	na	428	0.24938759207725525	0.46978125	Yes	
row_36	PLK1	na	434	0.24873705208301544	0.47988316	Yes	
row_37	PRC1	na	442	0.247090145945549	0.48980573	Yes	
row_38	SMC2	na	495	0.23919431865215302	0.49690992	Yes	
row_39	NUSAP1	na	576	0.22878915071487427	0.50203127	Yes	
row_40	FBXO5	na	596	0.22693884372711182	0.51044935	Yes	
row_41	ZWINT	na	610	0.22577328979969025	0.5191506	Yes	
row_42	CDT1	na	648	0.22113098204135895	0.52633077	Yes	
row_43	FEN1	na	662	0.2203740030527115	0.5348068	Yes	
row_44	DLGAP5	na	667	0.21989935636520386	0.5437608	Yes	
row_45	SMC4	na	703	0.21663060784339905	0.55086374	Yes	
row_46	INCENP	na	711	0.21598438918590546	0.5594885	Yes	
row_47	RAD51C	na	731	0.2149139791727066	0.56740475	Yes	
row_48	DDX12P	na	807	0.2068149298429489	0.5718858	Yes	
row_49	PSRC1	na	863	0.20261265337467194	0.5772977	Yes	
row_50	RMI2	na	865	0.2023652046918869	0.585686	Yes	
row_51	ESCO2	na	919	0.19641229510307312	0.59094983	Yes	
row_52	CCNB1	na	942	0.19436752796173096	0.59784293	Yes	
row_53	CENPK	na	954	0.19339574873447418	0.6053039	Yes	
