NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD5	na	1285	0.17215006053447723	-0.05577745	No	
row_1	ANGPT1	na	1433	0.16387198865413666	-0.049489163	No	
row_2	TWIST1	na	1907	0.14319385588169098	-0.063006066	No	
row_3	AZI2	na	2156	0.13270659744739532	-0.06502933	No	
row_4	RIPK2	na	2210	0.13071183860301971	-0.056468066	No	
row_5	AKAP12	na	2554	0.11874537169933319	-0.06496007	No	
row_6	LEP	na	2910	0.10802248865365982	-0.07505644	No	
row_7	NR1H4	na	3002	0.1059124767780304	-0.07077109	No	
row_8	ARRB2	na	3406	0.09492994099855423	-0.08466648	No	
row_9	TBC1D23	na	4086	0.07913939654827118	-0.11517866	No	
row_10	ARFGEF2	na	5081	0.05985671654343605	-0.16476645	No	
row_11	SPHK2	na	5228	0.057397354394197464	-0.16777897	No	
row_12	CLEC7A	na	5342	0.055175136774778366	-0.16916586	No	
row_13	HDAC2	na	5357	0.05495776981115341	-0.1651092	No	
row_14	LPL	na	5496	0.052628930658102036	-0.1680993	No	
row_15	TNFAIP3	na	5612	0.05080484598875046	-0.16998057	No	
row_16	FADD	na	5635	0.05046874284744263	-0.16675977	No	
row_17	POMC	na	5639	0.050393909215927124	-0.16249718	No	
row_18	LBP	na	5662	0.05002187192440033	-0.15931565	No	
row_19	DHX9	na	5866	0.04682500287890434	-0.16640235	No	
row_20	GPNMB	na	6087	0.0432562418282032	-0.17474067	No	
row_21	PTPN11	na	6147	0.04209570586681366	-0.17429723	No	
row_22	NOD1	na	6558	0.03550676628947258	-0.1938004	No	
row_23	ZBTB20	na	6619	0.034520164132118225	-0.19407782	No	
row_24	MC1R	na	6744	0.03265936300158501	-0.19805016	No	
row_25	ILRUN	na	6774	0.032219354063272476	-0.1968192	No	
row_26	TNFRSF8	na	6951	0.029401803389191628	-0.20394705	No	
row_27	HMGB1	na	6993	0.028577178716659546	-0.20369828	No	
row_28	IL27RA	na	6996	0.028543349355459213	-0.20130052	No	
row_29	CD36	na	7509	0.021157745271921158	-0.22769277	No	
row_30	NFKBIL1	na	7576	0.019999787211418152	-0.22957715	No	
row_31	IL10	na	7628	0.019173700362443924	-0.23070645	No	
row_32	SELENOS	na	7763	0.017090799286961555	-0.2365986	No	
row_33	MAVS	na	7858	0.015900108963251114	-0.24038823	No	
row_34	CIDEA	na	8520	0.006526353303343058	-0.27628773	No	
row_35	CYBB	na	8550	0.005924080032855272	-0.27736735	No	
