NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	Details ...	84	-0.56303656	-2.4322822	0.0	0.0	0.0	5837	tags=69%, list=32%, signal=101%	
GO_T_CELL_SELECTION	GO_T_CELL_SELECTION	Details ...	44	-0.610109	-2.3905866	0.0	0.0	0.0	4569	tags=70%, list=25%, signal=94%	
GO_RESPONSE_TO_INTERFERON_GAMMA	GO_RESPONSE_TO_INTERFERON_GAMMA	Details ...	184	-0.48439005	-2.3706348	0.0	0.0	0.0	5557	tags=55%, list=30%, signal=79%	
GO_MESENCHYME_MORPHOGENESIS	GO_MESENCHYME_MORPHOGENESIS	Details ...	50	-0.5974048	-2.3059318	0.0	0.0013202982	0.003	3048	tags=44%, list=17%, signal=53%	
GO_RESPONSE_TO_TYPE_I_INTERFERON	GO_RESPONSE_TO_TYPE_I_INTERFERON	Details ...	81	-0.53412783	-2.2860975	0.0	0.0014059935	0.004	4136	tags=44%, list=23%, signal=57%	
GO_POSITIVE_T_CELL_SELECTION	GO_POSITIVE_T_CELL_SELECTION	Details ...	32	-0.64017624	-2.2798831	0.0	0.0014698002	0.005	4893	tags=81%, list=27%, signal=111%	
GO_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE	GO_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE	Details ...	75	-0.5302573	-2.2683797	0.0	0.0030307292	0.012	2730	tags=39%, list=15%, signal=45%	
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_8_SECRETION	GO_POSITIVE_REGULATION_OF_INTERLEUKIN_8_SECRETION	Details ...	15	-0.78127915	-2.250095	0.0	0.003084826	0.014	2730	tags=67%, list=15%, signal=78%	
GO_INTERLEUKIN_1_BETA_PRODUCTION	GO_INTERLEUKIN_1_BETA_PRODUCTION	Details ...	77	-0.5217874	-2.2431204	0.0	0.0031282546	0.016	2942	tags=40%, list=16%, signal=48%	
GO_ALPHA_BETA_T_CELL_ACTIVATION	GO_ALPHA_BETA_T_CELL_ACTIVATION	Details ...	126	-0.4878572	-2.2421432	0.0	0.0028154291	0.016	4989	tags=56%, list=27%, signal=76%	
