NAME	TITLE	SCORE	
SGO1	na	0.5204532	
NUF2	na	0.4848829	
SEPTIN3	na	0.46668854	
ZNF695	na	0.4548359	
MTFR2	na	0.45481443	
C1orf112	na	0.44855875	
PIMREG	na	0.44404867	
EME1	na	0.4423239	
KIF15	na	0.44174832	
RDM1	na	0.43897736	
POLQ	na	0.43372715	
FANCB	na	0.4285683	
FAM72D	na	0.424706	
XRCC2	na	0.4235908	
RAD54L	na	0.42088372	
SMC1B	na	0.4124408	
E2F1	na	0.41133544	
CCDC138	na	0.41091236	
AUNIP	na	0.41049516	
CABLES2	na	0.41025427	
CCNE1	na	0.40827048	
DNMT3B	na	0.40814787	
ZNF670-ZNF695	na	0.40236005	
GINS1	na	0.4012805	
FAM72B	na	0.40021825	
CENPA	na	0.39573747	
TDRKH	na	0.39569965	
HROB	na	0.3954107	
IGSF9	na	0.39451727	
KIF18B	na	0.39429876	
ORC6	na	0.39109823	
DSCC1	na	0.39006466	
TRAIP	na	0.38967437	
ATAD5	na	0.38935593	
COCH	na	0.38832512	
FAM72C	na	0.3877096	
CEP83-DT	na	0.38566408	
MCM10	na	0.38515243	
FAM171A2	na	0.38353685	
CENPI	na	0.37910944	
SASS6	na	0.37900814	
DEPDC1	na	0.3789761	
GAS2L3	na	0.3789577	
MEIOC	na	0.3778229	
CENPL	na	0.37585774	
CIP2A	na	0.37577584	
AURKA	na	0.37568587	
SPAG5	na	0.37469947	
KLHL7-DT	na	0.37442893	
TTK	na	0.373449	
RAD18	na	0.37313917	
FIGNL1	na	0.3728754	
DDIAS	na	0.372291	
RAD51AP1	na	0.3722175	
CKAP2L	na	0.37198913	
PARPBP	na	0.3716666	
MYBL2	na	0.3714351	
NEK2	na	0.37076813	
MEIG1	na	0.37060702	
TRIP13	na	0.36822164	
PSMC3IP	na	0.36804932	
ZNF850	na	0.3670553	
SKA1	na	0.36441252	
GFRA3	na	0.36379793	
ZNF887P	na	0.3635746	
FAM72A	na	0.36335757	
CDC25C	na	0.36326945	
KIAA1958	na	0.36135554	
UBE2C	na	0.36113846	
TMEM97	na	0.3604297	
FOXP4-AS1	na	0.35892954	
MCM8	na	0.35708106	
FAR2	na	0.35648662	
TROAP	na	0.35614505	
ESPL1	na	0.35438517	
CDCA3	na	0.35387045	
CCDC150	na	0.3529022	
CDC45	na	0.3525232	
TPX2	na	0.35069227	
NCAPH	na	0.34981307	
CCZ1B	na	0.34937188	
ECT2	na	0.3487211	
OTX1	na	0.34782037	
SUV39H2	na	0.34765843	
ZNF92	na	0.34756905	
ATOH7	na	0.34616643	
BLM	na	0.34546363	
HSD17B7	na	0.3453225	
KIF4A	na	0.34481797	
BHLHB9	na	0.3446771	
MNS1	na	0.3439474	
BUB1	na	0.34338385	
SNHG30	na	0.34322232	
LINC00634	na	0.34289694	
STIL	na	0.34257436	
LINC02315	na	0.34042278	
C5orf34	na	0.33979648	
POC1A	na	0.33948976	
FAAP24	na	0.3387959	
