NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAH8	na	2506	0.10931243747472763	-0.10006661	No	
row_1	DNAAF5	na	4723	0.06213263049721718	-0.19875026	No	
row_2	DNAAF2	na	5309	0.05282125994563103	-0.21404687	No	
row_3	CFAP73	na	8200	0.012225973419845104	-0.36306384	No	
row_4	SPAG1	na	8363	0.010285790078341961	-0.36858195	No	
row_5	CCDC114	na	10698	-0.020673945546150208	-0.48574054	No	
row_6	CCDC151	na	13093	-0.05767307057976723	-0.5951417	No	
row_7	DRC1	na	13106	-0.05809227377176285	-0.5786203	No	
row_8	DNAI1	na	13200	-0.059927280992269516	-0.5658348	No	
row_9	CCDC65	na	14003	-0.07589762657880783	-0.58577704	No	
row_10	TEKT2	na	14708	-0.09057976305484772	-0.5962079	No	
row_11	LRRC6	na	15858	-0.11932267993688583	-0.6216522	Yes	
row_12	DNAH1	na	16617	-0.14333775639533997	-0.619355	Yes	
row_13	ARMC4	na	16930	-0.1539517343044281	-0.59036916	Yes	
row_14	DNAL1	na	17114	-0.16141746938228607	-0.55236584	Yes	
row_15	DNAAF3	na	17440	-0.1748943328857422	-0.51788205	Yes	
row_16	WDR63	na	17645	-0.18648922443389893	-0.4735839	Yes	
row_17	DNAAF1	na	17709	-0.18962611258029938	-0.4209129	Yes	
row_18	LRRC49	na	17950	-0.20358525216579437	-0.37346736	Yes	
row_19	CCDC40	na	18172	-0.2186424434185028	-0.3205719	Yes	
row_20	CCDC39	na	18238	-0.2235366553068161	-0.25799242	Yes	
row_21	DNAH5	na	18264	-0.22526194155216217	-0.19279097	Yes	
row_22	ZMYND10	na	18331	-0.23087753355503082	-0.12809648	Yes	
row_23	DNAAF4	na	18418	-0.23903313279151917	-0.06204982	Yes	
row_24	DNAH7	na	18865	-0.30669111013412476	0.0049644066	Yes	
