NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUP155	na	1137	0.16471774876117706	-0.03821523	No	
row_1	ATP2A1	na	1427	0.14939303696155548	-0.033593886	No	
row_2	DSC2	na	1808	0.1313607096672058	-0.03619262	No	
row_3	KCNE2	na	2477	0.11014233529567719	-0.056862213	No	
row_4	KCNE5	na	2902	0.09950398653745651	-0.0660366	No	
row_5	HCN4	na	3237	0.09203440696001053	-0.071443625	No	
row_6	KCNE3	na	4037	0.07519344240427017	-0.103705496	No	
row_7	DSP	na	4075	0.07454346865415573	-0.095725894	No	
row_8	DLG1	na	4746	0.06185198202729225	-0.122939184	No	
row_9	ATP2A2	na	5054	0.05693816393613815	-0.13159613	No	
row_10	SUMO1	na	5743	0.04587045684456825	-0.16189264	No	
row_11	SNTA1	na	5935	0.04359517619013786	-0.16618922	No	
row_12	FLNA	na	5937	0.04353882744908333	-0.16043775	No	
row_13	CAMK2D	na	6451	0.03654126822948456	-0.18271628	No	
row_14	DSG2	na	7004	0.029130825772881508	-0.20804676	No	
row_15	ADORA1	na	7580	0.02102670446038246	-0.23567492	No	
row_16	KCNN2	na	7793	0.018095843493938446	-0.24448235	No	
row_17	ATP1A1	na	8085	0.013608372770249844	-0.25806904	No	
row_18	JUP	na	8093	0.013472441583871841	-0.25664344	No	
row_19	FGF12	na	8130	0.013024603016674519	-0.25681233	No	
row_20	GJC1	na	8399	0.00982856098562479	-0.26968566	No	
row_21	PKP2	na	9151	1.7249619122594595E-4	-0.30940863	No	
row_22	KCNH2	na	9752	-0.007675768341869116	-0.34013978	No	
row_23	PDE4D	na	10077	-0.012247786857187748	-0.35565436	No	
row_24	FGF13	na	10712	-0.020898938179016113	-0.38642204	No	
row_25	SRI	na	11199	-0.027993809431791306	-0.40841112	No	
row_26	BIN1	na	11665	-0.03516177833080292	-0.4283332	No	
row_27	KCNJ2	na	12068	-0.0410822257399559	-0.4441318	No	
row_28	STC1	na	12501	-0.048178330063819885	-0.46057206	No	
row_29	KCNJ5	na	12503	-0.04820665344595909	-0.4541983	No	
row_30	PDE4B	na	12713	-0.051661740988492966	-0.45837212	No	
row_31	RYR2	na	12719	-0.051712144166231155	-0.4517427	No	
row_32	SLC9A1	na	12945	-0.05533371865749359	-0.45627376	No	
row_33	SCN5A	na	13145	-0.058746907860040665	-0.4589738	No	
row_34	GJA5	na	13411	-0.06369376182556152	-0.4645073	No	
row_35	KCNJ8	na	13555	-0.06630410999059677	-0.4632361	No	
row_36	KCNE1	na	15035	-0.0976124033331871	-0.5284975	No	
row_37	RNF207	na	15153	-0.10064417868852615	-0.52127224	No	
row_38	KCNQ1	na	15611	-0.11225065588951111	-0.5304938	Yes	
row_39	GJA1	na	15745	-0.11623556911945343	-0.5220367	Yes	
row_40	TRPM4	na	16042	-0.1243654191493988	-0.52112234	Yes	
row_41	AKAP9	na	16046	-0.12452811002731323	-0.5046796	Yes	
row_42	RANGRF	na	16197	-0.12899811565876007	-0.49542078	Yes	
row_43	SGCD	na	16216	-0.12956462800502777	-0.47910047	Yes	
row_44	PLN	na	16607	-0.14306628704071045	-0.4806679	Yes	
row_45	ANK2	na	16679	-0.14558418095111847	-0.46501687	Yes	
row_46	NEDD4L	na	16940	-0.15440908074378967	-0.45819202	Yes	
row_47	NOS1AP	na	17209	-0.16520079970359802	-0.45035186	Yes	
row_48	KCNJ3	na	17217	-0.1654389500617981	-0.42866677	Yes	
row_49	KCNA5	na	17306	-0.1691787987947464	-0.41076994	Yes	
row_50	CACNA2D1	na	17582	-0.18289096653461456	-0.40094188	Yes	
row_51	CTNNA3	na	17583	-0.18313360214233398	-0.37652734	Yes	
row_52	CACNA1C	na	17691	-0.18878056108951569	-0.35702285	Yes	
row_53	SCN1B	na	17783	-0.1941940188407898	-0.33594987	Yes	
row_54	CAV1	na	17922	-0.2021719217300415	-0.31630075	Yes	
row_55	GPD1L	na	18119	-0.21480697393417358	-0.29803678	Yes	
row_56	CACNA1G	na	18157	-0.21769540011882782	-0.27097282	Yes	
row_57	CACNB2	na	18535	-0.2520765960216522	-0.25731948	Yes	
row_58	SCN3B	na	18567	-0.25511234998703003	-0.22494973	Yes	
row_59	KCND3	na	18750	-0.2818165123462677	-0.19701143	Yes	
row_60	ATP1A2	na	18774	-0.28720712661743164	-0.15993953	Yes	
row_61	KCNE4	na	18807	-0.2928289771080017	-0.12259448	Yes	
row_62	SCN2B	na	18813	-0.29383572936058044	-0.08368627	Yes	
row_63	CACNA1D	na	18899	-0.315312922000885	-0.046148736	Yes	
row_64	SCN4B	na	18953	-0.36958569288253784	3.1776147E-4	Yes	
