NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUP155	na	1137	0.16471774876117706	-0.033112396	No	
row_1	DSC2	na	1808	0.1313607096672058	-0.04699826	No	
row_2	KCNE5	na	2902	0.09950398653745651	-0.08848149	No	
row_3	HCN4	na	3237	0.09203440696001053	-0.09104832	No	
row_4	DSP	na	4075	0.07454346865415573	-0.12308693	No	
row_5	CALM1	na	5773	0.04547075554728508	-0.20537812	No	
row_6	CALM2	na	5860	0.04443524777889252	-0.20263714	No	
row_7	FLNA	na	5937	0.04353882744908333	-0.19951433	No	
row_8	CAMK2D	na	6451	0.03654126822948456	-0.22065136	No	
row_9	DSG2	na	7004	0.029130825772881508	-0.24506661	No	
row_10	CALM3	na	7211	0.026012765243649483	-0.25169426	No	
row_11	CXADR	na	7612	0.020684048533439636	-0.26945624	No	
row_12	KCNN2	na	7793	0.018095843493938446	-0.2760075	No	
row_13	PRKACA	na	7999	0.014893854968249798	-0.28440624	No	
row_14	ATP1A1	na	8085	0.013608372770249844	-0.2866693	No	
row_15	JUP	na	8093	0.013472441583871841	-0.28482947	No	
row_16	ATP1A3	na	8258	0.011499450542032719	-0.29161665	No	
row_17	GJC1	na	8399	0.00982856098562479	-0.2974086	No	
row_18	PKP2	na	9151	1.7249619122594595E-4	-0.33709896	No	
row_19	PDE4D	na	10077	-0.012247786857187748	-0.38401085	No	
row_20	SRI	na	11199	-0.027993809431791306	-0.43870574	No	
row_21	KCNJ5	na	12503	-0.04820665344595909	-0.49971038	No	
row_22	RYR2	na	12719	-0.051712144166231155	-0.50259817	No	
row_23	SLC8A1	na	13121	-0.05838320776820183	-0.51422876	No	
row_24	SCN5A	na	13145	-0.058746907860040665	-0.5058081	No	
row_25	GJA5	na	13411	-0.06369376182556152	-0.5093748	No	
row_26	TRDN	na	14076	-0.07744977623224258	-0.5317871	No	
row_27	ATP1B1	na	14965	-0.096248559653759	-0.56296235	Yes	
row_28	RNF207	na	15153	-0.10064417868852615	-0.5563423	Yes	
row_29	KCNQ1	na	15611	-0.11225065588951111	-0.562098	Yes	
row_30	GJA1	na	15745	-0.11623556911945343	-0.5500644	Yes	
row_31	TRPM4	na	16042	-0.1243654191493988	-0.54531777	Yes	
row_32	RANGRF	na	16197	-0.12899811565876007	-0.5323012	Yes	
row_33	ANK2	na	16679	-0.14558418095111847	-0.533858	Yes	
row_34	KCNJ3	na	17217	-0.1654389500617981	-0.5351195	Yes	
row_35	KCNA5	na	17306	-0.1691787987947464	-0.5120209	Yes	
row_36	ATP1B2	na	17369	-0.17170831561088562	-0.4871323	Yes	
row_37	HRC	na	17566	-0.18179422616958618	-0.4676761	Yes	
row_38	CACNA2D1	na	17582	-0.18289096653461456	-0.43846735	Yes	
row_39	CTNNA3	na	17583	-0.18313360214233398	-0.40842548	Yes	
row_40	TNNI3K	na	17639	-0.1863294541835785	-0.38076815	Yes	
row_41	CACNA1C	na	17691	-0.18878056108951569	-0.3524972	Yes	
row_42	SCN1B	na	17783	-0.1941940188407898	-0.3254537	Yes	
row_43	FKBP1B	na	17821	-0.19648663699626923	-0.29517817	Yes	
row_44	CAV1	na	17922	-0.2021719217300415	-0.26730195	Yes	
row_45	CACNA1G	na	18157	-0.21769540011882782	-0.24396613	Yes	
row_46	CACNB2	na	18535	-0.2520765960216522	-0.22255325	Yes	
row_47	SCN3B	na	18567	-0.25511234998703003	-0.18234324	Yes	
row_48	CASQ2	na	18631	-0.26454031467437744	-0.14227904	Yes	
row_49	ATP1A2	na	18774	-0.28720712661743164	-0.10267462	Yes	
row_50	CACNA1D	na	18899	-0.315312922000885	-0.05750764	Yes	
row_51	SCN4B	na	18953	-0.36958569288253784	3.1745413E-4	Yes	
