NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GINS1	na	0	0.49360087513923645	0.022116683	Yes	
row_1	ORC6	na	9	0.4558105170726776	0.042114954	Yes	
row_2	DSCC1	na	18	0.422017902135849	0.060599085	Yes	
row_3	MCM10	na	23	0.41613104939460754	0.07903202	Yes	
row_4	CDC45	na	24	0.41447097063064575	0.09760314	Yes	
row_5	CDT1	na	31	0.4040567874908447	0.11538878	Yes	
row_6	TICRR	na	75	0.3750452697277069	0.12990819	Yes	
row_7	CCNE1	na	78	0.3719814419746399	0.1464692	Yes	
row_8	POLQ	na	81	0.36787766218185425	0.16284636	Yes	
row_9	RAD51	na	85	0.36364102363586426	0.17898051	Yes	
row_10	CHEK2	na	88	0.36087122559547424	0.19504373	Yes	
row_11	E2F8	na	107	0.34738489985466003	0.20965235	Yes	
row_12	DBF4	na	110	0.3453786373138428	0.22502138	Yes	
row_13	DONSON	na	113	0.34441831707954407	0.24034739	Yes	
row_14	GINS3	na	126	0.33769723773002625	0.2548408	Yes	
row_15	EME1	na	127	0.336804062128067	0.2699319	Yes	
row_16	RFC4	na	135	0.33022749423980713	0.28435636	Yes	
row_17	CDC6	na	139	0.32786282896995544	0.2988874	Yes	
row_18	GINS2	na	140	0.32693997025489807	0.31353655	Yes	
row_19	WDHD1	na	152	0.3205583691596985	0.32731518	Yes	
row_20	RECQL4	na	158	0.31957393884658813	0.34136856	Yes	
row_21	BLM	na	162	0.31682124733924866	0.35540485	Yes	
row_22	CCNE2	na	169	0.3152824938297272	0.3692128	Yes	
row_23	FBXO5	na	173	0.31294119358062744	0.38307527	Yes	
row_24	GMNN	na	175	0.3129018247127533	0.39704227	Yes	
row_25	ATAD5	na	190	0.3069695830345154	0.4100526	Yes	
row_26	TONSL	na	193	0.3049790859222412	0.42361146	Yes	
row_27	ORC1	na	208	0.29488545656204224	0.4360803	Yes	
row_28	POLE2	na	216	0.29214996099472046	0.44879863	Yes	
row_29	DNA2	na	229	0.28576207160949707	0.46096498	Yes	
row_30	MMS22L	na	253	0.2782106399536133	0.4722084	Yes	
row_31	PRIM2	na	260	0.2765108048915863	0.48427913	Yes	
row_32	E2F7	na	262	0.27628690004348755	0.49660552	Yes	
row_33	RFC3	na	276	0.2696613371372223	0.50799733	Yes	
row_34	BRCA2	na	297	0.26417508721351624	0.5187713	Yes	
row_35	CDC7	na	300	0.2637123167514801	0.5304811	Yes	
row_36	MCM2	na	322	0.25616711378097534	0.5408431	Yes	
row_37	FEN1	na	339	0.2536035478115082	0.551356	Yes	
row_38	CHTF18	na	354	0.25041019916534424	0.5618321	Yes	
row_39	GINS4	na	392	0.24138551950454712	0.5706815	Yes	
row_40	MCM4	na	422	0.2357138693332672	0.57970196	Yes	
row_41	DDX11	na	489	0.22297199070453644	0.58618516	Yes	
row_42	GEN1	na	544	0.21537582576274872	0.59296566	Yes	
row_43	PRIM1	na	550	0.21478046476840973	0.6023236	Yes	
row_44	ALYREF	na	557	0.2139892876148224	0.61159295	Yes	
row_45	RFWD3	na	570	0.21190273761749268	0.6204499	Yes	
row_46	HMGA1	na	588	0.20969606935977936	0.62894225	Yes	
row_47	POLD1	na	656	0.20195986330509186	0.6344308	Yes	
row_48	TIMELESS	na	675	0.20075634121894836	0.6424695	Yes	
row_49	MCM6	na	811	0.1898789256811142	0.643803	Yes	
row_50	DBF4B	na	815	0.1896371692419052	0.6521406	Yes	
row_51	PCNA	na	878	0.18430006504058838	0.6571036	Yes	
row_52	MCM7	na	897	0.18294841051101685	0.6643444	Yes	
row_53	RFC2	na	901	0.18239326775074005	0.6723574	Yes	
row_54	CDK2	na	944	0.17880190908908844	0.67813694	Yes	
row_55	RFC5	na	1180	0.16171003878116608	0.67289394	Yes	
row_56	MCMDC2	na	1422	0.1498831808567047	0.66680217	Yes	
row_57	MCM3	na	1439	0.14890430867671967	0.67262375	Yes	
row_58	MCM5	na	1485	0.1467767059803009	0.67680895	Yes	
row_59	CDK2AP1	na	1713	0.1355184018611908	0.6708175	Yes	
row_60	POLA2	na	1751	0.13394427299499512	0.67485285	Yes	
row_61	BAZ1A	na	1842	0.1301025003194809	0.6758994	Yes	
row_62	TWNK	na	1941	0.12623339891433716	0.67634743	Yes	
row_63	CENPX	na	1963	0.12552787363529205	0.68085593	Yes	
row_64	POLA1	na	1998	0.12445288896560669	0.6846254	Yes	
row_65	LIG1	na	2147	0.11984506249427795	0.68213004	Yes	
row_66	TIPIN	na	2157	0.11945876479148865	0.6870043	Yes	
row_67	MGME1	na	2193	0.11834562569856644	0.690447	Yes	
row_68	CDC34	na	2354	0.11371548473834991	0.68703926	Yes	
row_69	WRNIP1	na	2414	0.11194539070129395	0.6889197	Yes	
row_70	SSBP1	na	2512	0.10916729271411896	0.6886563	Yes	
row_71	ZPR1	na	2546	0.1081775426864624	0.69174963	Yes	
row_72	POLD2	na	2659	0.10533887892961502	0.6905174	No	
row_73	POLE	na	2745	0.1033349260687828	0.6906304	No	
row_74	LRWD1	na	3118	0.09464303404092789	0.67510164	No	
row_75	TERF2	na	3214	0.09247783571481705	0.67419666	No	
row_76	POLG2	na	3356	0.08921646326780319	0.67070097	No	
row_77	DNAJA3	na	3427	0.08753278106451035	0.67090297	No	
row_78	RTF2	na	3439	0.08729362487792969	0.67422974	No	
row_79	RECQL	na	3574	0.08450042456388474	0.67089474	No	
row_80	ORC3	na	3578	0.08441776037216187	0.6745178	No	
row_81	CENPS	na	3596	0.08396321535110474	0.67737645	No	
row_82	TERF1	na	3920	0.0775545984506607	0.6636861	No	
row_83	STOML2	na	3997	0.07610926032066345	0.66305745	No	
row_84	RPA3	na	4108	0.07388901710510254	0.6605224	No	
row_85	POLD3	na	4292	0.06981809437274933	0.6539255	No	
row_86	POLE4	na	4369	0.0683957040309906	0.6529512	No	
row_87	LIG3	na	4410	0.06765706837177277	0.65385693	No	
row_88	MCMBP	na	4694	0.0626254677772522	0.6416234	No	
row_89	RPA1	na	4732	0.06202802434563637	0.6424363	No	
row_90	NBN	na	5191	0.05483188480138779	0.6205535	No	
row_91	ORC5	na	5290	0.053141240030527115	0.6177265	No	
row_92	NUCKS1	na	5366	0.05205857753753662	0.61607337	No	
row_93	WIZ	na	5377	0.05197439715266228	0.61787075	No	
row_94	SAMHD1	na	5609	0.04788642376661301	0.6077402	No	
row_95	FBH1	na	5817	0.04497446119785309	0.5987547	No	
row_96	FANCM	na	5873	0.04428298398852348	0.597816	No	
row_97	MRE11	na	6132	0.040934689342975616	0.5859391	No	
row_98	POLE3	na	6168	0.04042143374681473	0.5858903	No	
row_99	THOC1	na	6437	0.036748144775629044	0.5732944	No	
row_100	RTEL1	na	6534	0.035315822809934616	0.56977504	No	
row_101	HELB	na	6605	0.034317292273044586	0.5675926	No	
row_102	CHTF8	na	6909	0.03048260137438774	0.55285597	No	
row_103	WDR18	na	7057	0.028383078053593636	0.54631567	No	
row_104	RECQL5	na	7253	0.02543693780899048	0.53709245	No	
row_105	UPF1	na	7541	0.02152041718363762	0.52280456	No	
row_106	MCM9	na	7805	0.017972080036997795	0.50963306	No	
row_107	SENP2	na	7898	0.016440721228718758	0.5054805	No	
