NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GINS1	na	0	0.49360087513923645	0.03535139	Yes	
row_1	DSCC1	na	18	0.422017902135849	0.064674094	Yes	
row_2	CDC45	na	24	0.41447097063064575	0.094092965	Yes	
row_3	ERCC6L	na	57	0.3904859125614166	0.12036153	Yes	
row_4	RAD54B	na	72	0.3759171664714813	0.1465417	Yes	
row_5	POLQ	na	81	0.36787766218185425	0.17246442	Yes	
row_6	RAD51	na	85	0.36364102363586426	0.198349	Yes	
row_7	HMGB3	na	89	0.3586169183254242	0.22387375	Yes	
row_8	RFC4	na	135	0.33022749423980713	0.24513692	Yes	
row_9	GINS2	na	140	0.32693997025489807	0.26833993	Yes	
row_10	PIF1	na	145	0.3241489827632904	0.29134306	Yes	
row_11	RECQL4	na	158	0.31957393884658813	0.31359407	Yes	
row_12	BLM	na	162	0.31682124733924866	0.33612543	Yes	
row_13	RAD54L	na	167	0.3153427839279175	0.35849786	Yes	
row_14	TOP2A	na	195	0.30356091260910034	0.3788062	Yes	
row_15	DNA2	na	229	0.28576207160949707	0.39752147	Yes	
row_16	CHD7	na	258	0.2769782245159149	0.4158729	Yes	
row_17	RFC3	na	276	0.2696613371372223	0.4342839	Yes	
row_18	MCM2	na	322	0.25616711378097534	0.45024294	Yes	
row_19	MCM8	na	326	0.25567302107810974	0.4683949	Yes	
row_20	BRIP1	na	344	0.25231924653053284	0.4855639	Yes	
row_21	CHTF18	na	354	0.25041019916534424	0.5030206	Yes	
row_22	DDX12P	na	369	0.24781356751918793	0.5200261	Yes	
row_23	GINS4	na	392	0.24138551950454712	0.5361467	Yes	
row_24	MCM4	na	422	0.2357138693332672	0.5514898	Yes	
row_25	DDX11	na	489	0.22297199070453644	0.5639572	Yes	
row_26	HMGA1	na	588	0.20969606935977936	0.573776	Yes	
row_27	GTF2H4	na	666	0.20134538412094116	0.5841109	Yes	
row_28	MCM6	na	811	0.1898789256811142	0.5900699	Yes	
row_29	CHD5	na	828	0.1885257214307785	0.60272306	Yes	
row_30	MCM7	na	897	0.18294841051101685	0.6122179	Yes	
row_31	RFC2	na	901	0.18239326775074005	0.62512165	Yes	
row_32	HMGB2	na	1073	0.16887345910072327	0.62814367	Yes	
row_33	RFC5	na	1180	0.16171003878116608	0.6341013	Yes	
row_34	MCM3	na	1439	0.14890430867671967	0.6310773	Yes	
row_35	MCM5	na	1485	0.1467767059803009	0.6392018	Yes	
row_36	RUVBL1	na	1714	0.13548648357391357	0.6368085	No	
row_37	TWNK	na	1941	0.12623339891433716	0.63385856	No	
row_38	SUPV3L1	na	2122	0.1205720603466034	0.6329438	No	
row_39	SSBP1	na	2512	0.10916729271411896	0.6201235	No	
row_40	ASCC3	na	2959	0.09796102344989777	0.6034764	No	
row_41	RUVBL2	na	3046	0.09622367471456528	0.6058051	No	
row_42	RBX1	na	3099	0.0951056182384491	0.60985756	No	
row_43	MNAT1	na	3382	0.08869246393442154	0.60124785	No	
row_44	RECQL	na	3574	0.08450042456388474	0.59716606	No	
row_45	GTF2H5	na	3713	0.08151532709598541	0.5956824	No	
row_46	CHD1L	na	3753	0.08062905818223953	0.5993878	No	
row_47	GTF2F2	na	3809	0.07957565784454346	0.60216886	No	
row_48	DQX1	na	3889	0.07802030444145203	0.6035652	No	
row_49	PARP1	na	3949	0.07676541805267334	0.6059328	No	
row_50	HMGB1	na	4514	0.06579791754484177	0.5807216	No	
row_51	XRCC6	na	4624	0.06383132189512253	0.57951003	No	
row_52	RPA1	na	4732	0.06202802434563637	0.57827544	No	
row_53	CETN2	na	4772	0.06155991926789284	0.58061516	No	
row_54	RAD54L2	na	4845	0.060291778296232224	0.5811132	No	
row_55	NBN	na	5191	0.05483188480138779	0.56673586	No	
row_56	ERCC2	na	5496	0.04965735599398613	0.5541633	No	
row_57	HNRNPA2B1	na	5699	0.046574536710977554	0.5467816	No	
row_58	FBH1	na	5817	0.04497446119785309	0.5437951	No	
row_59	DHX9	na	5905	0.04392583295702934	0.54232514	No	
row_60	DHX36	na	6001	0.042649559676647186	0.54033935	No	
row_61	G3BP1	na	6023	0.042277008295059204	0.5422531	No	
row_62	MRE11	na	6132	0.040934689342975616	0.5394547	No	
row_63	GTF2H3	na	6138	0.040858689695596695	0.5421157	No	
row_64	DDX1	na	6414	0.037085965275764465	0.53018135	No	
row_65	RTEL1	na	6534	0.035315822809934616	0.526397	No	
row_66	UBA52	na	6592	0.03458959236741066	0.5258501	No	
row_67	HELB	na	6605	0.034317292273044586	0.5276712	No	
row_68	MTERF1	na	6738	0.03269783407449722	0.5230096	No	
row_69	RAD23B	na	6864	0.031085744500160217	0.5186039	No	
row_70	CHTF8	na	6909	0.03048260137438774	0.51845264	No	
row_71	CUL4B	na	7072	0.028029154986143112	0.51186496	No	
row_72	ERCC3	na	7122	0.027152426540851593	0.5112099	No	
row_73	UBB	na	7251	0.02546389400959015	0.5062424	No	
row_74	RECQL5	na	7253	0.02543693780899048	0.50801116	No	
row_75	IGHMBP2	na	7581	0.02102256380021572	0.49216744	No	
row_76	CUL4A	na	7616	0.02065655030310154	0.49184296	No	
row_77	DDB1	na	7715	0.019068747758865356	0.48800915	No	
row_78	CHD4	na	7768	0.018429048359394073	0.48657012	No	
row_79	MCM9	na	7805	0.017972080036997795	0.48594725	No	
row_80	RPS27A	na	7857	0.017121436074376106	0.4844676	No	
row_81	SMARCA1	na	8162	0.012715255841612816	0.46924922	No	
row_82	ERCC8	na	8285	0.011217202991247177	0.46357977	No	
row_83	UBC	na	8335	0.010734067298471928	0.46174878	No	
row_84	ANXA1	na	8377	0.010134837590157986	0.46029934	No	
row_85	DDX3X	na	8521	0.008097149431705475	0.45329225	No	
row_86	CHD8	na	8570	0.007418236695230007	0.45127684	No	
row_87	SMARCAL1	na	8854	0.003917993046343327	0.4365426	No	
row_88	XRCC5	na	8972	0.002477202331647277	0.43051246	No	
row_89	ZRANB3	na	9129	4.7751032980158925E-4	0.4222699	No	
row_90	GTF2H1	na	9180	-3.4856790443882346E-4	0.41964206	No	
row_91	TP53	na	9640	-0.006356668658554554	0.39574462	No	
row_92	POT1	na	9723	-0.007388289552181959	0.39192316	No	
row_93	GTF2H2	na	10924	-0.02404472976922989	0.329978	No	
row_94	ATRX	na	10932	-0.024091675877571106	0.33133203	No	
row_95	CHD6	na	11160	-0.027551284059882164	0.32126153	No	
row_96	WRN	na	11175	-0.027677636593580246	0.322501	No	
row_97	ERCC6	na	11320	-0.02965579181909561	0.31698486	No	
row_98	SMARCAD1	na	11405	-0.0309844259172678	0.31474724	No	
row_99	SETX	na	12028	-0.04038108512759209	0.28463846	No	
row_100	CHD3	na	12060	-0.04092540219426155	0.28592476	No	
row_101	CHD9	na	12666	-0.05102180689573288	0.25748003	No	
row_102	CHD1	na	12700	-0.05141361430287361	0.2594114	No	
row_103	RAD50	na	13489	-0.0652574822306633	0.22227694	No	
row_104	HFM1	na	14067	-0.07726800441741943	0.1971975	No	
row_105	CHD2	na	14082	-0.07756313681602478	0.20200974	No	
row_106	PURA	na	14643	-0.08932841569185257	0.178696	No	
