NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPN	na	5	0.47142234444618225	0.022685645	Yes	
row_1	CENPI	na	17	0.42266368865966797	0.042678323	Yes	
row_2	NCAPH	na	30	0.4042030870914459	0.061719045	Yes	
row_3	CENPA	na	37	0.4020617604255676	0.08097463	Yes	
row_4	CENPW	na	38	0.4018349349498749	0.10053828	Yes	
row_5	CDCA5	na	45	0.39857521653175354	0.11962412	Yes	
row_6	NCAPG	na	58	0.3903881013393402	0.13799225	Yes	
row_7	HJURP	na	61	0.3889535069465637	0.1568224	Yes	
row_8	CDK1	na	90	0.3577021658420563	0.17274821	Yes	
row_9	CENPL	na	129	0.3363722562789917	0.1871037	Yes	
row_10	CENPO	na	133	0.33170539140701294	0.20309348	Yes	
row_11	CCNB1	na	148	0.3231751620769501	0.21808292	Yes	
row_12	CENPM	na	150	0.32161954045295715	0.23368804	Yes	
row_13	CENPQ	na	151	0.32134947180747986	0.2493332	Yes	
row_14	ASF1B	na	154	0.32026422023773193	0.26481915	Yes	
row_15	CHAF1B	na	160	0.3179433047771454	0.28003255	Yes	
row_16	OIP5	na	174	0.3129194974899292	0.29457587	Yes	
row_17	TOP2A	na	195	0.30356091260910034	0.30829126	Yes	
row_18	CENPH	na	198	0.3014785051345825	0.3228626	Yes	
row_19	NUSAP1	na	222	0.2889360189437866	0.3357064	Yes	
row_20	MIS18A	na	233	0.2845369577407837	0.34902745	Yes	
row_21	KNL1	na	252	0.27856510877609253	0.3616323	Yes	
row_22	CENPK	na	268	0.2741321325302124	0.37418085	Yes	
row_23	CENPU	na	280	0.2684705853462219	0.3866665	Yes	
row_24	HELLS	na	308	0.26034465432167053	0.39790556	Yes	
row_25	MCM2	na	322	0.25616711378097534	0.40968585	Yes	
row_26	H2BC13	na	374	0.2460738569498062	0.4189537	Yes	
row_27	NCAPG2	na	421	0.23638030886650085	0.4280155	Yes	
row_28	H2AX	na	432	0.2332710474729538	0.43884063	Yes	
row_29	H3C12	na	546	0.21526210010051727	0.44331083	Yes	
row_30	HMGA1	na	588	0.20969606935977936	0.45133945	Yes	
row_31	H1-4	na	684	0.20021818578243256	0.45603457	Yes	
row_32	CHAF1A	na	755	0.1934283822774887	0.46172878	Yes	
row_33	SRPK1	na	789	0.19099774956703186	0.46927252	Yes	
