NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKB	na	4	0.47673675417900085	0.050417807	Yes	
row_1	PLK1	na	6	0.46576517820358276	0.09982912	Yes	
row_2	TRIP13	na	26	0.40942689776420593	0.1423052	Yes	
row_3	CDT1	na	31	0.4040567874908447	0.1850044	Yes	
row_4	TTK	na	35	0.40246087312698364	0.22758701	Yes	
row_5	ESPL1	na	43	0.3992500603199005	0.26961705	Yes	
row_6	CDC20	na	50	0.39499714970588684	0.31124833	Yes	
row_7	DLGAP5	na	52	0.3948845863342285	0.35313213	Yes	
row_8	BUB1	na	69	0.37740185856819153	0.39236584	Yes	
row_9	CENPE	na	92	0.35475078225135803	0.4288766	Yes	
row_10	MAD2L1	na	104	0.3482166528701782	0.46527532	Yes	
row_11	NDC80	na	116	0.3423815071582794	0.50105435	Yes	
row_12	CDC6	na	139	0.32786282896995544	0.53470963	Yes	
row_13	CCNB1	na	148	0.3231751620769501	0.5686076	Yes	
row_14	BUB1B	na	155	0.3200249969959259	0.60227686	Yes	
row_15	FBXO5	na	173	0.31294119358062744	0.63461196	Yes	
row_16	CENPF	na	194	0.3043752610683441	0.66587865	Yes	
row_17	SPDL1	na	205	0.2951756715774536	0.6966973	Yes	
row_18	TACC3	na	306	0.2610103487968445	0.719127	Yes	
row_19	GEN1	na	544	0.21537582576274872	0.7294635	Yes	
row_20	NSMCE2	na	657	0.20193956792354584	0.7449851	Yes	
row_21	RAD21	na	1315	0.15452709794044495	0.72664315	No	
row_22	ZW10	na	1973	0.12519751489162445	0.7051864	No	
row_23	XRCC3	na	2254	0.11612340807914734	0.7027078	No	
row_24	ANAPC11	na	2365	0.11332466453313828	0.7089243	No	
row_25	MAPK15	na	2550	0.10805860906839371	0.71066725	No	
row_26	MAD2L2	na	3040	0.09630917012691498	0.6950291	No	
row_27	ANAPC1	na	4460	0.0665997639298439	0.6270425	No	
row_28	ANAPC15	na	4786	0.061307068914175034	0.61636204	No	
row_29	CDC23	na	5459	0.0504339374601841	0.586172	No	
row_30	LCMT1	na	6018	0.042354535311460495	0.561154	No	
row_31	PCID2	na	6022	0.04228401184082031	0.5654859	No	
row_32	PSMG2	na	6368	0.03791026026010513	0.55126286	No	
row_33	MAD1L1	na	6661	0.0337476022541523	0.5394012	No	
row_34	ZNF207	na	6912	0.03045271709561348	0.52941126	No	
row_35	CDC27	na	7076	0.027892107143998146	0.5237513	No	
row_36	BUB3	na	7202	0.026155143976211548	0.51991695	No	
row_37	TPR	na	7380	0.023671697825193405	0.5130683	No	
row_38	ANAPC5	na	7453	0.02278818190097809	0.5116799	No	
row_39	DYNC1LI1	na	8035	0.014410007745027542	0.48247764	No	
row_40	CDC26	na	8544	0.007817300036549568	0.45643663	No	
row_41	RIOK2	na	9266	-0.001537669450044632	0.41846186	No	
row_42	TEX14	na	9267	-0.0015708303544670343	0.4186287	No	
row_43	IK	na	10400	-0.01658513955771923	0.3605117	No	
row_44	NEK6	na	10884	-0.023419544100761414	0.33745006	No	
row_45	CUL3	na	11083	-0.026440436020493507	0.3297846	No	
row_46	KLHL22	na	11588	-0.03389803320169449	0.30672497	No	
row_47	CDK5RAP2	na	11916	-0.0387222021818161	0.29354024	No	
row_48	ANAPC4	na	12639	-0.05057898536324501	0.26072076	No	
row_49	APC	na	13301	-0.06163918972015381	0.23230255	No	
row_50	HECW2	na	13966	-0.07494024187326431	0.2051382	No	
row_51	ATM	na	14471	-0.08575502783060074	0.18758577	No	
row_52	RB1	na	15019	-0.09731176495552063	0.16898613	No	
row_53	USP44	na	16582	-0.14195136725902557	0.101437695	No	
row_54	DUSP1	na	18294	-0.2282787561416626	0.03517572	No	
