NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKA	na	1	0.4857295751571655	0.013493751	Yes	
row_1	MYBL2	na	2	0.48525723814964294	0.02702779	Yes	
row_2	AURKB	na	4	0.47673675417900085	0.040270727	Yes	
row_3	PLK1	na	6	0.46576517820358276	0.053207666	Yes	
row_4	UBE2C	na	7	0.46569177508354187	0.06619601	Yes	
row_5	NUF2	na	15	0.4270508885383606	0.07773242	Yes	
row_6	DSCC1	na	18	0.422017902135849	0.08939576	Yes	
row_7	SGO1	na	19	0.41892245411872864	0.101079695	Yes	
row_8	TPX2	na	21	0.41777151823043823	0.112678066	Yes	
row_9	TRIP13	na	26	0.40942689776420593	0.123883314	Yes	
row_10	NCAPH	na	30	0.4042030870914459	0.13499634	Yes	
row_11	CDT1	na	31	0.4040567874908447	0.14626566	Yes	
row_12	KIF4A	na	32	0.40353307127952576	0.15752037	Yes	
row_13	TTK	na	35	0.40246087312698364	0.16863826	Yes	
row_14	KIF18B	na	42	0.40012046694755554	0.17947704	Yes	
row_15	ESPL1	na	43	0.3992500603199005	0.19061229	Yes	
row_16	PKMYT1	na	44	0.3990802466869354	0.20174281	Yes	
row_17	CDCA5	na	45	0.39857521653175354	0.21285926	Yes	
row_18	ANLN	na	46	0.39854148030281067	0.22397475	Yes	
row_19	CDC20	na	50	0.39499714970588684	0.234831	Yes	
row_20	DLGAP5	na	52	0.3948845863342285	0.24579106	Yes	
row_21	KIF14	na	53	0.393275648355484	0.2567597	Yes	
row_22	PTTG1	na	54	0.3925758898258209	0.2677088	Yes	
row_23	NCAPG	na	58	0.3903881013393402	0.2784365	Yes	
row_24	HASPIN	na	59	0.3899577260017395	0.2893126	Yes	
row_25	KIFC1	na	60	0.3896101713180542	0.300179	Yes	
row_26	BIRC5	na	65	0.38263392448425293	0.310637	Yes	
row_27	NEK2	na	66	0.38252466917037964	0.32130578	Yes	
row_28	BUB1	na	69	0.37740185856819153	0.33172476	Yes	
row_29	KIF2C	na	71	0.37681853771209717	0.34218094	Yes	
row_30	CDCA8	na	79	0.36955490708351135	0.35211375	Yes	
row_31	SPAG5	na	84	0.3637068271636963	0.36204386	Yes	
row_32	CHEK2	na	88	0.36087122559547424	0.37194833	Yes	
row_33	CENPE	na	92	0.35475078225135803	0.3816821	Yes	
row_34	MTBP	na	93	0.35469433665275574	0.39157468	Yes	
row_35	CHEK1	na	102	0.34866994619369507	0.40087155	Yes	
row_36	KIF18A	na	103	0.34858980774879456	0.41059387	Yes	
row_37	MAD2L1	na	104	0.3482166528701782	0.4203058	Yes	
row_38	NDC80	na	116	0.3423815071582794	0.42926687	Yes	
row_39	CDC25C	na	117	0.3417711555957794	0.43879902	Yes	
row_40	KIF23	na	119	0.3414556682109833	0.44826892	Yes	
row_41	UBE2S	na	130	0.335880845785141	0.45710215	Yes	
row_42	CDC6	na	139	0.32786282896995544	0.4658187	Yes	
row_43	CCNB1	na	148	0.3231751620769501	0.4744045	Yes	
row_44	BUB1B	na	155	0.3200249969959259	0.48300937	Yes	
row_45	RACGAP1	na	165	0.3157368302345276	0.49133426	Yes	
row_46	FBXO5	na	173	0.31294119358062744	0.4996881	Yes	
row_47	CENPF	na	194	0.3043752610683441	0.50710803	Yes	
row_48	MKI67	na	196	0.3028363585472107	0.5155008	Yes	
row_49	PRC1	na	204	0.2958771586418152	0.52337873	Yes	
row_50	SPDL1	na	205	0.2951756715774536	0.5316113	Yes	
row_51	NUSAP1	na	222	0.2889360189437866	0.5388145	Yes	
row_52	DSN1	na	235	0.28363651037216187	0.5460837	Yes	
row_53	KIF11	na	237	0.2829981744289398	0.5539232	Yes	
row_54	CENPK	na	268	0.2741321325302124	0.55996495	Yes	
row_55	KNSTRN	na	269	0.2737601101398468	0.56760025	Yes	
row_56	TACC3	na	306	0.2610103487968445	0.57295537	Yes	
row_57	RRS1	na	316	0.2591188848018646	0.5797011	Yes	
row_58	INCENP	na	317	0.2579169273376465	0.5868946	Yes	
row_59	PSRC1	na	334	0.25428149104118347	0.5931312	Yes	
row_60	BORA	na	365	0.24817366898059845	0.598449	Yes	
row_61	ZWINT	na	382	0.24413107335567474	0.60440254	Yes	
row_62	CCSAP	na	431	0.2336888313293457	0.6083541	Yes	
row_63	GEN1	na	544	0.21537582576274872	0.6083733	Yes	
row_64	KNTC1	na	575	0.21159878373146057	0.612671	Yes	
