NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKA	na	1	0.4857295751571655	0.030488417	Yes	
row_1	MYBL2	na	2	0.48525723814964294	0.061000172	Yes	
row_2	AURKB	na	4	0.47673675417900085	0.090923145	Yes	
row_3	PLK1	na	6	0.46576517820358276	0.12015625	Yes	
row_4	NUF2	na	15	0.4270508885383606	0.14658384	Yes	
row_5	TPX2	na	21	0.41777151823043823	0.17258708	Yes	
row_6	KIF4A	na	32	0.40353307127952576	0.19742987	Yes	
row_7	TTK	na	35	0.40246087312698364	0.22262952	Yes	
row_8	CDC20	na	50	0.39499714970588684	0.24672344	Yes	
row_9	KIFC1	na	60	0.3896101713180542	0.27074382	Yes	
row_10	BIRC5	na	65	0.38263392448425293	0.29459074	Yes	
row_11	NEK2	na	66	0.38252466917037964	0.3186429	Yes	
row_12	CHEK2	na	88	0.36087122559547424	0.34021983	Yes	
row_13	CENPE	na	92	0.35475078225135803	0.36236656	Yes	
row_14	POC1A	na	100	0.3493872582912445	0.3839639	Yes	
row_15	NDC80	na	116	0.3423815071582794	0.40469643	Yes	
row_16	KIF23	na	119	0.3414556682109833	0.42606026	Yes	
row_17	CCNB1	na	148	0.3231751620769501	0.44489568	Yes	
row_18	RACGAP1	na	165	0.3157368302345276	0.46389982	Yes	
row_19	STIL	na	168	0.31532078981399536	0.48362035	Yes	
row_20	SPC25	na	182	0.3099533021450043	0.50241995	Yes	
row_21	WDR62	na	189	0.3071558177471161	0.52141494	Yes	
row_22	PRC1	na	204	0.2958771586418152	0.5392764	Yes	
row_23	KIF11	na	237	0.2829981744289398	0.5553735	Yes	
row_24	GPSM2	na	295	0.26458391547203064	0.5689868	Yes	
row_25	TACC3	na	306	0.2610103487968445	0.5848681	Yes	
row_26	PSRC1	na	334	0.25428149104118347	0.59942466	Yes	
row_27	BORA	na	365	0.24817366898059845	0.6134381	Yes	
row_28	CCSAP	na	431	0.2336888313293457	0.6246845	Yes	
row_29	STMN1	na	449	0.22950564324855804	0.63821363	Yes	
row_30	INTS13	na	631	0.20520229637622833	0.6415167	Yes	
row_31	CHMP4C	na	749	0.19381830096244812	0.64749825	Yes	
row_32	RCC1	na	810	0.18994000554084778	0.656259	Yes	
row_33	FSD1	na	833	0.18817077577114105	0.66692394	Yes	
row_34	RAE1	na	1173	0.1622161865234375	0.65914434	No	
row_35	HSPA1B	na	1575	0.14225836098194122	0.6468216	No	
row_36	TUBG1	na	1686	0.1368056982755661	0.6495896	No	
row_37	MSTO1	na	1981	0.12496308237314224	0.6418543	No	
row_38	CHMP1A	na	2073	0.1221865639090538	0.6447108	No	
row_39	MZT1	na	2346	0.1139320433139801	0.63744867	No	
row_40	SMC1A	na	2507	0.10931142419576645	0.63583606	No	
row_41	DRG1	na	2747	0.10331041365861893	0.6296563	No	
row_42	RAN	na	2820	0.10171123594045639	0.632233	No	
row_43	HSPA1A	na	3511	0.08581842482089996	0.601034	No	
row_44	NUP62	na	3924	0.0774502381682396	0.5840529	No	
row_45	BCCIP	na	4257	0.07080653309822083	0.570897	No	
row_46	SPAST	na	4571	0.06480614095926285	0.5583715	No	
row_47	KPNB1	na	5060	0.05690181627869606	0.5360676	No	
row_48	PCNT	na	5061	0.05689523369073868	0.539645	No	
row_49	KIF2A	na	5129	0.05578954890370369	0.5395995	No	
row_50	WRAP73	na	5518	0.04934006929397583	0.52212375	No	
row_51	SMC3	na	5608	0.047893017530441284	0.52041495	No	
row_52	FLNA	na	5937	0.04353882744908333	0.5057566	No	
row_53	CLTC	na	6166	0.0404476635158062	0.4962076	No	
row_54	SBDS	na	6313	0.03881639242172241	0.49090496	No	
row_55	DCTN2	na	6600	0.03449391573667526	0.47790545	No	
row_56	VCP	na	6627	0.03408636152744293	0.4786698	No	
row_57	CHMP2B	na	6702	0.03316435217857361	0.4768304	No	
row_58	TACC2	na	6751	0.032577142119407654	0.47633302	No	
row_59	HNRNPU	na	6806	0.03192027285695076	0.47547612	No	
row_60	DYNC1H1	na	6893	0.030743801966309547	0.4728481	No	
row_61	ZNF207	na	6912	0.03045271709561348	0.47380823	No	
row_62	CHMP4B	na	7247	0.025481287389993668	0.4576963	No	
row_63	TPR	na	7380	0.023671697825193405	0.4521839	No	
row_64	KIF3B	na	7892	0.016560204327106476	0.42612362	No	
row_65	CHMP1B	na	8068	0.013856065459549427	0.4177135	No	
row_66	CEP97	na	8140	0.012956450693309307	0.4147626	No	
row_67	SUN2	na	8144	0.01290282141417265	0.41541475	No	
row_68	CEP192	na	8166	0.012650356628000736	0.41509643	No	
row_69	MAP4	na	8195	0.012304600328207016	0.41438508	No	
row_70	STAG2	na	8321	0.010909128934144974	0.40844148	No	
row_71	RHOA	na	8322	0.010899576358497143	0.40912682	No	
row_72	CLASP1	na	8623	0.006706381216645241	0.3936376	No	
row_73	AAAS	na	8817	0.004373973701149225	0.38367662	No	
row_74	ABRAXAS2	na	8831	0.0041757202707231045	0.3832497	No	
row_75	STAG1	na	9883	-0.00921602826565504	0.32808802	No	
row_76	DCTN1	na	9989	-0.011039569042623043	0.32321334	No	
row_77	PKD1	na	10202	-0.013953404501080513	0.312847	No	
row_78	GOLGA2	na	10286	-0.014999003149569035	0.30938807	No	
row_79	MAP10	na	10786	-0.021905632689595222	0.2843003	No	
row_80	SPICE1	na	10804	-0.02216898649930954	0.28479263	No	
row_81	CHMP5	na	10907	-0.02370852418243885	0.28087366	No	
row_82	MECP2	na	10948	-0.024451715871691704	0.28028965	No	
row_83	CHMP2A	na	11049	-0.02594577521085739	0.27661744	No	
row_84	PTPA	na	11188	-0.02784881182014942	0.27104947	No	
row_85	AURKC	na	11235	-0.02844269759953022	0.2703982	No	
row_86	GNAI1	na	11785	-0.03686100244522095	0.243599	No	
row_87	EML1	na	11846	-0.037668123841285706	0.24278529	No	
row_88	VPS4B	na	12654	-0.050815943628549576	0.20318015	No	
row_89	RAB11A	na	13137	-0.058658525347709656	0.18130495	No	
row_90	TACC1	na	13263	-0.061161499470472336	0.17852108	No	
row_91	ANKRD53	na	13443	-0.06430767476558685	0.17307109	No	
row_92	MAP9	na	13965	-0.07493939250707626	0.15015116	No	
row_93	CLASP2	na	14035	-0.07649078965187073	0.1513012	No	
row_94	PIBF1	na	14850	-0.09368628263473511	0.11402039	No	
row_95	ARHGEF10	na	15604	-0.11195942759513855	0.08112376	No	
row_96	TNKS	na	15708	-0.11518363654613495	0.082903475	No	
