NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	E2F2	na	108	0.3471958637237549	0.023421364	No	
row_1	CXCL10	na	559	0.21344128251075745	0.017471524	No	
row_2	EFNA3	na	647	0.20334838330745697	0.029929545	No	
row_3	PGK1	na	1428	0.14932484924793243	0.0010917828	No	
row_4	WT1	na	1821	0.13083508610725403	-0.00871699	No	
row_5	PDCD10	na	2475	0.11023140698671341	-0.034100313	No	
row_6	FOXC1	na	2631	0.10607703030109406	-0.033416133	No	
row_7	DNMT1	na	2711	0.10409869253635406	-0.028866654	No	
row_8	NFATC3	na	2841	0.10120727866888046	-0.027212173	No	
row_9	BMP7	na	3102	0.09506868571043015	-0.033021946	No	
row_10	NOTCH1	na	3212	0.09257657825946808	-0.031031193	No	
row_11	MINAR1	na	3815	0.07950073480606079	-0.056289345	No	
row_12	STAT1	na	3860	0.07871735095977783	-0.05201429	No	
row_13	ITGB1BP1	na	4272	0.07029988616704941	-0.06791338	No	
row_14	HLA-G	na	4316	0.06941654533147812	-0.06436617	No	
row_15	HGS	na	4616	0.06396405398845673	-0.0748562	No	
row_16	ROCK2	na	4910	0.059339262545108795	-0.08541626	No	
row_17	FASLG	na	5158	0.055335696786642075	-0.09387238	No	
row_18	EPN1	na	5603	0.04804718494415283	-0.113390274	No	
row_19	NIBAN2	na	6145	0.040729034692049026	-0.13866793	No	
row_20	FOXJ2	na	6294	0.03901085630059242	-0.14324324	No	
row_21	SULF1	na	6335	0.038422469049692154	-0.14213912	No	
row_22	COL4A3	na	7364	0.024074725806713104	-0.19464785	No	
row_23	AGT	na	7459	0.0226984191685915	-0.19772832	No	
row_24	PDE3B	na	7812	0.01786789670586586	-0.21489991	No	
row_25	SEMA4A	na	7962	0.015473170205950737	-0.22150448	No	
row_26	RHOA	na	8322	0.010899576358497143	-0.23963243	No	
row_27	HEY2	na	8342	0.010619200766086578	-0.2397487	No	
row_28	KRIT1	na	8373	0.010177227668464184	-0.24048558	No	
row_29	COL4A2	na	8398	0.00983212050050497	-0.24093316	No	
row_30	CTNNB1	na	8613	0.006796963047236204	-0.25171408	No	
row_31	GTF2I	na	8737	0.005265732295811176	-0.25779647	No	
row_32	PML	na	8743	0.00519663468003273	-0.2576254	No	
row_33	THBS2	na	8765	0.004966357722878456	-0.25832236	No	
row_34	EPHA2	na	8938	0.002856889506801963	-0.2672062	No	
row_35	AGO1	na	9279	-0.0016874929424375296	-0.28509974	No	
row_36	SPINK5	na	9507	-0.004542579874396324	-0.29675952	No	
row_37	PDGFB	na	9811	-0.008293094113469124	-0.31213582	No	
row_38	AMOT	na	9954	-0.010504082776606083	-0.31878623	No	
row_39	ANGPT2	na	10147	-0.01325288601219654	-0.32785815	No	
row_40	ROCK1	na	10172	-0.01355208083987236	-0.3279934	No	
row_41	HDAC5	na	10339	-0.01573425903916359	-0.3354778	No	
row_42	SARS1	na	10478	-0.017455799505114555	-0.3413324	No	
row_43	THBS1	na	10666	-0.020229129120707512	-0.34955338	No	
row_44	ATF2	na	10767	-0.021686652675271034	-0.35303706	No	
row_45	CCR2	na	10816	-0.022280992940068245	-0.3537125	No	
row_46	MECP2	na	10948	-0.024451715871691704	-0.35860842	No	
row_47	TGFB2	na	10957	-0.02454712614417076	-0.35697183	No	
row_48	NF1	na	11119	-0.02696109376847744	-0.36324844	No	
row_49	TBXA2R	na	11582	-0.033861394971609116	-0.38491213	No	
row_50	EMILIN1	na	11860	-0.03785412386059761	-0.39642736	No	
row_51	EPN2	na	12209	-0.04331471025943756	-0.41125026	No	
row_52	SERPINE1	na	12451	-0.047328684478998184	-0.4200604	No	
row_53	SPARC	na	12540	-0.049017783254384995	-0.42061284	No	
row_54	FOXO4	na	12751	-0.05244535207748413	-0.427349	No	
row_55	SERPINF1	na	12828	-0.05362866818904877	-0.4268778	No	
row_56	RGCC	na	13148	-0.058825261890888214	-0.43886018	No	
row_57	XDH	na	13167	-0.05929352715611458	-0.43483675	No	
row_58	ADAMTS9	na	13547	-0.06620466709136963	-0.44938225	No	
row_59	DAB2IP	na	13673	-0.06842146813869476	-0.45026824	No	
row_60	FGF9	na	13759	-0.07042783498764038	-0.448864	No	
row_61	STAB1	na	14449	-0.08527255058288574	-0.47825244	No	
row_62	GPR4	na	14757	-0.09155472368001938	-0.48685035	Yes	
row_63	GHRL	na	14778	-0.09192859381437302	-0.48019302	Yes	
row_64	HSPG2	na	14792	-0.09237069636583328	-0.47312728	Yes	
row_65	SPRED1	na	14933	-0.0956408679485321	-0.47252363	Yes	
row_66	ISM1	na	14992	-0.09677824378013611	-0.46747482	Yes	
row_67	SYNJ2BP	na	15189	-0.10154510289430618	-0.469346	Yes	
row_68	SEMA6A	na	15364	-0.10580696165561676	-0.46969232	Yes	
row_69	BMP4	na	15605	-0.11197194457054138	-0.473022	Yes	
row_70	DCN	na	15846	-0.11909899115562439	-0.47575334	Yes	
row_71	PDCD4	na	15990	-0.12292042374610901	-0.47301847	Yes	
row_72	MAP2K5	na	16118	-0.12638945877552032	-0.46914363	Yes	
row_73	CD160	na	16361	-0.134905606508255	-0.47065392	Yes	
row_74	SEMA3E	na	16386	-0.13552998006343842	-0.46054804	Yes	
row_75	VASH1	na	16406	-0.13599006831645966	-0.45013833	Yes	
row_76	ADGRB1	na	16409	-0.13606686890125275	-0.4388204	Yes	
row_77	PLK2	na	16543	-0.1405012607574463	-0.434079	Yes	
row_78	NFATC2	na	16971	-0.15527841448783875	-0.4436921	Yes	
row_79	CREB3L1	na	17023	-0.15781854093074799	-0.4331471	Yes	
row_80	WNT4	na	17055	-0.1590610295534134	-0.4214369	Yes	
row_81	DLL4	na	17252	-0.16660666465759277	-0.41784555	Yes	
row_82	PPARG	na	17326	-0.17001475393772125	-0.40744355	Yes	
row_83	TNMD	na	17513	-0.17839142680168152	-0.40233234	Yes	
row_84	PTN	na	17546	-0.18061509728431702	-0.3888655	Yes	
row_85	NFATC1	na	17560	-0.18131165206432343	-0.37433234	Yes	
row_86	HOXA5	na	17596	-0.18371206521987915	-0.36076465	Yes	
row_87	SPRY2	na	17716	-0.1898810863494873	-0.35113475	Yes	
row_88	KLF4	na	17773	-0.193669393658638	-0.337845	Yes	
row_89	CARD10	na	17801	-0.19544965028762817	-0.32286745	Yes	
row_90	HHEX	na	18035	-0.20879070460796356	-0.31769702	Yes	
row_91	TIE1	na	18178	-0.21937666833400726	-0.30681074	Yes	
row_92	NPR1	na	18234	-0.22309233248233795	-0.29099762	Yes	
row_93	NGFR	na	18354	-0.23285430669784546	-0.27775973	Yes	
row_94	STARD13	na	18415	-0.23891542851924896	-0.26088333	Yes	
row_95	PTPRM	na	18423	-0.2394913285970688	-0.2411472	Yes	
row_96	ADGRB3	na	18455	-0.24273568391799927	-0.22241177	Yes	
row_97	MEOX2	na	18459	-0.24368496239185333	-0.20211136	Yes	
row_98	THBS4	na	18466	-0.24418224394321442	-0.18192835	Yes	
row_99	ANGPT4	na	18496	-0.24700142443180084	-0.16272867	Yes	
row_100	MIR30C2	na	18524	-0.2505735456943512	-0.14312299	Yes	
row_101	ECSCR	na	18550	-0.25377023220062256	-0.12314282	Yes	
row_102	MMRN2	na	18578	-0.25691595673561096	-0.103004634	Yes	
row_103	KLF2	na	18652	-0.2680136561393738	-0.08437476	Yes	
row_104	CLDN5	na	18698	-0.273280531167984	-0.06381743	Yes	
row_105	TEK	na	18711	-0.2758311331272125	-0.041295476	Yes	
row_106	ADGRB2	na	18738	-0.279356986284256	-0.01922012	Yes	
row_107	CX3CR1	na	18951	-0.3679162561893463	4.2425253E-4	Yes	
