NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKB	na	4	0.47673675417900085	0.013804122	Yes	
row_1	PLK1	na	6	0.46576517820358276	0.027445914	Yes	
row_2	FAM83D	na	8	0.4570704698562622	0.04083205	Yes	
row_3	NUF2	na	15	0.4270508885383606	0.053068373	Yes	
row_4	DSCC1	na	18	0.422017902135849	0.06537041	Yes	
row_5	SGO1	na	19	0.41892245411872864	0.07768828	Yes	
row_6	TRIP13	na	26	0.40942689776420593	0.08940639	Yes	
row_7	NCAPH	na	30	0.4042030870914459	0.10113118	Yes	
row_8	CDT1	na	31	0.4040567874908447	0.11301194	Yes	
row_9	KIF4A	na	32	0.40353307127952576	0.124877304	Yes	
row_10	RMI2	na	33	0.4034792482852936	0.13674109	Yes	
row_11	TTK	na	35	0.40246087312698364	0.1485215	Yes	
row_12	KIF18B	na	42	0.40012046694755554	0.15996596	Yes	
row_13	ESPL1	na	43	0.3992500603199005	0.1717054	Yes	
row_14	CDCA5	na	45	0.39857521653175354	0.18337154	Yes	
row_15	CDC20	na	50	0.39499714970588684	0.19477223	Yes	
row_16	DLGAP5	na	52	0.3948845863342285	0.20632987	Yes	
row_17	KIF14	na	53	0.393275648355484	0.21789363	Yes	
row_18	PTTG1	na	54	0.3925758898258209	0.2294368	Yes	
row_19	NCAPG	na	58	0.3903881013393402	0.24075538	Yes	
row_20	HASPIN	na	59	0.3899577260017395	0.25222158	Yes	
row_21	KIFC1	na	60	0.3896101713180542	0.26367757	Yes	
row_22	NEK2	na	66	0.38252466917037964	0.27465808	Yes	
row_23	BUB1	na	69	0.37740185856819153	0.28564823	Yes	
row_24	KIF2C	na	71	0.37681853771209717	0.29667467	Yes	
row_25	CCNE1	na	78	0.3719814419746399	0.30729175	Yes	
row_26	CDCA8	na	79	0.36955490708351135	0.31815803	Yes	
row_27	SPAG5	na	84	0.3637068271636963	0.32863864	Yes	
row_28	CENPE	na	92	0.35475078225135803	0.33869565	Yes	
row_29	KIF18A	na	103	0.34858980774879456	0.34841123	Yes	
row_30	MAD2L1	na	104	0.3482166528701782	0.3586501	Yes	
row_31	NDC80	na	116	0.3423815071582794	0.3681297	Yes	
row_32	KIF23	na	119	0.3414556682109833	0.3780629	Yes	
row_33	EME1	na	127	0.336804062128067	0.38759223	Yes	
row_34	CDC6	na	139	0.32786282896995544	0.39664492	Yes	
row_35	CCNB1	na	148	0.3231751620769501	0.40572008	Yes	
row_36	CENPQ	na	151	0.32134947180747986	0.4150621	Yes	
row_37	BUB1B	na	155	0.3200249969959259	0.42431173	Yes	
row_38	RACGAP1	na	165	0.3157368302345276	0.43311474	Yes	
row_39	CCNE2	na	169	0.3152824938297272	0.44222495	Yes	
row_40	FBXO5	na	173	0.31294119358062744	0.4512663	Yes	
row_41	CENPF	na	194	0.3043752610683441	0.45914757	Yes	
row_42	TOP2A	na	195	0.30356091260910034	0.46807337	Yes	
row_43	PRC1	na	204	0.2958771586418152	0.47634587	Yes	
row_44	SPDL1	na	205	0.2951756715774536	0.4850251	Yes	
row_45	SMC1B	na	210	0.29443731904029846	0.49346897	Yes	
row_46	NUSAP1	na	222	0.2889360189437866	0.50137705	Yes	
row_47	SGO2	na	227	0.28609564900398254	0.50957566	Yes	
row_48	DSN1	na	235	0.28363651037216187	0.51754165	Yes	
row_49	KNL1	na	252	0.27856510877609253	0.52487767	Yes	
row_50	CENPK	na	268	0.2741321325302124	0.5321368	Yes	
row_51	KNSTRN	na	269	0.2737601101398468	0.54018635	Yes	
row_52	TACC3	na	306	0.2610103487968445	0.5459378	Yes	
row_53	RRS1	na	316	0.2591188848018646	0.55307597	Yes	
row_54	INCENP	na	317	0.2579169273376465	0.5606597	Yes	
row_55	PSRC1	na	334	0.25428149104118347	0.5672817	Yes	
row_56	FEN1	na	339	0.2536035478115082	0.5745249	Yes	
row_57	BRIP1	na	344	0.25231924653053284	0.5817303	Yes	
row_58	DDX12P	na	369	0.24781356751918793	0.58773476	Yes	
row_59	FANCD2	na	378	0.24544337391853333	0.5945243	Yes	
row_60	ZWINT	na	382	0.24413107335567474	0.6015424	Yes	
row_61	ESCO2	na	427	0.2346257120370865	0.60609055	Yes	
row_62	DDX11	na	489	0.22297199070453644	0.6093879	Yes	
row_63	GEN1	na	544	0.21537582576274872	0.6128358	Yes	
row_64	ECT2	na	602	0.20769686996936798	0.61589766	Yes	
row_65	NSMCE2	na	657	0.20193956792354584	0.6189505	Yes	
row_66	CHMP4C	na	749	0.19381830096244812	0.6197879	Yes	
row_67	HORMAD1	na	823	0.18894685804843903	0.62144357	Yes	
row_68	NCAPD2	na	842	0.1871342658996582	0.6259844	Yes	
row_69	NAA10	na	883	0.1840660274028778	0.62925965	Yes	
row_70	SMC4	na	924	0.18047912418842316	0.6324294	Yes	
row_71	CCDC155	na	976	0.1765676885843277	0.6348965	Yes	
row_72	TENT4A	na	1224	0.15927574038505554	0.62638396	Yes	
row_73	CCNB1IP1	na	1293	0.15565650165081024	0.6273279	Yes	
row_74	RAD21	na	1315	0.15452709794044495	0.6307497	Yes	
row_75	MCMDC2	na	1422	0.1498831808567047	0.62949383	Yes	
row_76	SYCE2	na	1450	0.1484972983598709	0.63241774	Yes	
row_77	TUBG1	na	1686	0.1368056982755661	0.6238856	Yes	
row_78	HIRA	na	1707	0.13595637679100037	0.62681466	Yes	
row_79	KIF22	na	1834	0.1304643452167511	0.6239193	Yes	
row_80	NCAPD3	na	1927	0.1265898495912552	0.6227265	Yes	
row_81	CENPX	na	1963	0.12552787363529205	0.6245476	Yes	
row_82	ZW10	na	1973	0.12519751489162445	0.6277481	Yes	
row_83	MSTO1	na	1981	0.12496308237314224	0.63104844	Yes	
row_84	CHMP1A	na	2073	0.1221865639090538	0.6297796	Yes	
row_85	SEH1L	na	2089	0.12165479362010956	0.6325553	Yes	
row_86	RAD51C	na	2118	0.12072396278381348	0.63460916	Yes	
row_87	KATNB1	na	2139	0.12000713497400284	0.6370693	Yes	
row_88	XRCC3	na	2254	0.11612340807914734	0.6343934	Yes	
row_89	SYCE1L	na	2279	0.11567624658346176	0.6365125	Yes	
row_90	SMC2	na	2344	0.11405719071626663	0.636447	Yes	
row_91	ANAPC11	na	2365	0.11332466453313828	0.6387107	Yes	
row_92	MEIOC	na	2482	0.11010417342185974	0.63575095	No	
row_93	SMC1A	na	2507	0.10931142419576645	0.6376829	No	
row_94	MAPK15	na	2550	0.10805860906839371	0.6386164	No	
row_95	RMI1	na	2746	0.10332327336072922	0.6312367	No	
row_96	RAN	na	2820	0.10171123594045639	0.6303274	No	
row_97	NCAPH2	na	2875	0.10009990632534027	0.63038576	No	
row_98	NAA50	na	2962	0.09791922569274902	0.62867045	No	
row_99	MAD2L2	na	3040	0.09630917012691498	0.6273886	No	
row_100	VPS4A	na	3390	0.08850042521953583	0.6113457	No	
row_101	RCC2	na	3535	0.08526890724897385	0.6061598	No	
row_102	PINX1	na	3563	0.08469856530427933	0.6072078	No	
row_103	CENPS	na	3596	0.08396321535110474	0.607967	No	
row_104	SLX4	na	3655	0.08259662240743637	0.60729706	No	
row_105	TTL	na	3778	0.08012235909700394	0.60313517	No	
row_106	TERF1	na	3920	0.0775545984506607	0.5978827	No	
row_107	NUP62	na	3924	0.0774502381682396	0.5999997	No	
row_108	ACTR3	na	4006	0.07585877925157547	0.5979029	No	
row_109	NDC1	na	4338	0.06897766888141632	0.58224756	No	
row_110	STAG3L4	na	4343	0.06889142096042633	0.58405954	No	
row_111	ANAPC1	na	4460	0.0665997639298439	0.5798206	No	
row_112	MAEL	na	4673	0.06304089725017548	0.5703482	No	
row_113	MCMBP	na	4694	0.0626254677772522	0.5711211	No	
row_114	SIRT2	na	4783	0.06136036291718483	0.568224	No	
row_115	ANAPC15	na	4786	0.061307068914175034	0.56991976	No	
row_116	KPNB1	na	5060	0.05690181627869606	0.557008	No	
row_117	KIF25	na	5079	0.05669811740517616	0.5577135	No	
row_118	DMC1	na	5304	0.05287393927574158	0.5473011	No	
row_119	PHB2	na	5305	0.05287066102027893	0.5488557	No	
row_120	MIS12	na	5393	0.051691100001335144	0.54572767	No	
row_121	HDAC8	na	5435	0.05095183476805687	0.5450355	No	
row_122	CDC23	na	5459	0.0504339374601841	0.54528964	No	
row_123	ACTR2	na	5570	0.04851003363728523	0.5408393	No	
row_124	SMC3	na	5608	0.047893017530441284	0.54027086	No	
row_125	FBXW7	na	5840	0.04466087743639946	0.529243	No	
row_126	FANCM	na	5873	0.04428298398852348	0.5288355	No	
row_127	BAG6	na	5970	0.04316738620400429	0.524976	No	
row_128	LCMT1	na	6018	0.042354535311460495	0.5237104	No	
row_129	PCID2	na	6022	0.04228401184082031	0.52479345	No	
row_130	SUN1	na	6026	0.04224210977554321	0.5258753	No	
row_131	TEX11	na	6039	0.0420551523566246	0.5264707	No	
row_132	MRE11	na	6132	0.040934689342975616	0.5227593	No	
row_133	REC8	na	6169	0.04040531814098358	0.5220241	No	
row_134	CTCF	na	6207	0.03999495878815651	0.52122337	No	
row_135	PSMG2	na	6368	0.03791026026010513	0.5137902	No	
row_136	MEI1	na	6642	0.03395264595746994	0.5002036	No	
row_137	MAD1L1	na	6661	0.0337476022541523	0.50023425	No	
row_138	MACROH2A1	na	6663	0.0337163545191288	0.50117224	No	
row_139	CHMP2B	na	6702	0.03316435217857361	0.50011724	No	
row_140	HNRNPU	na	6806	0.03192027285695076	0.4955531	No	
row_141	DYNC1H1	na	6893	0.030743801966309547	0.49186257	No	
row_142	CHTF8	na	6909	0.03048260137438774	0.49195752	No	
row_143	ZNF207	na	6912	0.03045271709561348	0.49274608	No	
row_144	ESCO1	na	6962	0.029656630009412766	0.4910003	No	
row_145	SFPQ	na	7015	0.028899943456053734	0.489072	No	
