NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GCH1	na	379	0.2449055314064026	0.004996879	No	
row_1	ADA	na	685	0.20018644630908966	0.0093354015	No	
row_2	NMU	na	1426	0.14943364262580872	-0.0145676695	No	
row_3	ADM	na	1764	0.13323046267032623	-0.018779881	No	
row_4	DSC2	na	1808	0.1313607096672058	-0.007608202	No	
row_5	KCNE2	na	2477	0.11014233529567719	-0.03171985	No	
row_6	KCNE5	na	2902	0.09950398653745651	-0.04399426	No	
row_7	HCN4	na	3237	0.09203440696001053	-0.052265506	No	
row_8	KCNE3	na	4037	0.07519344240427017	-0.08689551	No	
row_9	DSP	na	4075	0.07454346865415573	-0.08122335	No	
row_10	ATP5PF	na	4730	0.062050845474004745	-0.109517284	No	
row_11	ATP2A2	na	5054	0.05693816393613815	-0.1207992	No	
row_12	CALM1	na	5773	0.04547075554728508	-0.15418127	No	
row_13	CALM2	na	5860	0.04443524777889252	-0.15418771	No	
row_14	SNTA1	na	5935	0.04359517619013786	-0.15364443	No	
row_15	YWHAE	na	6163	0.04048924520611763	-0.16152468	No	
row_16	EDN1	na	6227	0.03980954736471176	-0.16078626	No	
row_17	CAMK2D	na	6451	0.03654126822948456	-0.16885883	No	
row_18	BVES	na	6456	0.03642880916595459	-0.16534087	No	
row_19	DSG2	na	7004	0.029130825772881508	-0.19133684	No	
row_20	CALM3	na	7211	0.026012765243649483	-0.19958678	No	
row_21	AGT	na	7459	0.0226984191685915	-0.21034814	No	
row_22	PRKACA	na	7999	0.014893854968249798	-0.23737797	No	
row_23	JUP	na	8093	0.013472441583871841	-0.24092546	No	
row_24	HEY2	na	8342	0.010619200766086578	-0.25297657	No	
row_25	PKP2	na	9151	1.7249619122594595E-4	-0.29576457	No	
row_26	KCNH2	na	9752	-0.007675768341869116	-0.32676506	No	
row_27	PDE4D	na	10077	-0.012247786857187748	-0.3426757	No	
row_28	SREBF1	na	10111	-0.012697648257017136	-0.34312385	No	
row_29	MDM2	na	10690	-0.02055876888334751	-0.3716398	No	
row_30	SRI	na	11199	-0.027993809431791306	-0.39568606	No	
row_31	BIN1	na	11665	-0.03516177833080292	-0.4167204	No	
row_32	TPM1	na	11772	-0.03663811832666397	-0.4185847	No	
row_33	SEMA3A	na	11906	-0.038578081876039505	-0.42168075	No	
row_34	EDN2	na	11991	-0.039833784103393555	-0.42205238	No	
row_35	KCNJ2	na	12068	-0.0410822257399559	-0.42187235	No	
row_36	RNLS	na	12390	-0.04632792994379997	-0.43413466	No	
row_37	SPX	na	12398	-0.046443354338407516	-0.42975026	No	
row_38	RGS4	na	12410	-0.046722523868083954	-0.4255492	No	
row_39	KCNJ5	na	12503	-0.04820665344595909	-0.42548737	No	
row_40	TRPV1	na	12623	-0.05016632005572319	-0.42665526	No	
row_41	RYR2	na	12719	-0.051712144166231155	-0.42639342	No	
row_42	SLC8A1	na	13121	-0.05838320776820183	-0.44165963	No	
row_43	SCN5A	na	13145	-0.058746907860040665	-0.43686315	No	
row_44	GJA5	na	13411	-0.06369376182556152	-0.44438067	No	
row_45	DMD	na	13729	-0.06953678280115128	-0.4540548	No	
row_46	DRD2	na	14372	-0.08394741266965866	-0.47947106	No	
row_47	IRX5	na	14742	-0.09137218445539474	-0.48966432	No	
row_48	EPAS1	na	14868	-0.09425675868988037	-0.48663577	No	
row_49	KCNE1	na	15035	-0.0976124033331871	-0.4854357	No	
row_50	AVPR1A	na	15231	-0.1026172786951065	-0.48525953	No	
row_51	KCNQ1	na	15611	-0.11225065588951111	-0.49384487	No	
row_52	TRPM4	na	16042	-0.1243654191493988	-0.50389165	Yes	
row_53	AKAP9	na	16046	-0.12452811002731323	-0.49130046	Yes	
row_54	ADRA1A	na	16099	-0.12592121958732605	-0.4811625	Yes	
row_55	RANGRF	na	16197	-0.12899811565876007	-0.4730935	Yes	
row_56	ADRB1	na	16249	-0.13083846867084503	-0.4623991	Yes	
row_57	PLN	na	16607	-0.14306628704071045	-0.4666638	Yes	
row_58	ANK2	na	16679	-0.14558418095111847	-0.45551917	Yes	
row_59	NOS1AP	na	17209	-0.16520079970359802	-0.46662968	Yes	
row_60	KCNJ3	na	17217	-0.1654389500617981	-0.45006162	Yes	
row_61	KCNA5	na	17306	-0.1691787987947464	-0.43740183	Yes	
row_62	EDN3	na	17555	-0.1809370219707489	-0.4320145	Yes	
row_63	HRC	na	17566	-0.18179422616958618	-0.4139308	Yes	
row_64	CACNA2D1	na	17582	-0.18289096653461456	-0.3959997	Yes	
row_65	CTNNA3	na	17583	-0.18313360214233398	-0.3772491	Yes	
row_66	TNNI3K	na	17639	-0.1863294541835785	-0.361085	Yes	
row_67	CACNA1C	na	17691	-0.18878056108951569	-0.34445807	Yes	
row_68	SLC1A1	na	17756	-0.19268865883350372	-0.3281197	Yes	
row_69	SCN1B	na	17783	-0.1941940188407898	-0.30961406	Yes	
row_70	FKBP1B	na	17821	-0.19648663699626923	-0.29145643	Yes	
row_71	CAV1	na	17922	-0.2021719217300415	-0.27605426	Yes	
row_72	POPDC2	na	18116	-0.21448498964309692	-0.2643183	Yes	
