NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DSC2	na	1808	0.1313607096672058	-0.06991647	No	
row_1	KCNE2	na	2477	0.11014233529567719	-0.08372852	No	
row_2	KCNE5	na	2902	0.09950398653745651	-0.08672177	No	
row_3	HCN4	na	3237	0.09203440696001053	-0.08641622	No	
row_4	KCNE3	na	4037	0.07519344240427017	-0.11396964	No	
row_5	DSP	na	4075	0.07454346865415573	-0.10138141	No	
row_6	YWHAE	na	6163	0.04048924520611763	-0.20377098	No	
row_7	CAMK2D	na	6451	0.03654126822948456	-0.21180846	No	
row_8	DSG2	na	7004	0.029130825772881508	-0.23529585	No	
row_9	JUP	na	8093	0.013472441583871841	-0.29016352	No	
row_10	PKP2	na	9151	1.7249619122594595E-4	-0.34598783	No	
row_11	KCNH2	na	9752	-0.007675768341869116	-0.37619773	No	
row_12	BIN1	na	11665	-0.03516177833080292	-0.47037867	No	
row_13	KCNJ2	na	12068	-0.0410822257399559	-0.48360747	No	
row_14	KCNJ5	na	12503	-0.04820665344595909	-0.49713734	No	
row_15	SCN5A	na	13145	-0.058746907860040665	-0.51954985	No	
row_16	GJA5	na	13411	-0.06369376182556152	-0.5211273	No	
row_17	KCNE1	na	15035	-0.0976124033331871	-0.5878516	No	
row_18	KCNQ1	na	15611	-0.11225065588951111	-0.5963377	Yes	
row_19	TRPM4	na	16042	-0.1243654191493988	-0.5947975	Yes	
row_20	AKAP9	na	16046	-0.12452811002731323	-0.5706605	Yes	
row_21	ANK2	na	16679	-0.14558418095111847	-0.5756553	Yes	
row_22	KCNJ3	na	17217	-0.1654389500617981	-0.5717561	Yes	
row_23	KCNA5	na	17306	-0.1691787987947464	-0.5433996	Yes	
row_24	CACNA2D1	na	17582	-0.18289096653461456	-0.5222499	Yes	
row_25	CTNNA3	na	17583	-0.18313360214233398	-0.48652032	Yes	
row_26	CACNA1C	na	17691	-0.18878056108951569	-0.45534348	Yes	
row_27	SCN1B	na	17783	-0.1941940188407898	-0.42226496	Yes	
row_28	CAV1	na	17922	-0.2021719217300415	-0.3901137	Yes	
row_29	CACNA1G	na	18157	-0.21769540011882782	-0.36000696	Yes	
row_30	CACNB2	na	18535	-0.2520765960216522	-0.33074936	Yes	
row_31	SCN3B	na	18567	-0.25511234998703003	-0.28261486	Yes	
row_32	KCND3	na	18750	-0.2818165123462677	-0.23725004	Yes	
row_33	KCNE4	na	18807	-0.2928289771080017	-0.18307813	Yes	
row_34	SCN2B	na	18813	-0.29383572936058044	-0.12601465	Yes	
row_35	CACNA1D	na	18899	-0.315312922000885	-0.0689886	Yes	
row_36	SCN4B	na	18953	-0.36958569288253784	3.1718847E-4	Yes	
