NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKA	na	1	0.4857295751571655	0.021294285	Yes	
row_1	MYBL2	na	2	0.48525723814964294	0.042621017	Yes	
row_2	AURKB	na	4	0.47673675417900085	0.063520074	Yes	
row_3	PLK1	na	6	0.46576517820358276	0.08393694	Yes	
row_4	NUF2	na	15	0.4270508885383606	0.102279894	Yes	
row_5	TPX2	na	21	0.41777151823043823	0.12037465	Yes	
row_6	KIF4A	na	32	0.40353307127952576	0.13757761	Yes	
row_7	TTK	na	35	0.40246087312698364	0.15515907	Yes	
row_8	CENPW	na	38	0.4018349349498749	0.17271304	Yes	
row_9	ESPL1	na	43	0.3992500603199005	0.190047	Yes	
row_10	CDC20	na	50	0.39499714970588684	0.20708762	Yes	
row_11	KIFC1	na	60	0.3896101713180542	0.22373188	Yes	
row_12	BIRC5	na	65	0.38263392448425293	0.24033557	Yes	
row_13	NEK2	na	66	0.38252466917037964	0.25714728	Yes	
row_14	AUNIP	na	68	0.37808695435523987	0.27371073	Yes	
row_15	SPAG5	na	84	0.3637068271636963	0.28889734	Yes	
row_16	CHEK2	na	88	0.36087122559547424	0.30459777	Yes	
row_17	CENPE	na	92	0.35475078225135803	0.3200292	Yes	
row_18	POC1A	na	100	0.3493872582912445	0.3350121	Yes	
row_19	ASPM	na	106	0.3476022481918335	0.35002294	Yes	
row_20	NDC80	na	116	0.3423815071582794	0.36459154	Yes	
row_21	KIF23	na	119	0.3414556682109833	0.3794919	Yes	
row_22	CCNB1	na	148	0.3231751620769501	0.39220545	Yes	
row_23	RACGAP1	na	165	0.3157368302345276	0.40523058	Yes	
row_24	STIL	na	168	0.31532078981399536	0.41898233	Yes	
row_25	HAUS8	na	171	0.3145520091056824	0.43270025	Yes	
row_26	FBXO5	na	173	0.31294119358062744	0.4464006	Yes	
row_27	SPC25	na	182	0.3099533021450043	0.4595972	Yes	
row_28	WDR62	na	189	0.3071558177471161	0.47277728	Yes	
row_29	PRC1	na	204	0.2958771586418152	0.485036	Yes	
row_30	KIF11	na	237	0.2829981744289398	0.495771	Yes	
row_31	KNSTRN	na	269	0.2737601101398468	0.50615317	Yes	
row_32	GPSM2	na	295	0.26458391547203064	0.51645136	Yes	
row_33	TACC3	na	306	0.2610103487968445	0.52739054	Yes	
row_34	PSRC1	na	334	0.25428149104118347	0.53712946	Yes	
row_35	BORA	na	365	0.24817366898059845	0.54644036	Yes	
row_36	CCSAP	na	431	0.2336888313293457	0.55325246	Yes	
row_37	STMN1	na	449	0.22950564324855804	0.5624346	Yes	
row_38	HAUS5	na	568	0.21217523515224457	0.5654813	Yes	
row_39	HAUS7	na	578	0.21147984266281128	0.57429683	Yes	
row_40	INTS13	na	631	0.20520229637622833	0.58054864	Yes	
row_41	TUBB1	na	674	0.20084752142429352	0.5871411	Yes	
row_42	CHMP4C	na	749	0.19381830096244812	0.5917221	Yes	
row_43	RCC1	na	810	0.18994000554084778	0.59687746	Yes	
row_44	FSD1	na	833	0.18817077577114105	0.60397696	Yes	
row_45	CEP72	na	955	0.17763642966747284	0.6053461	Yes	
row_46	CCDC155	na	976	0.1765676885843277	0.612042	Yes	
row_47	SAC3D1	na	988	0.1757761389017105	0.619182	Yes	
row_48	RAE1	na	1173	0.1622161865234375	0.6165214	No	
row_49	HSPA1B	na	1575	0.14225836098194122	0.6014381	No	
row_50	TUBG1	na	1686	0.1368056982755661	0.601598	No	
row_51	HAUS6	na	1746	0.1340501755475998	0.6043503	No	
row_52	NTMT1	na	1957	0.12570713460445404	0.59870183	No	
row_53	MSTO1	na	1981	0.12496308237314224	0.6029702	No	
row_54	CHMP1A	na	2073	0.1221865639090538	0.60349846	No	
row_55	MAPRE1	na	2267	0.115897037088871	0.5983234	No	
row_56	MZT1	na	2346	0.1139320433139801	0.5991806	No	
row_57	SMC1A	na	2507	0.10931142419576645	0.59547186	No	
row_58	MAPK15	na	2550	0.10805860906839371	0.59798634	No	
row_59	DRG1	na	2747	0.10331041365861893	0.5920984	No	
row_60	RAN	na	2820	0.10171123594045639	0.5927378	No	
row_61	TUBB	na	3097	0.09514167159795761	0.58223444	No	
row_62	CKAP5	na	3167	0.09374472498893738	0.58268327	No	
row_63	HSPA1A	na	3511	0.08581842482089996	0.56820536	No	
row_64	TUBGCP3	na	3824	0.07933932542800903	0.55509216	No	
row_65	WASHC5	na	3834	0.0790746733546257	0.55808854	No	
row_66	NUP62	na	3924	0.0774502381682396	0.55675715	No	
row_67	BCCIP	na	4257	0.07080653309822083	0.5422048	No	
row_68	SPAST	na	4571	0.06480614095926285	0.5283996	No	
row_69	TRIM36	na	4592	0.06432949006557465	0.5301627	No	
row_70	DLG1	na	4746	0.06185198202729225	0.52474064	No	
row_71	KPNB1	na	5060	0.05690181627869606	0.51058805	No	
row_72	PCNT	na	5061	0.05689523369073868	0.5130885	No	
row_73	KIF2A	na	5129	0.05578954890370369	0.5119757	No	
row_74	WRAP73	na	5518	0.04934006929397583	0.49350035	No	
row_75	SMC3	na	5608	0.047893017530441284	0.4908699	No	
row_76	FLNA	na	5937	0.04353882744908333	0.47533196	No	
row_77	CLTC	na	6166	0.0404476635158062	0.46497872	No	
row_78	TUBGCP4	na	6271	0.03929334878921509	0.46117228	No	
row_79	SBDS	na	6313	0.03881639242172241	0.4606968	No	
row_80	DCTN2	na	6600	0.03449391573667526	0.44699597	No	
row_81	VCP	na	6627	0.03408636152744293	0.44711068	No	
row_82	CHMP2B	na	6702	0.03316435217857361	0.444631	No	
row_83	TACC2	na	6751	0.032577142119407654	0.4435089	No	
row_84	HNRNPU	na	6806	0.03192027285695076	0.44203866	No	
row_85	DYNC1H1	na	6893	0.030743801966309547	0.43881416	No	
row_86	ZNF207	na	6912	0.03045271709561348	0.43919483	No	
row_87	EZR	na	6957	0.029726948589086533	0.43816027	No	
row_88	PPP2R1A	na	7178	0.026412388309836388	0.42761582	No	
row_89	NEK7	na	7201	0.026159143075346947	0.427595	No	
row_90	CHMP4B	na	7247	0.025481287389993668	0.4263206	No	
row_91	TPR	na	7380	0.023671697825193405	0.42033783	No	
row_92	MYH9	na	7492	0.022173840552568436	0.41540653	No	
row_93	HAUS2	na	7753	0.018626650795340538	0.40239167	No	
row_94	HAUS4	na	7823	0.017748188227415085	0.39950052	No	
row_95	KIF3B	na	7892	0.016560204327106476	0.39661035	No	
row_96	CHMP1B	na	8068	0.013856065459549427	0.3879083	No	
row_97	CEP97	na	8140	0.012956450693309307	0.38470015	No	
row_98	SUN2	na	8144	0.01290282141417265	0.3851076	No	
row_99	CEP192	na	8166	0.012650356628000736	0.38454625	No	
row_100	MAP4	na	8195	0.012304600328207016	0.38359728	No	
row_101	STAG2	na	8321	0.010909128934144974	0.37742603	No	
row_102	RHOA	na	8322	0.010899576358497143	0.37790504	No	
row_103	HDAC3	na	8494	0.008411641232669353	0.36917657	No	
row_104	CSNK1D	na	8556	0.007686728145927191	0.36626884	No	
row_105	SENP6	na	8573	0.007379145361483097	0.36574188	No	
row_106	CLASP1	na	8623	0.006706381216645241	0.36342955	No	
row_107	AAAS	na	8817	0.004373973701149225	0.35335308	No	
row_108	ABRAXAS2	na	8831	0.0041757202707231045	0.35284492	No	
row_109	TUBB8	na	9007	0.0020524184219539165	0.34362414	No	
row_110	RPS3	na	9390	-0.00320937717333436	0.32344064	No	
row_111	MAPRE2	na	9618	-0.006038395222276449	0.31162834	No	
row_112	STAG1	na	9883	-0.00921602826565504	0.2979871	No	
row_113	UVRAG	na	9892	-0.00934958178550005	0.29797235	No	
row_114	DCTN1	na	9989	-0.011039569042623043	0.2933498	No	
row_115	MLH1	na	10087	-0.01238291710615158	0.28873307	No	
row_116	RNF4	na	10166	-0.01348472386598587	0.28517568	No	
row_117	PKD1	na	10202	-0.013953404501080513	0.28392673	No	
row_118	GOLGA2	na	10286	-0.014999003149569035	0.28016984	No	
row_119	CEP63	na	10441	-0.0170238446444273	0.27272436	No	
row_120	TUBGCP2	na	10466	-0.017249906435608864	0.27220556	No	
row_121	MAP10	na	10786	-0.021905632689595222	0.2561957	No	
row_122	SPICE1	na	10804	-0.02216898649930954	0.2562655	No	
row_123	NEK6	na	10884	-0.023419544100761414	0.25309154	No	
row_124	CHMP5	na	10907	-0.02370852418243885	0.25296298	No	
row_125	ATRX	na	10932	-0.024091675877571106	0.25274485	No	
row_126	MECP2	na	10948	-0.024451715871691704	0.25302142	No	
row_127	CHMP2A	na	11049	-0.02594577521085739	0.24884115	No	
row_128	PTPA	na	11188	-0.02784881182014942	0.2427227	No	
