NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FMR1	na	1816	0.13098250329494476	-0.07589838	No	
row_1	CHRNB4	na	2677	0.10485965013504028	-0.105248965	No	
row_2	SOD1	na	3568	0.08462854474782944	-0.1393004	No	
row_3	GBA	na	4151	0.07284819334745407	-0.1588731	No	
row_4	DMRT3	na	4505	0.06594830006361008	-0.16739464	No	
row_5	CHRNA1	na	4817	0.06083688512444496	-0.17448127	No	
row_6	TYMP	na	4858	0.06006031110882759	-0.16735262	No	
row_7	SCN8A	na	6228	0.03980940207839012	-0.23363985	No	
row_8	AGT	na	7459	0.0226984191685915	-0.29520825	No	
row_9	FGF12	na	8130	0.013024603016674519	-0.32864386	No	
row_10	PAFAH1B1	na	8736	0.005270527675747871	-0.35983473	No	
row_11	CACNA1H	na	10002	-0.011300352402031422	-0.4250089	No	
row_12	P2RX1	na	10872	-0.023171300068497658	-0.46740904	No	
row_13	KCNMB3	na	11348	-0.030032504349946976	-0.48791206	No	
row_14	SCN2A	na	11555	-0.03349399194121361	-0.49365324	No	
row_15	NFASC	na	11908	-0.03859980031847954	-0.5063314	No	
row_16	GRIK2	na	12345	-0.04558467119932175	-0.52237767	No	
row_17	CNTNAP2	na	12407	-0.04663872718811035	-0.51842564	No	
row_18	GPR35	na	12520	-0.048638783395290375	-0.5168635	No	
row_19	SCN5A	na	13145	-0.058746907860040665	-0.54082835	No	
row_20	NRCAM	na	13445	-0.06432831287384033	-0.5467428	No	
row_21	CACNA1I	na	13823	-0.07175794988870621	-0.5556396	No	
row_22	CACNG8	na	13917	-0.07376055419445038	-0.5492057	No	
row_23	CACNG4	na	14174	-0.07936415076255798	-0.5505313	No	
row_24	KCNMB4	na	14654	-0.08944030851125717	-0.5621019	Yes	
row_25	ANK3	na	14771	-0.09176164120435715	-0.55411386	Yes	
row_26	GHRL	na	14778	-0.09192859381437302	-0.54028153	Yes	
row_27	P2RX4	na	14887	-0.09466513246297836	-0.53142345	Yes	
row_28	MYH14	na	14913	-0.09515343606472015	-0.5180998	Yes	
row_29	CLCN1	na	15007	-0.0970740020275116	-0.5080775	Yes	
row_30	AVPR1A	na	15231	-0.1026172786951065	-0.50407845	Yes	
row_31	GPR88	na	16052	-0.12466643005609512	-0.5282645	Yes	
row_32	OTOA	na	16091	-0.12572091817855835	-0.51092356	Yes	
row_33	ITGA2	na	16122	-0.12650232017040253	-0.49303916	Yes	
row_34	CHRM5	na	16380	-0.13540887832641602	-0.48579127	Yes	
row_35	SCN9A	na	16392	-0.13571594655513763	-0.4654837	Yes	
row_36	KCNA1	na	16423	-0.13666731119155884	-0.4460347	Yes	
row_37	TNR	na	16448	-0.13746236264705658	-0.42614597	Yes	
row_38	GPER1	na	16716	-0.14633677899837494	-0.41774502	Yes	
row_39	CNTNAP1	na	16829	-0.15042561292648315	-0.40051582	Yes	
row_40	SCN11A	na	17093	-0.160659521818161	-0.38969874	Yes	
row_41	NTRK3	na	17142	-0.16270186007022858	-0.36719462	Yes	
row_42	KCND2	na	17479	-0.17696337401866913	-0.35772946	Yes	
row_43	MAG	na	17511	-0.17824187874794006	-0.3319342	Yes	
row_44	SCN1B	na	17783	-0.1941940188407898	-0.31637862	Yes	
row_45	FKBP1B	na	17821	-0.19648663699626923	-0.28809252	Yes	
row_46	DRD1	na	17829	-0.19674043357372284	-0.25818044	Yes	
row_47	SCN3A	na	18058	-0.21071010828018188	-0.2378082	Yes	
row_48	JAM3	na	18130	-0.2158363163471222	-0.20834222	Yes	
row_49	CACNA1G	na	18157	-0.21769540011882782	-0.17620979	Yes	
row_50	CLDN19	na	18347	-0.2320200800895691	-0.15049456	Yes	
row_51	SCN4A	na	18589	-0.25812143087387085	-0.12351239	Yes	
row_52	S1PR1	na	18694	-0.27257975935935974	-0.08705802	Yes	
row_53	NTRK2	na	18908	-0.31904956698417664	-0.049216688	Yes	
row_54	SCN7A	na	18934	-0.3369385600090027	0.0013225831	Yes	
