NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_SISTER_CHROMATID_SEGREGATION	GO_SISTER_CHROMATID_SEGREGATION	Details ...	181	0.69777155	3.3708975	0.0	0.0	0.0	924	tags=34%, list=5%, signal=36%	
GO_MITOTIC_SISTER_CHROMATID_SEGREGATION	GO_MITOTIC_SISTER_CHROMATID_SEGREGATION	Details ...	148	0.7044175	3.2435672	0.0	0.0	0.0	924	tags=36%, list=5%, signal=37%	
GO_DNA_DEPENDENT_DNA_REPLICATION	GO_DNA_DEPENDENT_DNA_REPLICATION	Details ...	143	0.69174963	3.2307203	0.0	0.0	0.0	2546	tags=50%, list=13%, signal=58%	
GO_CHROMOSOME_SEGREGATION	GO_CHROMOSOME_SEGREGATION	Details ...	300	0.63604754	3.2301753	0.0	0.0	0.0	2550	tags=39%, list=13%, signal=45%	
GO_NUCLEAR_CHROMOSOME_SEGREGATION	GO_NUCLEAR_CHROMOSOME_SEGREGATION	Details ...	242	0.6387107	3.2001972	0.0	0.0	0.0	2365	tags=38%, list=12%, signal=43%	
GO_MITOTIC_NUCLEAR_DIVISION	GO_MITOTIC_NUCLEAR_DIVISION	Details ...	255	0.63701797	3.195787	0.0	0.0	0.0	924	tags=29%, list=5%, signal=30%	
GO_REGULATION_OF_CHROMOSOME_SEGREGATION	GO_REGULATION_OF_CHROMOSOME_SEGREGATION	Details ...	97	0.7116807	3.1050193	0.0	0.0	0.0	883	tags=36%, list=5%, signal=38%	
GO_DNA_REPLICATION	GO_DNA_REPLICATION	Details ...	258	0.5987239	3.0332105	0.0	0.0	0.0	2746	tags=41%, list=14%, signal=47%	
GO_REGULATION_OF_SISTER_CHROMATID_SEGREGATION	GO_REGULATION_OF_SISTER_CHROMATID_SEGREGATION	Details ...	77	0.71529806	3.0121162	0.0	0.0	0.0	883	tags=35%, list=5%, signal=37%	
GO_DNA_CONFORMATION_CHANGE	GO_DNA_CONFORMATION_CHANGE	Details ...	268	0.59905475	2.991282	0.0	0.0	0.0	1963	tags=35%, list=10%, signal=38%	
GO_ORGANELLE_FISSION	GO_ORGANELLE_FISSION	Details ...	411	0.55706084	2.9431863	0.0	0.0	0.0	2747	tags=35%, list=14%, signal=40%	
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	Details ...	132	0.6406748	2.942741	0.0	0.0	0.0	833	tags=30%, list=4%, signal=31%	
