NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TH	na	17	0.3447149097919464	0.05755628	Yes	
row_1	DDC	na	132	0.26227739453315735	0.09572809	Yes	
row_2	DRD2	na	201	0.24548807740211487	0.13360856	Yes	
row_3	ACE2	na	268	0.23526252806186676	0.16986486	Yes	
row_4	RHCG	na	277	0.2342500537633896	0.2091746	Yes	
row_5	FGF20	na	294	0.2308451235294342	0.24746163	Yes	
row_6	DRD1	na	308	0.2284688651561737	0.2855122	Yes	
row_7	CHGA	na	456	0.2062583714723587	0.31234196	Yes	
row_8	ABAT	na	480	0.20393261313438416	0.34567243	Yes	
row_9	VIP	na	741	0.18068832159042358	0.36187896	Yes	
row_10	SYT1	na	840	0.1737324297428131	0.38591352	Yes	
row_11	STX1A	na	893	0.17026397585868835	0.41191742	Yes	
row_12	SLC38A3	na	1242	0.15262779593467712	0.4184683	Yes	
row_13	PRKN	na	1466	0.14247363805770874	0.43024692	Yes	
row_14	SYT7	na	1467	0.14233386516571045	0.45440242	Yes	
row_15	SV2A	na	1476	0.1420532464981079	0.47806543	Yes	
row_16	RGS4	na	2102	0.1192680075764656	0.46355137	Yes	
row_17	ADRA2A	na	2166	0.11739469319581985	0.47997114	Yes	
row_18	DRD4	na	2176	0.11715663224458694	0.49935335	Yes	
row_19	OXTR	na	2588	0.10456295311450958	0.4942438	Yes	
row_20	AGT	na	2747	0.10025954246520996	0.5024728	Yes	
row_21	KCNA2	na	2856	0.09751173853874207	0.51301587	Yes	
row_22	SYT11	na	3462	0.08289694041013718	0.49344143	Yes	
row_23	SYT3	na	3620	0.07964963465929031	0.4982283	Yes	
row_24	HTR1B	na	3671	0.07832750678062439	0.5087409	Yes	
row_25	DTNBP1	na	3711	0.07750903815031052	0.5197262	Yes	
row_26	CARTPT	na	3904	0.07362836599349976	0.52154493	Yes	
row_27	ADRA2B	na	4134	0.06893369555473328	0.5205095	Yes	
row_28	SYT17	na	4329	0.0652485266327858	0.5207948	Yes	
row_29	SYT2	na	4417	0.06357068568468094	0.5267455	Yes	
row_30	GDNF	na	4466	0.0624656043946743	0.5346774	Yes	
row_31	CHRNA3	na	4949	0.0543060228228569	0.51709056	No	
row_32	SYT12	na	5407	0.047795191407203674	0.499789	No	
row_33	SYT13	na	5768	0.042091067880392075	0.48691338	No	
row_34	P2RY12	na	6217	0.03532891720533371	0.46799663	No	
row_35	PER2	na	6609	0.030428463593125343	0.4514179	No	
row_36	SLC18A2	na	6750	0.028584951534867287	0.4484839	No	
row_37	ATP1A2	na	6859	0.027251461520791054	0.4471031	No	
row_38	HTR2A	na	7220	0.022742860019207	0.43094388	No	
row_39	PSEN1	na	7352	0.02115737833082676	0.42724985	No	
row_40	ADORA1	na	7521	0.018815914168953896	0.42110094	No	
row_41	SNCG	na	7683	0.016845237463712692	0.41500685	No	
row_42	GRK2	na	7794	0.015542016364634037	0.4115276	No	
row_43	SNCA	na	8176	0.011315448209643364	0.39226127	No	
row_44	TOR1A	na	8618	0.006280733738094568	0.368804	No	
row_45	NTSR1	na	9131	9.370438056066632E-4	0.3404917	No	
row_46	ARL6IP5	na	9949	-0.007680521346628666	0.29636338	No	
row_47	STXBP1	na	10007	-0.008235067129135132	0.29459128	No	
row_48	KMO	na	10069	-0.008829286321997643	0.2926976	No	
row_49	CNR1	na	10170	-0.009728007949888706	0.28878775	No	
row_50	CHRNB2	na	10343	-0.011572301387786865	0.2811871	No	
row_51	P2RY1	na	10450	-0.012658595107495785	0.27744094	No	
row_52	ARL6IP1	na	10451	-0.012664311565458775	0.2795902	No	
row_53	P2RX7	na	10488	-0.013049696572124958	0.27980298	No	
row_54	RAB3GAP1	na	10551	-0.013691903091967106	0.27867892	No	
row_55	ADORA2A	na	11891	-0.02793794870376587	0.20896107	No	
row_56	SLC6A1	na	12137	-0.03091004490852356	0.20058285	No	
row_57	PINK1	na	12508	-0.035260286182165146	0.18599188	No	
row_58	KCNB1	na	12717	-0.03766345605254173	0.18081728	No	
row_59	AQP9	na	12938	-0.040317900478839874	0.17542586	No	
row_60	ADRA2C	na	13326	-0.04568640887737274	0.16165897	No	
row_61	SYT8	na	13496	-0.0479666143655777	0.16040163	No	
row_62	CXCL12	na	13907	-0.05409903824329376	0.14678347	No	
row_63	TACR2	na	14180	-0.057881131768226624	0.1414811	No	
row_64	SLC18A1	na	14380	-0.06093510612845421	0.1407564	No	
row_65	AVPR1A	na	14424	-0.0616874136030674	0.14883423	No	
row_66	RGS2	na	14639	-0.06473854184150696	0.14792089	No	
row_67	SYT5	na	15212	-0.07551350444555283	0.12892847	No	
row_68	RAB3B	na	17609	-0.1702158898115158	0.024578892	No	
