NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DRD2	na	201	0.24548807740211487	0.060831834	Yes	
row_1	FGF20	na	294	0.2308451235294342	0.12342134	Yes	
row_2	CHGA	na	456	0.2062583714723587	0.17496955	Yes	
row_3	ABAT	na	480	0.20393261313438416	0.23349771	Yes	
row_4	VIP	na	741	0.18068832159042358	0.27205065	Yes	
row_5	SYT1	na	840	0.1737324297428131	0.31755817	Yes	
row_6	STX1A	na	893	0.17026397585868835	0.36460257	Yes	
row_7	PRKN	na	1466	0.14247363805770874	0.37462592	Yes	
row_8	SYT7	na	1467	0.14233386516571045	0.41636667	Yes	
row_9	ADRA2A	na	2166	0.11739469319581985	0.41203967	Yes	
row_10	OXTR	na	2588	0.10456295311450958	0.41932914	Yes	
row_11	AGT	na	2747	0.10025954246520996	0.43995875	Yes	
row_12	KCNA2	na	2856	0.09751173853874207	0.46255866	Yes	
row_13	MECP2	na	3139	0.09031165391206741	0.4733863	Yes	
row_14	SYT11	na	3462	0.08289694041013718	0.47981864	Yes	
row_15	SYT3	na	3620	0.07964963465929031	0.49445975	Yes	
row_16	HTR1B	na	3671	0.07832750678062439	0.5146539	Yes	
row_17	DTNBP1	na	3711	0.07750903815031052	0.53521883	Yes	
row_18	CARTPT	na	3904	0.07362836599349976	0.5461509	Yes	
row_19	ADRA2B	na	4134	0.06893369555473328	0.5536519	Yes	
row_20	SYT17	na	4329	0.0652485266327858	0.5620155	Yes	
row_21	SYT2	na	4417	0.06357068568468094	0.5758278	Yes	
row_22	GDNF	na	4466	0.0624656043946743	0.5914813	Yes	
row_23	SYT12	na	5407	0.047795191407203674	0.5533074	No	
row_24	SYT13	na	5768	0.042091067880392075	0.54566324	No	
row_25	P2RY12	na	6217	0.03532891720533371	0.5311501	No	
row_26	HTR2A	na	7220	0.022742860019207	0.48218697	No	
row_27	SNCG	na	7683	0.016845237463712692	0.461476	No	
row_28	GRK2	na	7794	0.015542016364634037	0.45992646	No	
row_29	SNCA	na	8176	0.011315448209643364	0.44209108	No	
row_30	NISCH	na	9040	0.0019164728000760078	0.39473793	No	
row_31	CNR1	na	10170	-0.009728007949888706	0.33490685	No	
row_32	CHRNB2	na	10343	-0.011572301387786865	0.32875082	No	
row_33	P2RY1	na	10450	-0.012658595107495785	0.32657778	No	
row_34	ADORA2A	na	11891	-0.02793794870376587	0.25481972	No	
row_35	PINK1	na	12508	-0.035260286182165146	0.2309588	No	
row_36	KCNB1	na	12717	-0.03766345605254173	0.23045546	No	
row_37	ADRA2C	na	13326	-0.04568640887737274	0.21009628	No	
row_38	SYT8	na	13496	-0.0479666143655777	0.21477978	No	
row_39	CXCL12	na	13907	-0.05409903824329376	0.20788097	No	
row_40	SYT5	na	15212	-0.07551350444555283	0.15762581	No	
