NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GATA3	na	6039	0.03782901540398598	-0.30696562	No	
row_1	CD81	na	6197	0.03564077243208885	-0.28941754	No	
row_2	IL1R1	na	8173	0.011356563307344913	-0.39055556	No	
row_3	DENND1B	na	9019	0.0020995130762457848	-0.4358598	No	
row_4	RSAD2	na	9895	-0.007184284273535013	-0.47908196	No	
row_5	IL6	na	10911	-0.017267310991883278	-0.5226393	No	
row_6	NLRP3	na	11205	-0.020176975056529045	-0.5240222	No	
row_7	PRKCZ	na	11215	-0.020313283428549767	-0.50955856	No	
row_8	IL18R1	na	15927	-0.09183978289365768	-0.7031095	Yes	
row_9	IL12A	na	16089	-0.09615811705589294	-0.6412063	Yes	
row_10	CD55	na	16804	-0.12002494186162949	-0.5923838	Yes	
row_11	XCL1	na	17201	-0.13894625008106232	-0.5119925	Yes	
row_12	IL1B	na	17554	-0.16419821977615356	-0.41056114	Yes	
row_13	TBX21	na	17598	-0.16928377747535706	-0.28825137	Yes	
row_14	IL18RAP	na	17712	-0.1825600117444992	-0.1600435	Yes	
row_15	IL18	na	17963	-0.24271592497825623	0.004879134	Yes	
