NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFA13	na	5397	0.04783586040139198	-0.2613186	No	
row_1	TRIM6	na	7873	0.014526004903018475	-0.38703293	No	
row_2	CAPN2	na	8808	0.0043581267818808556	-0.4353652	No	
row_3	PNPT1	na	8954	0.002604216802865267	-0.44134003	No	
row_4	DDX41	na	8960	0.0025536525063216686	-0.43959227	No	
row_5	CDC34	na	9271	-6.39716221485287E-4	-0.4562738	No	
row_6	HTRA2	na	13737	-0.051329873502254486	-0.6631444	Yes	
row_7	UBE2G2	na	14184	-0.05795542150735855	-0.64191663	Yes	
row_8	UBE2K	na	15234	-0.07603143900632858	-0.6397899	Yes	
row_9	STING1	na	15264	-0.07660890370607376	-0.58064854	Yes	
row_10	PYHIN1	na	16202	-0.09880956262350082	-0.5542491	Yes	
row_11	AIM2	na	16318	-0.10287591069936752	-0.47904706	Yes	
row_12	MNDA	na	16336	-0.10374431312084198	-0.3977225	Yes	
row_13	STAT1	na	16452	-0.1074187383055687	-0.3189181	Yes	
row_14	IRF1	na	16882	-0.12307664006948471	-0.2451079	Yes	
row_15	IFI16	na	17330	-0.14686653017997742	-0.15343085	Yes	
row_16	TLR3	na	17967	-0.24383118748664856	0.0046576113	Yes	
