NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGF18	na	134	0.2616259753704071	0.020032441	Yes	
row_1	IHH	na	170	0.25257888436317444	0.044632845	Yes	
row_2	WNT5B	na	228	0.24030107259750366	0.066716135	Yes	
row_3	PTHLH	na	345	0.2224901020526886	0.083638	Yes	
row_4	WNT2B	na	428	0.20917169749736786	0.10105522	Yes	
row_5	ADAMTS7	na	455	0.20628099143505096	0.12129043	Yes	
row_6	ADAMTS12	na	570	0.1946624219417572	0.13539849	Yes	
row_7	NKX3-2	na	597	0.19191326200962067	0.15412334	Yes	
row_8	AMELX	na	617	0.18968544900417328	0.17300422	Yes	
row_9	COL7A1	na	734	0.1812395602464676	0.18558975	Yes	
row_10	ANXA9	na	908	0.16936928033828735	0.19374983	Yes	
row_11	EFEMP1	na	920	0.16863392293453217	0.21086372	Yes	
row_12	COL2A1	na	1245	0.15243706107139587	0.20882599	Yes	
row_13	LOXL2	na	1358	0.14720329642295837	0.21805654	Yes	
row_14	COMP	na	1411	0.14485184848308563	0.23038477	Yes	
row_15	GDF6	na	1475	0.14205454289913177	0.24180572	Yes	
row_16	COL27A1	na	1518	0.140363410115242	0.2542196	Yes	
row_17	GLI3	na	1527	0.1401687115430832	0.2685084	Yes	
row_18	GREM1	na	1617	0.13669796288013458	0.27791682	Yes	
row_19	SIX2	na	1684	0.1342381238937378	0.28834885	Yes	
row_20	SCX	na	1720	0.133158877491951	0.30039558	Yes	
row_21	COL12A1	na	1760	0.13171012699604034	0.31206706	Yes	
row_22	AXIN2	na	1850	0.1281261295080185	0.32057437	Yes	
row_23	RUNX2	na	1874	0.12704940140247345	0.33264786	Yes	
row_24	COL11A1	na	1902	0.12593673169612885	0.34438136	Yes	
row_25	GLI2	na	1941	0.1246715784072876	0.35536867	Yes	
row_26	PKDCC	na	2207	0.11560846120119095	0.35274854	Yes	
row_27	ZNF219	na	2240	0.1146225854754448	0.36301398	Yes	
row_28	POR	na	2291	0.11311503499746323	0.37211746	Yes	
row_29	COL6A3	na	2417	0.10922232270240784	0.37663066	Yes	
row_30	SULF1	na	2496	0.10681746900081635	0.38351122	Yes	
row_31	SULF2	na	2498	0.106801338493824	0.39468262	Yes	
row_32	COL14A1	na	2508	0.10666127502918243	0.40539333	Yes	
row_33	ECM1	na	2528	0.10615371912717819	0.4154932	Yes	
row_34	RFLNA	na	2655	0.1027805358171463	0.4192735	Yes	
row_35	LTBP3	na	2742	0.10051865875720978	0.4250459	Yes	
row_36	SOX5	na	2815	0.09849770367145538	0.43138635	Yes	
row_37	ACVRL1	na	3083	0.09168095886707306	0.4261394	Yes	
row_38	RARB	na	3125	0.09068036079406738	0.43338627	Yes	
row_39	HOXA11	na	3316	0.08604922145605087	0.43183988	Yes	
row_40	COL6A2	na	3333	0.08574052155017853	0.43996114	Yes	
row_41	TGFBI	na	3340	0.08558591455221176	0.4486236	Yes	
row_42	SCIN	na	3458	0.08292406052350998	0.45081827	Yes	
row_43	RFLNB	na	3592	0.08027978241443634	0.451843	Yes	
row_44	MATN2	na	3707	0.07761123031377792	0.45364642	Yes	
row_45	CCN4	na	3865	0.07432777434587479	0.45270753	Yes	
