NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP11	na	68	0.2899667024612427	0.058434952	Yes	
row_1	ANXA9	na	908	0.16936928033828735	0.04815977	Yes	
row_2	ADAMTS14	na	1075	0.16115938127040863	0.07351411	Yes	
row_3	COL2A1	na	1245	0.15243706107139587	0.096830375	Yes	
row_4	LOXL2	na	1358	0.14720329642295837	0.12219057	Yes	
row_5	COMP	na	1411	0.14485184848308563	0.15037978	Yes	
row_6	AEBP1	na	1454	0.1430102288722992	0.17872946	Yes	
row_7	EMILIN1	na	1590	0.13770383596420288	0.20077367	Yes	
row_8	GREM1	na	1617	0.13669796288013458	0.22865798	Yes	
row_9	SCX	na	1720	0.133158877491951	0.2515605	Yes	
row_10	COL12A1	na	1760	0.13171012699604034	0.27765238	Yes	
row_11	COL11A1	na	1902	0.12593673169612885	0.29683858	Yes	
row_12	LUM	na	2041	0.12153900414705276	0.31524795	Yes	
row_13	COL5A1	na	2298	0.1128782331943512	0.32524318	Yes	
row_14	ATP7A	na	2326	0.11205848306417465	0.34778547	Yes	
row_15	COL5A2	na	2396	0.10979160666465759	0.36750793	Yes	
row_16	PLOD3	na	2405	0.10951810330152512	0.3905608	Yes	
row_17	ADAMTS2	na	2416	0.10922647267580032	0.41343996	Yes	
row_18	DPT	na	2423	0.1090870350599289	0.43651146	Yes	
row_19	LOXL4	na	2463	0.10779732465744019	0.4574728	Yes	
row_20	TGFB2	na	2465	0.10778772085905075	0.48054332	Yes	
row_21	COL14A1	na	2508	0.10666127502918243	0.5010942	Yes	
row_22	FOXC1	na	2617	0.10377387702465057	0.51735884	Yes	
row_23	COL1A2	na	2691	0.1018441766500473	0.5351539	Yes	
row_24	FOXC2	na	2801	0.09895186871290207	0.5503283	Yes	
row_25	PXDN	na	3024	0.09349517524242401	0.5580539	Yes	
row_26	COL1A1	na	3315	0.08606672286987305	0.5604077	Yes	
row_27	TNXB	na	3531	0.0813661739230156	0.5659199	Yes	
row_28	COL3A1	na	3579	0.08052115887403488	0.5805846	Yes	
row_29	DDR2	na	3580	0.08051662147045135	0.59785956	Yes	
row_30	P3H4	na	4259	0.06659206002950668	0.57447827	No	
row_31	ACAN	na	4393	0.06402217596769333	0.5808251	No	
row_32	LOX	na	5346	0.04864027723670006	0.5383691	No	
row_33	RB1	na	5530	0.04574340954422951	0.5380162	No	
row_34	LOXL3	na	5799	0.04163352772593498	0.5320591	No	
row_35	COL5A3	na	5870	0.04039445519447327	0.5368367	No	
row_36	SFRP2	na	5880	0.04017582908272743	0.54495645	No	
row_37	TGFBR1	na	6548	0.03122628480195999	0.5145985	No	
row_38	ADAMTS3	na	6613	0.030392775312066078	0.5175636	No	
row_39	SERPINH1	na	6831	0.027635034173727036	0.5114365	No	
row_40	VIPAS39	na	7953	0.013751767575740814	0.45210573	No	
row_41	PLOD2	na	8772	0.004676806274801493	0.40766218	No	
row_42	COL11A2	na	9092	0.0013139003422111273	0.39022088	No	
row_43	NF1	na	9304	-9.049812215380371E-4	0.37869215	No	
row_44	ANXA2	na	10075	-0.00900117214769125	0.33784324	No	
row_45	COLGALT1	na	10176	-0.009771251119673252	0.33438382	No	
row_46	CHADL	na	11395	-0.022082321345806122	0.27145118	No	
row_47	PLOD1	na	12796	-0.038668133318424225	0.20196542	No	
row_48	FMOD	na	14186	-0.057976968586444855	0.13723354	No	
row_49	P4HA1	na	15061	-0.07256273180246353	0.10424377	No	
row_50	ANXA2P2	na	15165	-0.07463096082210541	0.114533454	No	
row_51	CYP1B1	na	16360	-0.10445043444633484	0.070606485	No	
row_52	SERPINF2	na	16483	-0.10854033380746841	0.08711588	No	
