NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF5	na	318	0.22612307965755463	-0.0030673523	No	
row_1	APOBEC1	na	481	0.2037600427865982	0.0011486175	No	
row_2	PYCARD	na	679	0.18484583497047424	0.0021690556	No	
row_3	IFNLR1	na	845	0.1735326051712036	0.004244664	No	
row_4	HTRA1	na	1019	0.1641724556684494	0.005261224	No	
row_5	TSPAN6	na	1132	0.15805327892303467	0.009297045	No	
row_6	SPON2	na	1136	0.15781664848327637	0.019425923	No	
row_7	PQBP1	na	1630	0.13633154332637787	6.9275836E-4	No	
row_8	CRCP	na	1859	0.1276334822177887	-0.0037569944	No	
row_9	FCN3	na	2318	0.11239490658044815	-0.0220905	No	
row_10	EXOSC5	na	3070	0.0920330286026001	-0.058172632	No	
row_11	ITCH	na	3442	0.08348054438829422	-0.073517114	No	
row_12	MAVS	na	3658	0.07856828719377518	-0.08043967	No	
row_13	MICA	na	3925	0.0730762705206871	-0.09057866	No	
row_14	POLR3F	na	4030	0.07092498242855072	-0.09177934	No	
row_15	FLNA	na	4079	0.07011773437261581	-0.08989437	No	
row_16	SERINC3	na	4164	0.06836460530757904	-0.090141274	No	
row_17	POLR3E	na	4223	0.06722801178693771	-0.08900527	No	
row_18	ZNF175	na	4322	0.06535111367702484	-0.09023337	No	
row_19	BNIP3	na	4372	0.06436685472726822	-0.08877967	No	
row_20	HERC5	na	4472	0.06223594769835472	-0.09026708	No	
row_21	AGBL5	na	4805	0.05705824866890907	-0.10514991	No	
row_22	ILRUN	na	5196	0.05065876990556717	-0.123700686	No	
row_23	NOP53	na	5256	0.04969525709748268	-0.12376467	No	
row_24	POLR3C	na	5499	0.04627963528037071	-0.13430707	No	
row_25	RNF216	na	5526	0.04587054252624512	-0.13277124	No	
row_26	ZCCHC3	na	5697	0.04335835203528404	-0.13946927	No	
row_27	TRIM56	na	5725	0.0429002121090889	-0.13818328	No	
row_28	EXOSC4	na	5954	0.03909524902701378	-0.14840986	No	
row_29	POLR3K	na	6012	0.03812939301133156	-0.1491164	No	
row_30	IL23R	na	6475	0.032139964401721954	-0.17291042	No	
row_31	POLR3A	na	6578	0.03083808533847332	-0.17661455	No	
row_32	IFIT1	na	6853	0.027292245998978615	-0.19018914	No	
row_33	SKP2	na	7037	0.025112690404057503	-0.19880617	No	
row_34	IFITM1	na	7062	0.024747973307967186	-0.19853643	No	
row_35	SEC14L1	na	7263	0.02222874015569687	-0.20829433	No	
row_36	SERINC5	na	7398	0.020543711259961128	-0.21446344	No	
row_37	MAP3K14	na	7428	0.020214330404996872	-0.21476974	No	
row_38	TRIM15	na	7454	0.019889891147613525	-0.21487302	No	
row_39	TARBP2	na	7553	0.018467705696821213	-0.2191601	No	
row_40	RNASE6	na	7591	0.0180297140032053	-0.22005725	No	
row_41	TRIM11	na	7626	0.017653942108154297	-0.22081079	No	
row_42	IL33	na	7679	0.01692226156592369	-0.22262082	No	
row_43	DHX36	na	7737	0.016202742233872414	-0.224758	No	
row_44	MICB	na	7810	0.01534280739724636	-0.22779189	No	
row_45	TRIM6	na	7873	0.014526004903018475	-0.23031868	No	
row_46	TSPAN32	na	7874	0.01452458743005991	-0.229371	No	
row_47	EXOC1	na	8205	0.010951333679258823	-0.24715008	No	
row_48	NPLOC4	na	8258	0.010203502140939236	-0.24939847	No	
row_49	IRF3	na	8426	0.008307491429150105	-0.25821534	No	
row_50	TLR7	na	8685	0.00548192672431469	-0.2723163	No	
row_51	PUM2	na	8693	0.00536147179082036	-0.27235878	No	
row_52	DDX41	na	8960	0.0025536525063216686	-0.28709912	No	
row_53	DDX21	na	8974	0.002439806004986167	-0.28766847	No	
row_54	UNC93B1	na	9034	0.0019583532121032476	-0.29084712	No	
row_55	LSM14A	na	9044	0.0018991968827322125	-0.29122758	No	
row_56	CARD9	na	9095	0.0012830996420234442	-0.29394594	No	
row_57	ABCF3	na	9191	2.604640612844378E-4	-0.29925284	No	
row_58	ISG15	na	9206	8.339566556969658E-5	-0.300032	No	
row_59	ILF3	na	9302	-8.968960028141737E-4	-0.30529737	No	
row_60	SAMHD1	na	9308	-9.157723980024457E-4	-0.30551785	No	
row_61	ABCC9	na	9395	-0.0018721743253991008	-0.31021523	No	
row_62	HYAL2	na	9423	-0.0021210024133324623	-0.31158996	No	
row_63	PLSCR1	na	9549	-0.003552313195541501	-0.31836334	No	
row_64	EIF2AK2	na	9665	-0.004584665410220623	-0.32450894	No	
row_65	MX2	na	9682	-0.004779502283781767	-0.32509378	No	
row_66	ATG7	na	9735	-0.005324644036591053	-0.3276605	No	
row_67	DNAJC3	na	9786	-0.005907354410737753	-0.3300771	No	
row_68	DHX9	na	9885	-0.007073582615703344	-0.33510762	No	
row_69	RSAD2	na	9895	-0.007184284273535013	-0.33514327	No	
row_70	APOBEC3B	na	9919	-0.0074179889634251595	-0.3359482	No	
row_71	TRIM44	na	9924	-0.007436111103743315	-0.3356872	No	
row_72	AIMP1	na	10081	-0.009028268977999687	-0.34384057	No	
row_73	OASL	na	10305	-0.011157928965985775	-0.35560974	No	
row_74	PCBP2	na	10538	-0.013578237034380436	-0.36772537	No	
row_75	IRF9	na	10652	-0.014902668073773384	-0.37308568	No	
row_76	OAS1	na	10674	-0.015031165443360806	-0.37328184	No	
row_77	TRAF3	na	10746	-0.015774661675095558	-0.37623152	No	
row_78	GPAM	na	10794	-0.016207804903388023	-0.37780795	No	
row_79	ERCC6	na	10866	-0.016822826117277145	-0.38068923	No	
