NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TH	na	17	0.3447149097919464	0.10645909	Yes	
row_1	FOXF2	na	169	0.2527308762073517	0.17682388	Yes	
row_2	IHH	na	170	0.25257888436317444	0.2555195	Yes	
row_3	FBN2	na	458	0.20609816908836365	0.30380914	Yes	
row_4	WNT5A	na	654	0.18678990006446838	0.35118747	Yes	
row_5	BMP7	na	800	0.1765100657939911	0.39813718	Yes	
row_6	EFEMP1	na	920	0.16863392293453217	0.44407555	Yes	
row_7	TBX2	na	1010	0.1643925905227661	0.49035698	Yes	
row_8	MFAP2	na	1516	0.1403757780790329	0.5060739	Yes	
row_9	FBN1	na	1530	0.13986876606941223	0.5489313	Yes	
row_10	ALDH1A3	na	1690	0.13406282663345337	0.581879	Yes	
row_11	TWIST1	na	1870	0.127221941947937	0.6115856	Yes	
row_12	SOX11	na	2652	0.10281550139188766	0.6002862	Yes	
row_13	RARB	na	3125	0.09068036079406738	0.60235053	Yes	
row_14	STRA6	na	3558	0.08093876391649246	0.60359913	Yes	
row_15	ZEB1	na	3757	0.07636947184801102	0.6164075	Yes	
row_16	PAX6	na	7246	0.02236826904118061	0.42984626	No	
row_17	LRP6	na	8050	0.012792945839464664	0.38927796	No	
row_18	FZD5	na	8188	0.011151796206831932	0.38515112	No	
row_19	KDM2B	na	8754	0.004877972416579723	0.3553221	No	
row_20	SP3	na	9000	0.002223511226475239	0.34242114	No	
row_21	HIPK1	na	12251	-0.03236488625407219	0.17217988	No	
row_22	PROX1	na	12831	-0.0390700064599514	0.15222724	No	
row_23	RARG	na	12910	-0.03995116427540779	0.16034697	No	
row_24	PHACTR4	na	13243	-0.04467282444238663	0.1558447	No	
row_25	HIPK2	na	13253	-0.044779274612665176	0.16929716	No	
row_26	ARID1A	na	13731	-0.051293350756168365	0.15881237	No	
row_27	FRS2	na	14383	-0.060973647981882095	0.14168933	No	
row_28	TFAP2A	na	17818	-0.1982637643814087	0.012927762	No	
