NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CARD11	na	1108	0.15916107594966888	-0.02518282	No	
row_1	NAV3	na	2369	0.11059139668941498	-0.06992474	No	
row_2	PRNP	na	3282	0.08664089441299438	-0.10080109	No	
row_3	NR1H4	na	3482	0.08250666409730911	-0.09298999	No	
row_4	CD34	na	3611	0.07989095896482468	-0.08183057	No	
row_5	HOMER2	na	5191	0.05075344070792198	-0.15799206	No	
row_6	TRIM27	na	5765	0.042128074914216995	-0.1802066	No	
row_7	GATA3	na	6039	0.03782901540398598	-0.18672858	No	
row_8	FOXP3	na	6329	0.03382991626858711	-0.19505471	No	
row_9	CD83	na	6675	0.029604986310005188	-0.2074601	No	
row_10	STAT5B	na	7005	0.025486895814538002	-0.2199181	No	
row_11	HOMER3	na	7137	0.02377597987651825	-0.22176133	No	
row_12	STOML2	na	7515	0.01893390528857708	-0.23838642	No	
row_13	ABL1	na	7702	0.01659969426691532	-0.24492845	No	
row_14	HDAC7	na	7760	0.01596095971763134	-0.24444592	No	
row_15	MAP3K7	na	8124	0.01195853017270565	-0.26188836	No	
row_16	RPS3	na	8185	0.011168614029884338	-0.26266882	No	
row_17	TRAF2	na	8508	0.0074007874354720116	-0.27887475	No	
row_18	TRAF6	na	8602	0.006509372964501381	-0.28255534	No	
row_19	CARD9	na	9095	0.0012830996420234442	-0.30961037	No	
row_20	IL1RAP	na	9212	1.1913777598238084E-5	-0.31605566	No	
row_21	PRKCQ	na	9282	-7.482008077204227E-4	-0.31971997	No	
row_22	RIPK2	na	9392	-0.001824301085434854	-0.3253616	No	
row_23	SPTBN1	na	9741	-0.005345594137907028	-0.3434829	No	
row_24	PRKD2	na	10132	-0.009414201602339745	-0.3630082	No	
row_25	IL20RB	na	10135	-0.009442562237381935	-0.36095944	No	
row_26	EZR	na	10751	-0.01582927070558071	-0.39152429	No	
row_27	GPAM	na	10794	-0.016207804903388023	-0.3901515	No	
row_28	CD80	na	10830	-0.01653149724006653	-0.38831556	No	
row_29	RUNX1	na	10980	-0.017944056540727615	-0.39249337	No	
row_30	PAWR	na	11141	-0.01959603652358055	-0.39690474	No	
row_31	VSIG4	na	11561	-0.023791741579771042	-0.41475326	No	
row_32	CD4	na	12492	-0.03502405807375908	-0.45843714	No	
row_33	SLC11A1	na	12814	-0.038898732513189316	-0.46738258	No	
row_34	ZFP36	na	12904	-0.03990171477198601	-0.46320254	No	
row_35	PNP	na	13025	-0.041626013815402985	-0.46035126	No	
row_36	CCR2	na	14142	-0.057317573577165604	-0.5092747	Yes	
row_37	CLEC7A	na	14266	-0.05919967591762543	-0.5025704	Yes	
row_38	KAT5	na	14366	-0.06069043651223183	-0.49419093	Yes	
row_39	CD28	na	14414	-0.06149029731750488	-0.48273805	Yes	
row_40	IRF4	na	14520	-0.0630868598818779	-0.47414395	Yes	
row_41	HAVCR2	na	15105	-0.07338127493858337	-0.489821	Yes	
row_42	SASH3	na	15113	-0.07368692010641098	-0.47335473	Yes	
row_43	TNFAIP3	na	15659	-0.08522137999534607	-0.48415557	Yes	
row_44	CD86	na	16002	-0.09381130337715149	-0.48170745	Yes	
row_45	MALT1	na	16176	-0.09825732558965683	-0.46884826	Yes	
row_46	FCER1G	na	16439	-0.1069231927394867	-0.458954	Yes	
row_47	ANXA1	na	16489	-0.10865478962659836	-0.43682373	Yes	
row_48	PTPRC	na	16497	-0.10920240730047226	-0.41223356	Yes	
row_49	IL1A	na	16715	-0.11640219390392303	-0.39766967	Yes	
row_50	PDE4B	na	16852	-0.12215043604373932	-0.37728837	Yes	
row_51	CD3E	na	17124	-0.1347648650407791	-0.3615258	Yes	
row_52	XCL1	na	17201	-0.13894625008106232	-0.33396742	Yes	
row_53	PDE4D	na	17372	-0.1502760648727417	-0.30904254	Yes	
row_54	LAG3	na	17449	-0.15609018504619598	-0.27756262	Yes	
row_55	CD247	na	17489	-0.15933436155319214	-0.2432839	Yes	
row_56	IL1B	na	17554	-0.16419821977615356	-0.20928226	Yes	
row_57	TBX21	na	17598	-0.16928377747535706	-0.17295004	Yes	
row_58	GBP1	na	17755	-0.18827712535858154	-0.13855448	Yes	
row_59	GLMN	na	17896	-0.21566082537174225	-0.097005725	Yes	
row_60	VTCN1	na	17909	-0.21854698657989502	-0.047681715	Yes	
row_61	IL18	na	17963	-0.24271592497825623	0.0048917253	Yes	
