NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN2A	na	1949	0.12431975454092026	-0.05333202	No	
row_1	NOD2	na	6698	0.02935812808573246	-0.30384356	No	
row_2	IRF3	na	8426	0.008307491429150105	-0.39600804	No	
row_3	PIK3CB	na	8748	0.004894481040537357	-0.4116616	No	
row_4	MEF2C	na	8967	0.002480077091604471	-0.42266443	No	
row_5	ADAM17	na	9018	0.002118357690051198	-0.42450482	No	
row_6	TCP1	na	10094	-0.009135445579886436	-0.48012623	No	
row_7	PTEN	na	10118	-0.009364841505885124	-0.47727343	No	
row_8	ITPKB	na	10753	-0.015831181779503822	-0.50547254	No	
row_9	ARF6	na	10797	-0.016253622248768806	-0.5006922	No	
row_10	IL6	na	10911	-0.017267310991883278	-0.499349	No	
row_11	SELENOS	na	11277	-0.020901428535580635	-0.5103864	No	
row_12	THRA	na	11429	-0.022487768903374672	-0.50885004	No	
row_13	IRF7	na	13223	-0.044314734637737274	-0.5888008	No	
row_14	SIRT1	na	13743	-0.0514259897172451	-0.5949248	No	
row_15	CLEC5A	na	15050	-0.07242539525032043	-0.6354589	Yes	
row_16	CTSL	na	15254	-0.07641492038965225	-0.6130309	Yes	
row_17	APOH	na	15770	-0.0880361795425415	-0.60279125	Yes	
row_18	PIK3CD	na	16054	-0.09502792358398438	-0.5765957	Yes	
row_19	MAEA	na	16359	-0.1044011190533638	-0.54743266	Yes	
row_20	HCAR2	na	16438	-0.10691824555397034	-0.5046196	Yes	
row_21	FCER1G	na	16439	-0.1069231927394867	-0.45747632	Yes	
row_22	ANXA1	na	16489	-0.10865478962659836	-0.41228843	Yes	
row_23	CXCR2	na	16957	-0.12656156718730927	-0.3823992	Yes	
row_24	CCR5	na	17206	-0.13914896547794342	-0.33480826	Yes	
row_25	MIF	na	17237	-0.14160536229610443	-0.27403793	Yes	
row_26	BCL2	na	17345	-0.14780251681804657	-0.21480781	Yes	
row_27	KITLG	na	17545	-0.16358013451099396	-0.15372607	Yes	
row_28	SLC7A11	na	17770	-0.19022798538208008	-0.08228228	Yes	
row_29	CCL5	na	17915	-0.2218574434518814	0.007546216	Yes	
