NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ELF4	na	2343	0.11151256412267685	-0.104888886	No	
row_1	HNF1A	na	3260	0.08705208450555801	-0.13603345	No	
row_2	PIBF1	na	3457	0.08293065428733826	-0.12810443	No	
row_3	VAMP7	na	3469	0.08269459754228592	-0.10994894	No	
row_4	MICA	na	3925	0.0730762705206871	-0.11864837	No	
row_5	LAMP1	na	4003	0.071385957300663	-0.10672674	No	
row_6	AXL	na	4193	0.06781797856092453	-0.10183844	No	
row_7	BLOC1S3	na	6190	0.03570828586816788	-0.20464832	No	
row_8	IL23R	na	6475	0.032139964401721954	-0.21313575	No	
row_9	STAT5B	na	7005	0.025486895814538002	-0.23674716	No	
row_10	BAG6	na	7035	0.02516959421336651	-0.23264663	No	
row_11	TUSC2	na	7146	0.023624379187822342	-0.23339777	No	
row_12	CORO1A	na	7312	0.021673640236258507	-0.23764785	No	
row_13	GAS6	na	8092	0.012281463481485844	-0.27814808	No	
row_14	PRDM1	na	8591	0.006652760785073042	-0.30431113	No	
row_15	MERTK	na	8624	0.006189055275171995	-0.30468476	No	
row_16	SP3	na	9000	0.002223511226475239	-0.3250181	No	
row_17	ID2	na	9774	-0.005758925341069698	-0.36666515	No	
row_18	TYRO3	na	10157	-0.00966805499047041	-0.38569802	No	
row_19	AP1G1	na	11909	-0.028203269466757774	-0.47659698	No	
row_20	HLA-E	na	11932	-0.028404835611581802	-0.47137326	No	
row_21	UNC13D	na	12008	-0.029528876766562462	-0.46883956	No	
row_22	PRDX1	na	12499	-0.03517324849963188	-0.4880856	No	
row_23	ULBP1	na	12613	-0.03648604080080986	-0.4860846	No	
row_24	TYROBP	na	12937	-0.04030255228281021	-0.49488676	No	
row_25	ZBTB1	na	13143	-0.043334610760211945	-0.4964438	No	
row_26	SNX27	na	13169	-0.043607186526060104	-0.48793676	No	
row_27	PTPN22	na	13314	-0.045493144541978836	-0.4856143	No	
row_28	HLA-F	na	13845	-0.053053416311740875	-0.50302535	No	
row_29	ITGB2	na	14215	-0.058351896703243256	-0.51028746	No	
row_30	FGR	na	14833	-0.06804561614990234	-0.5291306	Yes	
row_31	TICAM1	na	14878	-0.06902413070201874	-0.5159112	Yes	
row_32	RHBDD3	na	14943	-0.07055528461933136	-0.5034557	Yes	
row_33	SLAMF7	na	15072	-0.0728868693113327	-0.4940274	Yes	
row_34	FLT3LG	na	15078	-0.07293763756752014	-0.47775275	Yes	
row_35	HAVCR2	na	15105	-0.07338127493858337	-0.46254435	Yes	
row_36	NCR3	na	15350	-0.07820578664541245	-0.45835486	Yes	
row_37	IL18R1	na	15927	-0.09183978289365768	-0.46951982	Yes	
row_38	ULBP2	na	16053	-0.09501632302999496	-0.45490277	Yes	
row_39	PIK3CD	na	16054	-0.09502792358398438	-0.43333706	Yes	
row_40	IL12A	na	16089	-0.09615811705589294	-0.41340423	Yes	
row_41	CASP8	na	16177	-0.09830989688634872	-0.39592814	Yes	
row_42	CLNK	na	16289	-0.10185474902391434	-0.3789812	Yes	
row_43	IL21R	na	16459	-0.10772683471441269	-0.36392462	Yes	
row_44	PTPRC	na	16497	-0.10920240730047226	-0.34119818	Yes	
row_45	RAB27A	na	16593	-0.11213718354701996	-0.32102868	Yes	
row_46	CD244	na	17146	-0.13592219352722168	-0.32085592	Yes	
row_47	ULBP3	na	17209	-0.13947099447250366	-0.2926495	Yes	
row_48	CD2	na	17387	-0.15106217563152313	-0.26820293	Yes	
row_49	TOX	na	17401	-0.15191520750522614	-0.23444961	Yes	
row_50	IL23A	na	17517	-0.16144706308841705	-0.20420104	Yes	
row_51	RASGRP1	na	17622	-0.17147523164749146	-0.17106545	Yes	
row_52	ZNF683	na	17763	-0.18941684067249298	-0.13585861	Yes	
row_53	IL15	na	17829	-0.2021227926015854	-0.09360069	Yes	
row_54	KLRK1	na	17920	-0.22359894216060638	-0.047858164	Yes	
row_55	IL18	na	17963	-0.24271592497825623	0.0048900424	Yes	
