NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT11	na	174	0.25105053186416626	0.08899864	Yes	
row_1	PTHLH	na	345	0.2224901020526886	0.16699633	Yes	
row_2	ADAMTS7	na	455	0.20628099143505096	0.24200828	Yes	
row_3	ADAMTS12	na	570	0.1946624219417572	0.31217736	Yes	
row_4	NKX3-2	na	597	0.19191326200962067	0.38614747	Yes	
row_5	EFEMP1	na	920	0.16863392293453217	0.43455106	Yes	
row_6	CTSK	na	1574	0.1381186991930008	0.45260337	Yes	
row_7	GREM1	na	1617	0.13669796288013458	0.5039891	Yes	
row_8	GLI2	na	1941	0.1246715784072876	0.5350622	Yes	
row_9	FRZB	na	2225	0.11507129669189453	0.5645817	Yes	
row_10	RFLNA	na	2655	0.1027805358171463	0.58117294	Yes	
row_11	LTBP3	na	2742	0.10051865875720978	0.6159014	Yes	
row_12	RARB	na	3125	0.09068036079406738	0.630345	Yes	
row_13	RFLNB	na	3592	0.08027978241443634	0.63604224	Yes	
row_14	CCN4	na	3865	0.07432777434587479	0.6501617	Yes	
row_15	BMP4	na	5771	0.042044203728437424	0.561014	No	
row_16	SNAI2	na	5916	0.039627641439437866	0.5685981	No	
row_17	TGFBR1	na	6548	0.03122628480195999	0.5458674	No	
row_18	RARA	na	6624	0.03028123266994953	0.55360615	No	
row_19	CTNNB1	na	7462	0.019734680652618408	0.51493317	No	
row_20	CHADL	na	11395	-0.022082321345806122	0.30550522	No	
row_21	RARG	na	12910	-0.03995116427540779	0.23722355	No	
row_22	WNT9A	na	13185	-0.04377743974328041	0.23922731	No	
row_23	SOX9	na	15336	-0.07795080542564392	0.15059914	No	
