NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EVX1	na	147	0.2582904100418091	0.12522699	Yes	
row_1	SOX1	na	436	0.20824237167835236	0.21679012	Yes	
row_2	HOXD10	na	534	0.19868886470794678	0.3140122	Yes	
row_3	MNX1	na	715	0.18242938816547394	0.39823505	Yes	
row_4	NTRK3	na	1370	0.1466650813817978	0.4377029	Yes	
row_5	ISL2	na	1496	0.1411416083574295	0.5036552	Yes	
row_6	GLI3	na	1527	0.1401687115430832	0.57437354	Yes	
row_7	GLI2	na	1941	0.1246715784072876	0.61584926	Yes	
row_8	POU4F1	na	2144	0.11782726645469666	0.665492	Yes	
row_9	EYA1	na	4251	0.06669280678033829	0.5831393	No	
row_10	ISL1	na	5326	0.04887082055211067	0.548815	No	
row_11	PAX6	na	7246	0.02236826904118061	0.4539439	No	
row_12	HOXC10	na	8273	0.010008003562688828	0.4022131	No	
row_13	ESRP1	na	9237	-2.754020970314741E-4	0.34895027	No	
row_14	DMRTA2	na	9650	-0.0044894772581756115	0.32842034	No	
row_15	SIX1	na	10496	-0.013130203820765018	0.28833953	No	
row_16	SUFU	na	12179	-0.031473882496356964	0.21131377	No	
row_17	ATOH1	na	12537	-0.035650771111249924	0.20992541	No	
row_18	DLL1	na	12824	-0.03903013467788696	0.21421959	No	
row_19	FOXA1	na	17322	-0.1463974267244339	0.0404281	No	
