NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAMP1	na	4003	0.071385957300663	-0.1945851	No	
row_1	RAET1G	na	5095	0.05199715867638588	-0.2350903	No	
row_2	PVR	na	5567	0.045120030641555786	-0.24384837	No	
row_3	STAT5B	na	7005	0.025486895814538002	-0.3137543	No	
row_4	AP1G1	na	11909	-0.028203269466757774	-0.5748923	No	
row_5	HLA-E	na	11932	-0.028404835611581802	-0.5651771	No	
row_6	NECTIN2	na	12418	-0.03420272469520569	-0.5789149	No	
row_7	VAV1	na	13195	-0.04397507756948471	-0.60503376	No	
row_8	HLA-F	na	13845	-0.053053416311740875	-0.62061214	No	
row_9	SLAMF6	na	14729	-0.06612688302993774	-0.64413863	Yes	
row_10	RAET1E	na	14919	-0.07006687670946121	-0.6276483	Yes	
row_11	NCR3	na	15350	-0.07820578664541245	-0.6213941	Yes	
row_12	CADM1	na	15808	-0.0892181247472763	-0.61239815	Yes	
row_13	IL12A	na	16089	-0.09615811705589294	-0.59091115	Yes	
row_14	CLNK	na	16289	-0.10185474902391434	-0.56273746	Yes	
row_15	CD160	na	16530	-0.11030636727809906	-0.5335845	Yes	
row_16	HLA-G	na	16600	-0.11231487989425659	-0.49417195	Yes	
row_17	CRTAM	na	16638	-0.11361171305179596	-0.4524849	Yes	
row_18	LAG3	na	17449	-0.15609018504619598	-0.43732652	Yes	
row_19	CD226	na	17494	-0.1599363386631012	-0.3781932	Yes	
row_20	SH2D1A	na	17502	-0.16015827655792236	-0.31692186	Yes	
row_21	KIR2DL4	na	17514	-0.1612587571144104	-0.25544873	Yes	
row_22	SH2D1B	na	17528	-0.1626850664615631	-0.19353744	Yes	
row_23	RASGRP1	na	17622	-0.17147523164749146	-0.13268004	Yes	
row_24	IL18RAP	na	17712	-0.1825600117444992	-0.067333184	Yes	
row_25	KLRK1	na	17920	-0.22359894216060638	0.0072672283	Yes	
