NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OPHN1	na	130	0.26268354058265686	0.09452537	Yes	
row_1	CBLN1	na	690	0.18392600119113922	0.13474038	Yes	
row_2	SHANK1	na	1145	0.1572488248348236	0.17044996	Yes	
row_3	NTRK3	na	1370	0.1466650813817978	0.21482396	Yes	
row_4	LRRC4B	na	1392	0.14582841098308563	0.27013916	Yes	
row_5	LRFN1	na	1964	0.12376201152801514	0.28638625	Yes	
row_6	LRRTM2	na	2064	0.120697520673275	0.32763952	Yes	
row_7	PTPRS	na	2252	0.11421538144350052	0.36149874	Yes	
row_8	CDH2	na	2399	0.10971644520759583	0.39589074	Yes	
row_9	ZMYND8	na	2402	0.10958074778318405	0.4382213	Yes	
row_10	LRRC4	na	3084	0.09161932021379471	0.4359149	Yes	
row_11	RELN	na	3402	0.08437798917293549	0.45100367	Yes	
row_12	GAP43	na	3575	0.08053425699472427	0.47265032	Yes	
row_13	NRXN1	na	3742	0.07672671228647232	0.49315524	Yes	
row_14	PTPRD	na	3822	0.07524872571229935	0.51791567	Yes	
row_15	NTNG2	na	4010	0.07119941711425781	0.53511447	Yes	
row_16	NLGN2	na	4028	0.07093861699104309	0.5616462	Yes	
row_17	LRRTM1	na	4249	0.06671173125505447	0.5752756	Yes	
row_18	SHANK2	na	4480	0.06211110204458237	0.5865681	Yes	
row_19	SHANK3	na	4922	0.05492012947797775	0.58336633	Yes	
row_20	SYNGAP1	na	5294	0.049281779676675797	0.5818654	Yes	
row_21	NRXN2	na	5426	0.047530367970466614	0.5930046	Yes	
row_22	DLG1	na	7970	0.01358006615191698	0.45714328	No	
row_23	DLG3	na	8478	0.00765554653480649	0.43197295	No	
row_24	IL1RAP	na	9212	1.1913777598238084E-5	0.39130053	No	
row_25	CRIPT	na	9401	-0.0019299540435895324	0.38161516	No	
row_26	LRFN4	na	10056	-0.008692956529557705	0.34868902	No	
row_27	PTEN	na	10118	-0.009364841505885124	0.34893098	No	
row_28	ARF6	na	10797	-0.016253622248768806	0.31760126	No	
row_29	LILRB2	na	14745	-0.06632132828235626	0.12425368	No	
row_30	TMEM108	na	15187	-0.07497227936983109	0.12881827	No	
row_31	DLG2	na	15316	-0.07761401683092117	0.15177563	No	
