NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGF18	na	134	0.2616259753704071	0.037876014	Yes	
row_1	WNT11	na	174	0.25105053186416626	0.07920091	Yes	
row_2	PTHLH	na	345	0.2224901020526886	0.10829566	Yes	
row_3	ADAMTS7	na	455	0.20628099143505096	0.13797325	Yes	
row_4	ADAMTS12	na	570	0.1946624219417572	0.16536005	Yes	
row_5	NKX3-2	na	597	0.19191326200962067	0.19716245	Yes	
row_6	WNT5A	na	654	0.18678990006446838	0.22640958	Yes	
row_7	ANXA9	na	908	0.16936928033828735	0.24168757	Yes	
row_8	EFEMP1	na	920	0.16863392293453217	0.27029082	Yes	
row_9	LOXL2	na	1358	0.14720329642295837	0.2715002	Yes	
row_10	GDF6	na	1475	0.14205454289913177	0.28966185	Yes	
row_11	GLI3	na	1527	0.1401687115430832	0.3111101	Yes	
row_12	CTSK	na	1574	0.1381186991930008	0.33248118	Yes	
row_13	GREM1	na	1617	0.13669796288013458	0.35382846	Yes	
row_14	SIX2	na	1684	0.1342381238937378	0.37341544	Yes	
row_15	SCX	na	1720	0.133158877491951	0.3945387	Yes	
row_16	AXIN2	na	1850	0.1281261295080185	0.40956467	Yes	
row_17	RUNX2	na	1874	0.12704940140247345	0.4302966	Yes	
row_18	GLI2	na	1941	0.1246715784072876	0.44822624	Yes	
row_19	PKDCC	na	2207	0.11560846120119095	0.45352346	Yes	
row_20	FRZB	na	2225	0.11507129669189453	0.4725138	Yes	
row_21	ZNF219	na	2240	0.1146225854754448	0.49159315	Yes	
row_22	POR	na	2291	0.11311503499746323	0.5084101	Yes	
row_23	RFLNA	na	2655	0.1027805358171463	0.5060372	Yes	
row_24	LTBP3	na	2742	0.10051865875720978	0.5186707	Yes	
row_25	SOX5	na	2815	0.09849770367145538	0.5317323	Yes	
row_26	ACVRL1	na	3083	0.09168095886707306	0.5327731	Yes	
row_27	RARB	na	3125	0.09068036079406738	0.5462037	Yes	
row_28	HOXA11	na	3316	0.08604922145605087	0.55054915	Yes	
row_29	SCIN	na	3458	0.08292406052350998	0.5570771	Yes	
row_30	RFLNB	na	3592	0.08027978241443634	0.5635916	Yes	
row_31	CCN4	na	3865	0.07432777434587479	0.5613481	Yes	
row_32	SMPD3	na	3983	0.07177063822746277	0.5672779	Yes	
row_33	TRPS1	na	4449	0.06279976665973663	0.55230844	No	
row_34	MAF	na	4474	0.06221930682659149	0.5617534	No	
row_35	BMPR1B	na	4685	0.05887524038553238	0.5602793	No	
row_36	BMP4	na	5771	0.042044203728437424	0.5072486	No	
row_37	SNAI2	na	5916	0.039627641439437866	0.50610894	No	
row_38	BMPR2	na	5989	0.038501519709825516	0.5087766	No	
row_39	BMP2	na	6046	0.037694051861763	0.51219386	No	
row_40	TGFBR1	na	6548	0.03122628480195999	0.48975325	No	
row_41	RARA	na	6624	0.03028123266994953	0.49083006	No	
row_42	CTNNB1	na	7462	0.019734680652618408	0.44772053	No	
row_43	MDK	na	8296	0.009811081923544407	0.40311417	No	
row_44	SMAD3	na	8473	0.007707227021455765	0.39466563	No	
row_45	CARM1	na	9463	-0.0026645618490874767	0.3401492	No	
row_46	CCN2	na	9656	-0.004544008057564497	0.33026323	No	
row_47	ANXA2	na	10075	-0.00900117214769125	0.3085862	No	
row_48	ZBTB16	na	10933	-0.017528684809803963	0.2639827	No	
row_49	BMP6	na	11050	-0.0186535082757473	0.26076594	No	
row_50	CHADL	na	11395	-0.022082321345806122	0.24546875	No	
row_51	BMP1	na	11433	-0.022562570869922638	0.24732076	No	
row_52	RELA	na	11641	-0.024756381288170815	0.2401026	No	
row_53	LNPK	na	11803	-0.026896141469478607	0.23581228	No	
row_54	CCN1	na	11832	-0.02727799490094185	0.23898152	No	
row_55	RARG	na	12910	-0.03995116427540779	0.18603286	No	
row_56	WNT9A	na	13185	-0.04377743974328041	0.1783855	No	
row_57	GLG1	na	13412	-0.04687349498271942	0.17394279	No	
row_58	SHOX2	na	13911	-0.05412929132580757	0.15563676	No	
row_59	ANXA2P2	na	15165	-0.07463096082210541	0.09891241	No	
row_60	SOX9	na	15336	-0.07795080542564392	0.102966666	No	
row_61	SOX6	na	15805	-0.08899299800395966	0.09236823	No	
row_62	TAPT1	na	17743	-0.18719446659088135	0.017121546	No	
