NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MICA	na	3925	0.0730762705206871	-0.19465472	No	
row_1	LAMP1	na	4003	0.071385957300663	-0.17625831	No	
row_2	RAET1G	na	5095	0.05199715867638588	-0.2203026	No	
row_3	PVR	na	5567	0.045120030641555786	-0.23211704	No	
row_4	STAT5B	na	7005	0.025486895814538002	-0.30378547	No	
row_5	CEACAM1	na	7802	0.015383622609078884	-0.34308296	No	
row_6	ARRB2	na	8340	0.009244346991181374	-0.36995405	No	
row_7	PIK3R6	na	8523	0.007307895924896002	-0.37773538	No	
row_8	SERPINB9	na	9831	-0.0064409957267344	-0.4482365	No	
row_9	AP1G1	na	11909	-0.028203269466757774	-0.55456626	No	
row_10	HLA-E	na	11932	-0.028404835611581802	-0.54676676	No	
row_11	NECTIN2	na	12418	-0.03420272469520569	-0.5628253	No	
row_12	VAV1	na	13195	-0.04397507756948471	-0.5919328	No	
row_13	CRK	na	13558	-0.04877614974975586	-0.5965359	No	
row_14	LILRB1	na	13816	-0.052629709243774414	-0.5940872	No	
row_15	HLA-F	na	13845	-0.053053416311740875	-0.5787929	No	
row_16	SLAMF6	na	14729	-0.06612688302993774	-0.60680467	Yes	
row_17	RAET1E	na	14919	-0.07006687670946121	-0.59504384	Yes	
row_18	HAVCR2	na	15105	-0.07338127493858337	-0.5820084	Yes	
row_19	NCR3	na	15350	-0.07820578664541245	-0.5707158	Yes	
row_20	CADM1	na	15808	-0.0892181247472763	-0.56774867	Yes	
row_21	LGALS9	na	15836	-0.08978354930877686	-0.54073435	Yes	
row_22	IL12A	na	16089	-0.09615811705589294	-0.5241845	Yes	
row_23	CLNK	na	16289	-0.10185474902391434	-0.50288373	Yes	
row_24	CD160	na	16530	-0.11030636727809906	-0.48117468	Yes	
row_25	HLA-G	na	16600	-0.11231487989425659	-0.44933623	Yes	
row_26	CRTAM	na	16638	-0.11361171305179596	-0.41530973	Yes	
row_27	LAG3	na	17449	-0.15609018504619598	-0.41069946	Yes	
row_28	CD226	na	17494	-0.1599363386631012	-0.36234996	Yes	
row_29	SH2D1A	na	17502	-0.16015827655792236	-0.31187627	Yes	
row_30	KIR2DL4	na	17514	-0.1612587571144104	-0.26127508	Yes	
row_31	SH2D1B	na	17528	-0.1626850664615631	-0.21033198	Yes	
row_32	RASGRP1	na	17622	-0.17147523164749146	-0.16103783	Yes	
row_33	CD96	na	17667	-0.1753837913274765	-0.10778262	Yes	
row_34	IL18RAP	na	17712	-0.1825600117444992	-0.052248415	Yes	
row_35	KLRK1	na	17920	-0.22359894216060638	0.0072712116	Yes	
