NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CBLN1	na	690	0.18392600119113922	0.09798325	Yes	
row_1	NTRK3	na	1370	0.1466650813817978	0.1689764	Yes	
row_2	LRRC4B	na	1392	0.14582841098308563	0.27583036	Yes	
row_3	LRFN1	na	1964	0.12376201152801514	0.33584642	Yes	
row_4	LRRTM2	na	2064	0.120697520673275	0.41976094	Yes	
row_5	PTPRS	na	2252	0.11421538144350052	0.49399516	Yes	
row_6	CDH2	na	2399	0.10971644520759583	0.56717	Yes	
row_7	ZMYND8	na	2402	0.10958074778318405	0.648228	Yes	
row_8	NRXN1	na	3742	0.07672671228647232	0.6308248	Yes	
row_9	PTPRD	na	3822	0.07524872571229935	0.68218327	Yes	
row_10	LRRTM1	na	4249	0.06671173125505447	0.70798	Yes	
row_11	IL1RAP	na	9212	1.1913777598238084E-5	0.4328876	No	
row_12	CRIPT	na	9401	-0.0019299540435895324	0.42389417	No	
row_13	LRFN4	na	10056	-0.008692956529557705	0.3940744	No	
row_14	LILRB2	na	14745	-0.06632132828235626	0.18328987	No	
