NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TDGF1	na	210	0.2432805448770523	0.0061653	No	
row_1	IRF5	na	318	0.22612307965755463	0.016831134	No	
row_2	WNT5A	na	654	0.18678990006446838	0.01184057	No	
row_3	CCL11	na	664	0.18616260588169098	0.025047692	No	
row_4	TRIM31	na	949	0.1673625111579895	0.021480413	No	
row_5	CAMK2B	na	1143	0.15736369788646698	0.022269348	No	
row_6	IRF8	na	1951	0.12431289255619049	-0.013737082	No	
row_7	CCL21	na	2487	0.10712551325559616	-0.03578746	No	
row_8	RAB20	na	2608	0.10391636192798615	-0.03484961	No	
row_9	KIF16B	na	3028	0.09344734251499176	-0.051415686	No	
row_10	VCAM1	na	3103	0.09122004359960556	-0.048838627	No	
row_11	STX4	na	3386	0.08470986783504486	-0.058381304	No	
row_12	MID1	na	3809	0.0754755288362503	-0.07643889	No	
row_13	ZYX	na	4626	0.059811025857925415	-0.11769951	No	
row_14	CCL24	na	5115	0.05182001367211342	-0.14119285	No	
row_15	CAMK2G	na	5352	0.04855789616703987	-0.15082383	No	
row_16	EDN1	na	5659	0.04389019310474396	-0.16471596	No	
row_17	KIF5B	na	5920	0.039535537362098694	-0.17635453	No	
row_18	HLA-DQA2	na	6007	0.038276612758636475	-0.17834827	No	
row_19	CCL22	na	6094	0.036978110671043396	-0.18043767	No	
row_20	CITED1	na	6239	0.03502192720770836	-0.18591696	No	
row_21	HPX	na	6256	0.03489543870091438	-0.18424234	No	
row_22	IL23R	na	6475	0.032139964401721954	-0.19407514	No	
row_23	TRIM68	na	6577	0.030856439843773842	-0.19745483	No	
row_24	CAMK2A	na	6604	0.03048056736588478	-0.19666499	No	
row_25	HSP90AB1	na	6665	0.02968670055270195	-0.19783634	No	
row_26	SLC26A6	na	6702	0.029324106872081757	-0.19769129	No	
row_27	HLA-DQB2	na	6704	0.02929924614727497	-0.19558938	No	
row_28	IRF6	na	7046	0.024975819513201714	-0.21283326	No	
row_29	IFITM1	na	7062	0.024747973307967186	-0.21185002	No	
row_30	STXBP2	na	7182	0.023176157847046852	-0.21680269	No	
row_31	PRKCD	na	7218	0.022773470729589462	-0.21708414	No	
row_32	VIM	na	7315	0.021661052480340004	-0.22086124	No	
row_33	RPL13A	na	7560	0.018407991155982018	-0.23316044	No	
row_34	DAPK3	na	7572	0.018216023221611977	-0.23243442	No	
row_35	NCAM1	na	7718	0.01637449488043785	-0.23934306	No	
row_36	NUB1	na	7829	0.015077779069542885	-0.2443885	No	
row_37	CLDN1	na	7907	0.014224599115550518	-0.24765001	No	
row_38	PPARG	na	7941	0.013930740766227245	-0.24847078	No	
row_39	SNCA	na	8176	0.011315448209643364	-0.2607327	No	
row_40	RAB7B	na	8276	0.009985396638512611	-0.26553762	No	
row_41	FCGR1A	na	8382	0.008679215796291828	-0.27077448	No	
row_42	IRF3	na	8426	0.008307491429150105	-0.27256906	No	
row_43	NR1H3	na	9084	0.0013997206697240472	-0.30923355	No	
row_44	RAB43	na	9148	7.416046573780477E-4	-0.3127046	No	
row_45	SYNCRIP	na	9178	4.211761988699436E-4	-0.31429648	No	
row_46	SEC61A1	na	9418	-0.0020824773237109184	-0.32751825	No	
row_47	TRIM26	na	9429	-0.00224418006837368	-0.3279126	No	
row_48	ACTR2	na	9490	-0.002942559774965048	-0.33105364	No	
row_49	CDC42EP4	na	9583	-0.0038556037470698357	-0.33591825	No	
row_50	CCL14	na	9671	-0.004634449258446693	-0.3404457	No	
row_51	TP53	na	9794	-0.00608593737706542	-0.34682494	No	
row_52	SIRPA	na	9825	-0.006387338042259216	-0.3480334	No	
row_53	CCL23	na	9960	-0.007761763874441385	-0.35496077	No	
row_54	STXBP1	na	10007	-0.008235067129135132	-0.35692856	No	
row_55	GSN	na	10288	-0.01092118863016367	-0.3717938	No	
row_56	OASL	na	10305	-0.011157928965985775	-0.37186745	No	
row_57	IRF9	na	10652	-0.014902668073773384	-0.39013302	No	
row_58	VAMP3	na	10655	-0.014941757544875145	-0.38914448	No	
row_59	OAS1	na	10674	-0.015031165443360806	-0.38904476	No	
row_60	EPRS1	na	10686	-0.015146665275096893	-0.38854483	No	
row_61	NR1H2	na	10698	-0.015269492752850056	-0.38803583	No	
row_62	CDC37	na	10823	-0.016432669013738632	-0.39376494	No	
row_63	CD58	na	10841	-0.01657455414533615	-0.39349562	No	
row_64	CCL15	na	10872	-0.016941694542765617	-0.39392674	No	
row_65	STX8	na	10905	-0.01721985824406147	-0.39444932	No	
row_66	ACTG1	na	10907	-0.017241721972823143	-0.39323545	No	
row_67	TLR4	na	10930	-0.017500661313533783	-0.39317772	No	
row_68	ACTR3	na	11006	-0.018245253711938858	-0.39603117	No	
row_69	FCGR1B	na	11263	-0.020755231380462646	-0.40882906	No	
row_70	CCL2	na	11276	-0.020887717604637146	-0.40796223	No	
row_71	CCL19	na	11286	-0.02101164311170578	-0.4069184	No	
row_72	FLNB	na	11516	-0.02332969382405281	-0.41801566	No	
row_73	GAPDH	na	11680	-0.02525465376675129	-0.42527762	No	
row_74	HLA-DPA1	na	11741	-0.026042349636554718	-0.42671737	No	
row_75	CXCL16	na	11785	-0.026611322537064552	-0.42716387	No	
row_76	ADAMTS13	na	11800	-0.026850024238228798	-0.42596987	No	
row_77	ASS1	na	11852	-0.02752559632062912	-0.42679673	No	
row_78	IFITM3	na	11861	-0.027641013264656067	-0.4252087	No	
row_79	HLA-E	na	11932	-0.028404835611581802	-0.42703408	No	
row_80	MED1	na	11974	-0.0290798619389534	-0.42718682	No	
row_81	MRC1	na	12094	-0.03042072057723999	-0.43160594	No	
row_82	JAK1	na	12346	-0.03350028023123741	-0.44318533	No	
row_83	TRIM62	na	12510	-0.03527204692363739	-0.4497095	No	
row_84	CDC42	na	12577	-0.036077871918678284	-0.45074594	No	
row_85	CCL8	na	12731	-0.03779110312461853	-0.45652494	No	
row_86	SLC11A1	na	12814	-0.038898732513189316	-0.45824903	No	
row_87	CD44	na	12901	-0.0398697592318058	-0.46012545	No	
row_88	TRIM8	na	12940	-0.04035385698080063	-0.45927998	No	
row_89	PDE12	na	13075	-0.0422244630753994	-0.4636692	No	
row_90	IFNGR2	na	13181	-0.043741606175899506	-0.46632376	Yes	
row_91	TRIM25	na	13201	-0.044029202312231064	-0.46414432	Yes	
row_92	CD47	na	13215	-0.04422016069293022	-0.46161503	Yes	
row_93	IRF7	na	13223	-0.044314734637737274	-0.458743	Yes	
row_94	VPS26B	na	13365	-0.046391673386096954	-0.46321705	Yes	
row_95	CALCOCO2	na	13379	-0.04654838889837265	-0.4605163	Yes	
row_96	PIAS1	na	13432	-0.04718685522675514	-0.45995107	Yes	
row_97	BST2	na	13462	-0.04758225381374359	-0.4580696	Yes	
row_98	EVL	na	13476	-0.04775867238640785	-0.4552797	Yes	
row_99	IFI30	na	13648	-0.0499839149415493	-0.46116805	Yes	
row_100	MYO1C	na	13713	-0.05102135241031647	-0.46099198	Yes	
row_101	TRIM38	na	13741	-0.05141918733716011	-0.45871598	Yes	
row_102	NLRC5	na	13772	-0.051930468529462814	-0.4565702	Yes	
row_103	CCL26	na	13792	-0.052263397723436356	-0.45378435	Yes	
row_104	CCL18	na	13830	-0.05282919481396675	-0.4519641	Yes	
row_105	HLA-F	na	13845	-0.053053416311740875	-0.44884023	Yes	
row_106	CCL25	na	13848	-0.05315493792295456	-0.44503734	Yes	
row_107	SUMO1	na	13981	-0.05495394021272659	-0.4483771	Yes	
row_108	CX3CL1	na	14054	-0.05598779395222664	-0.44828293	Yes	
row_109	STXBP3	na	14112	-0.05687426030635834	-0.44728407	Yes	
row_110	CCL13	na	14114	-0.056903641670942307	-0.4431491	Yes	
row_111	IRF4	na	14520	-0.0630868598818779	-0.46116772	Yes	
row_112	SHFL	na	14532	-0.06326259672641754	-0.45712405	Yes	
row_113	HCK	na	14585	-0.06392247974872589	-0.45532626	Yes	
row_114	CD40	na	14605	-0.06430403143167496	-0.4516536	Yes	
