NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ROBO2	na	133	0.261965811252594	0.015033445	Yes	
row_1	DRD2	na	201	0.24548807740211487	0.032340534	Yes	
row_2	DRD1	na	308	0.2284688651561737	0.046009894	Yes	
row_3	AMIGO2	na	392	0.21529684960842133	0.05983452	Yes	
row_4	CEL	na	407	0.2123458832502365	0.07726022	Yes	
row_5	EPHA7	na	434	0.20852994918823242	0.093688436	Yes	
row_6	SYNDIG1	na	477	0.20477928221225739	0.108901344	Yes	
row_7	WNT5A	na	654	0.18678990006446838	0.115086965	Yes	
row_8	CBLN1	na	690	0.18392600119113922	0.1289028	Yes	
row_9	FARP1	na	721	0.18199624121189117	0.14283244	Yes	
row_10	ACHE	na	744	0.1803993433713913	0.15707202	Yes	
row_11	SHANK1	na	1145	0.1572488248348236	0.14821276	Yes	
row_12	ASIC2	na	1169	0.15628674626350403	0.16032892	Yes	
row_13	FZD1	na	1175	0.1561097353696823	0.17343535	Yes	
row_14	FLRT2	na	1257	0.15179620683193207	0.18192679	Yes	
row_15	NTRK3	na	1370	0.1466650813817978	0.18824671	Yes	
row_16	LRRC4B	na	1392	0.14582841098308563	0.19957784	Yes	
row_17	LRP4	na	1440	0.14385877549648285	0.20928782	Yes	
row_18	GPC6	na	1536	0.13969700038433075	0.21595982	Yes	
row_19	SRPX2	na	1548	0.1392195224761963	0.22728284	Yes	
row_20	BHLHB9	na	1648	0.13540434837341309	0.23336333	Yes	
row_21	GABRB2	na	1699	0.13364797830581665	0.24203022	Yes	
row_22	DNM3	na	1703	0.13360854983329773	0.25331897	Yes	
row_23	EPHB1	na	1715	0.13328121602535248	0.2641328	Yes	
row_24	NRG1	na	1742	0.132456436753273	0.27403805	Yes	
row_25	LRFN1	na	1964	0.12376201152801514	0.2723058	Yes	
row_26	PCDH17	na	2011	0.12239240854978561	0.28023097	Yes	
row_27	LRRTM2	na	2064	0.120697520673275	0.28767568	Yes	
row_28	SLIT1	na	2119	0.11867374926805496	0.29483515	Yes	
row_29	POU4F1	na	2144	0.11782726645469666	0.30359775	Yes	
row_30	THBS2	na	2160	0.11747241020202637	0.31283262	Yes	
row_31	NTRK2	na	2189	0.11615609377622604	0.3212285	Yes	
row_32	PTPRS	na	2252	0.11421538144350052	0.32755885	Yes	
row_33	PCLO	na	2288	0.11320669949054718	0.33531082	Yes	
row_34	NTN1	na	2354	0.111061692237854	0.34120315	Yes	
row_35	CDH2	na	2399	0.10971644520759583	0.34815317	Yes	
row_36	MDGA1	na	2472	0.10765542089939117	0.35336244	Yes	
row_37	BDNF	na	2491	0.10693200677633286	0.36152595	Yes	
row_38	OXTR	na	2588	0.10456295311450958	0.36512953	Yes	
row_39	EFNB2	na	2613	0.10382665693759918	0.37269163	Yes	
row_40	ADGRB3	na	2719	0.10101629793643951	0.37548837	Yes	
row_41	AMIGO1	na	2772	0.09968876093626022	0.38113168	Yes	
row_42	PCDHB5	na	2912	0.09606190025806427	0.3816045	Yes	
row_43	SDK1	na	2919	0.09593646228313446	0.38949546	Yes	
row_44	ADNP	na	3075	0.09190994501113892	0.38871855	Yes	
row_45	CLSTN2	na	3081	0.09172499924898148	0.39630428	Yes	
row_46	LRRC4	na	3084	0.09161932021379471	0.4040485	Yes	
row_47	NLGN4X	na	3096	0.09145523607730865	0.41127595	Yes	
row_48	MECP2	na	3139	0.09031165391206741	0.41667378	Yes	
row_49	RAB17	na	3249	0.08727382868528366	0.41806874	Yes	
row_50	GPC4	na	3569	0.08073028177022934	0.40717274	Yes	
row_51	GAP43	na	3575	0.08053425699472427	0.4137989	Yes	
row_52	LRRN1	na	3584	0.08039407432079315	0.42024547	Yes	
row_53	PCDHB6	na	3667	0.0783611387014389	0.42238435	Yes	
row_54	PCDHB3	na	3698	0.07773531973361969	0.4273741	Yes	
row_55	NRXN1	na	3742	0.07672671228647232	0.43155125	Yes	
row_56	MAGI2	na	3791	0.07583970576524734	0.43537304	Yes	
row_57	PTPRD	na	3822	0.07524872571229935	0.44014958	Yes	
row_58	SIX4	na	3915	0.07344713807106018	0.44130853	Yes	
row_59	ADGRL3	na	3953	0.07223299145698547	0.44543546	Yes	
row_60	NTNG2	na	4010	0.07119941711425781	0.44841254	Yes	
row_61	NLGN2	na	4028	0.07093861699104309	0.45354563	Yes	
row_62	CDK5	na	4124	0.06913755089044571	0.4541675	Yes	
row_63	LRFN5	na	4243	0.06680658459663391	0.45330477	Yes	
row_64	LRRTM1	na	4249	0.06671173125505447	0.45874572	Yes	
row_65	SLITRK5	na	4300	0.06583238393068314	0.4615977	Yes	
row_66	NLGN4Y	na	4319	0.06538596004247665	0.46619883	Yes	
row_67	SHANK2	na	4480	0.06211110204458237	0.46258754	Yes	
row_68	VPS35	na	4484	0.062013547867536545	0.46773735	Yes	
row_69	CBLN2	na	4609	0.06004176661372185	0.46595943	Yes	
row_70	DBNL	na	4617	0.05990419536828995	0.47070494	Yes	
row_71	PCDHB16	na	4696	0.05874839797616005	0.47138554	Yes	
row_72	ARMCX5-GPRASP2	na	4815	0.05688512325286865	0.4696721	No	
row_73	SHANK3	na	4922	0.05492012947797775	0.46846047	No	
row_74	SDK2	na	5178	0.050907962024211884	0.45858216	No	
row_75	PLXNB1	na	5305	0.04910002648830414	0.45575434	No	
row_76	NRXN2	na	5426	0.047530367970466614	0.45312706	No	
row_77	ADGRF1	na	5545	0.0455130860209465	0.45043853	No	
row_78	ADD2	na	5821	0.041222043335437775	0.43861258	No	
row_79	MAP1B	na	6148	0.036288633942604065	0.4235149	No	
row_80	DLG5	na	6510	0.03172072023153305	0.4060706	No	
