NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_COLLAGEN_FIBRIL_ORGANIZATION	GO_COLLAGEN_FIBRIL_ORGANIZATION	Details ...	53	0.59785956	2.1144247	0.0	0.014352611	0.018	3580	tags=57%, list=20%, signal=70%	
GO_POSTSYNAPSE_ASSEMBLY	GO_POSTSYNAPSE_ASSEMBLY	Details ...	28	0.6868578	2.0957577	0.0	0.009073963	0.023	4480	tags=75%, list=25%, signal=100%	
GO_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	GO_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	Details ...	50	0.5916471	2.0478663	0.0	0.014327407	0.055	3865	tags=54%, list=21%, signal=69%	
GO_REGULATION_OF_CARTILAGE_DEVELOPMENT	GO_REGULATION_OF_CARTILAGE_DEVELOPMENT	Details ...	63	0.5672779	2.0418308	0.0	0.011692859	0.06	3983	tags=52%, list=22%, signal=67%	
GO_PRESYNAPSE_ORGANIZATION	GO_PRESYNAPSE_ORGANIZATION	Details ...	37	0.6208874	2.0203748	0.0	0.012360818	0.078	4609	tags=62%, list=26%, signal=83%	
GO_AMINE_TRANSPORT	GO_AMINE_TRANSPORT	Details ...	69	0.5346774	1.9640299	0.0	0.029664902	0.205	4466	tags=45%, list=25%, signal=59%	
GO_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	GO_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	Details ...	19	0.6887596	1.9625431	0.0015384615	0.02628754	0.212	5426	tags=84%, list=30%, signal=120%	
GO_EMBRYONIC_EYE_MORPHOGENESIS	GO_EMBRYONIC_EYE_MORPHOGENESIS	Details ...	29	0.6164075	1.9595683	0.0	0.024420436	0.222	3757	tags=55%, list=21%, signal=70%	
GO_CATECHOLAMINE_SECRETION	GO_CATECHOLAMINE_SECRETION	Details ...	41	0.5914813	1.9429338	0.0	0.02883296	0.289	4466	tags=56%, list=25%, signal=74%	
GO_NEUROPEPTIDE_SIGNALING_PATHWAY	GO_NEUROPEPTIDE_SIGNALING_PATHWAY	Details ...	55	0.55877274	1.9415177	0.0	0.026629306	0.295	2820	tags=44%, list=16%, signal=52%	
GO_NEGATIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT	GO_NEGATIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT	Details ...	24	0.6501617	1.939834	0.0	0.02496317	0.303	3865	tags=63%, list=21%, signal=79%	
GO_SYNAPSE_ASSEMBLY	GO_SYNAPSE_ASSEMBLY	Details ...	149	0.47138554	1.9343158	0.0	0.025019359	0.326	4696	tags=48%, list=26%, signal=65%	
GO_REGULATION_OF_SYNAPSE_ASSEMBLY	GO_REGULATION_OF_SYNAPSE_ASSEMBLY	Details ...	86	0.5052967	1.9190199	0.0	0.029131807	0.388	4609	tags=51%, list=26%, signal=68%	
GO_REGULATION_OF_POSTSYNAPTIC_DENSITY_ORGANIZATION	GO_REGULATION_OF_POSTSYNAPTIC_DENSITY_ORGANIZATION	Details ...	15	0.70798	1.9074063	0.003407155	0.033245485	0.455	4249	tags=73%, list=24%, signal=96%	
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	Details ...	127	0.46998033	1.8917534	0.0	0.040024757	0.542	3436	tags=34%, list=19%, signal=42%	
GO_NEURON_FATE_SPECIFICATION	GO_NEURON_FATE_SPECIFICATION	Details ...	20	0.665492	1.8909873	0.0	0.03804361	0.546	2144	tags=45%, list=12%, signal=51%	
GO_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION	GO_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION	Details ...	32	0.5930046	1.887132	0.0	0.038070854	0.572	5426	tags=69%, list=30%, signal=98%	
GO_CHONDROCYTE_DIFFERENTIATION	GO_CHONDROCYTE_DIFFERENTIATION	Details ...	114	0.47600377	1.8778958	0.0	0.041567985	0.614	4685	tags=49%, list=26%, signal=66%	
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	Details ...	134	0.4623216	1.86729	0.0	0.046243135	0.677	4009	tags=37%, list=22%, signal=48%	
GO_REGULATION_OF_ANIMAL_ORGAN_FORMATION	GO_REGULATION_OF_ANIMAL_ORGAN_FORMATION	Details ...	32	0.5871033	1.857971	0.0	0.050259303	0.733	4466	tags=56%, list=25%, signal=75%	
GO_CONVERGENT_EXTENSION	GO_CONVERGENT_EXTENSION		15	0.70526534	1.8570342	0.0	0.048513997	0.736	2760	tags=47%, list=15%, signal=55%	
