NAME	TITLE	SCORE	
IGSF23	na	0.41269436	
ZSWIM3	na	0.40945944	
TUSC8	na	0.38917816	
GABRE	na	0.3867621	
SMIM32	na	0.38568142	
MYLK4	na	0.3746287	
COL9A1	na	0.3625987	
CLDN15	na	0.36175504	
MYADML2	na	0.3579408	
SNORA71B	na	0.35785547	
LINC01003	na	0.352227	
SPATA25	na	0.35046548	
TREX2	na	0.3496054	
PGAM1P8	na	0.34864116	
LINC02441	na	0.3481946	
R3HDML	na	0.34601337	
OTC	na	0.34501058	
TH	na	0.3447149	
ZNF815P	na	0.34231985	
XPNPEP2	na	0.34199107	
HCG11	na	0.34110492	
GRK1	na	0.34049293	
UCKL1-AS1	na	0.33667013	
SSUH2	na	0.33300415	
DUSP9	na	0.3323741	
CADPS	na	0.3310992	
CACNG4	na	0.32920545	
SNHG11	na	0.32896546	
USP27X	na	0.32409343	
PLA2R1	na	0.3235049	
NPFFR1	na	0.3209762	
SNORA5C	na	0.32093942	
NEURL2	na	0.32017428	
ADNP-AS1	na	0.32012808	
LINC01006	na	0.32012317	
CHN2-AS1	na	0.31980446	
TDRKH-AS1	na	0.3182111	
MYLPF	na	0.31761694	
TNNC2	na	0.3173323	
MLXIPL	na	0.31724638	
LRRFIP1P1	na	0.31562093	
CTTNBP2	na	0.3145292	
SPACA3	na	0.31116158	
LINC00543	na	0.3110768	
GLOD5	na	0.30988926	
LY6G6F-LY6G6D	na	0.3084458	
SHROOM4	na	0.3079517	
RBP4	na	0.3071426	
SLC22A3	na	0.30702436	
FADS6	na	0.3054176	
PLUT	na	0.30467653	
C3orf85	na	0.3044924	
MIR3131	na	0.30325893	
SLC5A12	na	0.3026031	
SLC6A4	na	0.30049452	
SNORA71C	na	0.29894334	
ARHGDIG	na	0.29843912	
LY6G6D	na	0.29817918	
CBY2	na	0.29783756	
LINC01234	na	0.2978055	
C6orf15	na	0.29680336	
NDUFB2-AS1	na	0.29525572	
CST2	na	0.29500327	
GNG4	na	0.2948897	
H2BC8	na	0.2942196	
MIR647	na	0.29390454	
ADIRF-AS1	na	0.2929858	
CHP2	na	0.29264733	
MMP11	na	0.2899667	
TSPAN7	na	0.2898528	
PROX2	na	0.28963438	
GAS2	na	0.2894272	
SALL4	na	0.28922287	
MPP1	na	0.2891391	
LINC00942	na	0.2889236	
GYG2	na	0.28889206	
ZNF541	na	0.28852624	
SAMD11	na	0.28848556	
SPIN3	na	0.2877657	
TCF21	na	0.2875798	
SNORA71A	na	0.28735444	
DUSP15	na	0.28624618	
ISM2	na	0.28620532	
MOGAT3	na	0.2858895	
TRPC7-AS1	na	0.28565812	
LY6G5C	na	0.2852196	
RIPPLY3	na	0.28466487	
SMIM2-AS1	na	0.284145	
LINC01082	na	0.28371498	
RPL13P5	na	0.28251636	
KLHL31	na	0.28120324	
OSER1-DT	na	0.2809133	
CDHR3	na	0.2807388	
ZC3H12B	na	0.27999756	
IGSF9	na	0.27963692	
CYP4F8	na	0.27951896	
PRLR	na	0.2790905	
TPT1-AS1	na	0.27804306	
KLRG2	na	0.2777115	
ADD3-AS1	na	0.27738526	
ZNF470	na	0.27641046	
LINC02747	na	0.27612877	
SFTA2	na	0.27587122	
LINC00460	na	0.27563623	
RUBCNL	na	0.27552962	
CYP2B6	na	0.27514407	
GET4	na	0.27356562	
PMS2P3	na	0.27201208	
EPS15-AS1	na	0.27181914	
ZNF90	na	0.27157956	
L3MBTL1	na	0.2707099	
SLC26A3	na	0.27053258	
FAM120C	na	0.2697919	
PLA2G12B	na	0.26855528	
HHIP-AS1	na	0.26838738	
TAS2R38	na	0.26791045	
MYH4	na	0.2678658	
STK31	na	0.2678273	
MOCS3	na	0.26595104	
ASB9	na	0.26584035	
LGR6	na	0.2657605	
SPIN2B	na	0.26555553	
ZNF785	na	0.26537195	
LINC00668	na	0.26492345	
ELN	na	0.26438418	
MIPEPP3	na	0.2642119	
LINC01560	na	0.2636635	
IZUMO2	na	0.26343718	
ANKRD61	na	0.26342252	
SNHG17	na	0.262921	
OPHN1	na	0.26268354	
RPS6KL1	na	0.26230115	
DDC	na	0.2622774	
ROBO2	na	0.2619658	
FGF18	na	0.26162598	
PPP4R1L	na	0.26125738	
NPEPL1	na	0.2612517	
MPIG6B	na	0.26113728	
GATA6-AS1	na	0.26108065	
PCK1	na	0.26056388	
DNAJC3-DT	na	0.25982767	
ADGRF4	na	0.25956702	
LINC02418	na	0.2594	
GPC2	na	0.25933877	
SLC14A1	na	0.25927973	
SEMA5A	na	0.2589064	
ATP6V1FNB	na	0.25830126	
EVX1	na	0.2582904	
ZKSCAN2-DT	na	0.25828487	
LRP3	na	0.25808972	
GPR143	na	0.25802454	
BBOX1-AS1	na	0.2575821	
LINC00265	na	0.2572542	
MHENCR	na	0.25706562	
RGS11	na	0.25676334	
PPP1R3D	na	0.2566303	
CLDN9	na	0.25650114	
CRABP1	na	0.2564552	
KRT83	na	0.2555421	
LINC00858	na	0.2554357	
FZD8	na	0.25542417	
GLIS1	na	0.25505325	
VSTM2L	na	0.25473335	
GGT7	na	0.25435847	
DLX3	na	0.2543389	
ALOX15	na	0.2540056	
SGK2	na	0.25398588	
NMRAL2P	na	0.25366208	
RPS4XP7	na	0.25360122	
FOXF2	na	0.25273088	
IHH	na	0.25257888	
DSTNP2	na	0.25240472	
LRRC2	na	0.251683	
C2-AS1	na	0.25106028	
WNT11	na	0.25105053	
ABHD11-AS1	na	0.25102785	
TEKT5	na	0.2510124	
ATG9B	na	0.25096074	
LHFPL3-AS2	na	0.2508994	
H2AC8	na	0.25052658	
CNIH3	na	0.25023645	
LINC00365	na	0.25014114	
TAFA1	na	0.2500897	
ZNF81	na	0.24994542	
STMND1	na	0.24992388	
LRRC36	na	0.24984343	
RNASEH2B-AS1	na	0.24931005	
PTGER3	na	0.24915014	
CELP	na	0.24907866	
SLC3A1	na	0.24857144	
CYP4F3	na	0.2480059	
ZNF630	na	0.24768671	
LINC01811	na	0.24748574	
SEMA6D	na	0.2474085	
PRAP1	na	0.24710713	
HHIP	na	0.24666442	
CCDC136	na	0.24665305	
HOXA2	na	0.24605988	
NSUN5P1	na	0.24581505	
TCF24	na	0.24581268	
LINC01176	na	0.24548967	
DRD2	na	0.24548808	
WFDC1	na	0.24538907	
LINC01357	na	0.24524401	
SLC13A2	na	0.24507424	
TMEM147-AS1	na	0.24493934	
C8orf34	na	0.24471663	
POU5F1B	na	0.24461241	
H4C8	na	0.24452993	
LY6G6F	na	0.24329773	
TDGF1	na	0.24328054	
FREM1	na	0.24316788	
NAALADL1	na	0.2430149	
ZC3HAV1L	na	0.24290176	
KCNH2	na	0.24279523	
H2AC7	na	0.24264549	
SMPX	na	0.24221271	
GTF2IP13	na	0.24218448	
LPAL2	na	0.24215731	
ZNF461	na	0.24204707	
ZNF34	na	0.2415986	
SPNS1	na	0.24157245	
CLCN5	na	0.24149902	
KCNK17	na	0.24141854	
GJC3	na	0.24092552	
TRMT12	na	0.24091321	
MIR17HG	na	0.2406527	
CH25H	na	0.24055082	
WNT5B	na	0.24030107	
IL17D	na	0.24026081	
OR7E47P	na	0.24025507	
TMEM185A	na	0.24018796	
TTBK1	na	0.24015069	
MRPS31P5	na	0.24000038	
SOWAHA	na	0.23982096	
PTPRO	na	0.2396683	
SNORA60	na	0.23958036	
NEK3	na	0.23929366	
BCL11A	na	0.23900248	
TTLL11	na	0.23885411	
ADCY2	na	0.23854576	
MTTP	na	0.2380603	
ANKRD40CL	na	0.23801248	
RAB6D	na	0.23785353	
ZNF252P-AS1	na	0.23766895	
ETNK2	na	0.237665	
NR1I2	na	0.23744063	
AZGP1	na	0.23725872	
SLC22A2	na	0.23708144	
LINC01356	na	0.23704393	
TSPY26P	na	0.23702891	
LINC02878	na	0.23698537	
GREM2	na	0.23688297	
NPTXR	na	0.2367948	
FAM189A1	na	0.2366365	
KLHL34	na	0.23658869	
H2AC6	na	0.23647295	
NEUROG2	na	0.23644955	
HMGB1P8	na	0.23639056	
DOCK9-DT	na	0.23620106	
DDX50P1	na	0.23609753	
LINC00174	na	0.23604314	
MEP1A	na	0.23586869	
EMID1	na	0.2356922	
ZNF503-AS1	na	0.23549518	
IMPG1	na	0.23547989	
LUZP2	na	0.23536365	
GRIP1	na	0.2353352	
ACE2	na	0.23526253	
C20orf144	na	0.23513725	
SNHG18	na	0.23509702	
LIME1	na	0.23498635	
KLHDC8A	na	0.23489387	
SEC14L4	na	0.23482622	
KCNT1	na	0.23475854	
KCNMB3	na	0.23470134	
