NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADORA2B	na	2029	0.20983725786209106	-0.05454142	No	
row_1	TMIGD3	na	4219	0.12728162109851837	-0.13426921	No	
row_2	CRHR1	na	6952	0.06036403775215149	-0.25453064	No	
row_3	RAF1	na	7236	0.055213771760463715	-0.2566699	No	
row_4	CALM3	na	8077	0.039330869913101196	-0.28926897	No	
row_5	CAP1	na	8783	0.02627219632267952	-0.3180488	No	
row_6	ADRB1	na	8794	0.02611509896814823	-0.31303194	No	
row_7	P2RY11	na	9043	0.021772947162389755	-0.32051504	No	
row_8	ADCY7	na	9674	0.009993781335651875	-0.34907478	No	
row_9	LGR5	na	9747	0.008723079226911068	-0.35074112	No	
row_10	RXFP1	na	10582	-0.006567592266947031	-0.3899528	No	
row_11	EDNRA	na	10990	-0.013536007143557072	-0.4069113	No	
row_12	ADCY2	na	11532	-0.023358315229415894	-0.42832237	No	
row_13	CALM1	na	11689	-0.026470666751265526	-0.43033725	No	
row_14	ADCY3	na	12409	-0.03978727012872696	-0.45695034	No	
row_15	ADCY8	na	13674	-0.06359147280454636	-0.5050752	No	
row_16	GIPR	na	13886	-0.06800568103790283	-0.501014	No	
row_17	LGR4	na	14962	-0.09118194878101349	-0.5341245	No	
row_18	ADCY9	na	15379	-0.10045148432254791	-0.5332041	No	
row_19	TSHR	na	15767	-0.11014362424612045	-0.52882946	No	
row_20	LHCGR	na	16614	-0.13318979740142822	-0.5419402	No	
row_21	ADCY6	na	17107	-0.14855332672595978	-0.5345819	No	
row_22	VIPR2	na	18532	-0.20906639099121094	-0.5598368	Yes	
row_23	ADCYAP1	na	18565	-0.21064987778663635	-0.517001	Yes	
row_24	ACR	na	18938	-0.2318352460861206	-0.48625025	Yes	
row_25	ADRB2	na	19000	-0.23544220626354218	-0.43960118	Yes	
row_26	CAP2	na	19040	-0.2380802184343338	-0.39132527	Yes	
row_27	GLP1R	na	19106	-0.24230720102787018	-0.3434241	Yes	
row_28	ADCY1	na	19423	-0.2678097188472748	-0.3023661	Yes	
row_29	FSHR	na	19428	-0.2682006359100342	-0.2460388	Yes	
row_30	AVPR2	na	19537	-0.2779122292995453	-0.19272712	Yes	
row_31	DRD1	na	19893	-0.3172670900821686	-0.14314456	Yes	
row_32	ADCY4	na	20085	-0.346840500831604	-0.07934668	Yes	
row_33	ADCY5	na	20514	-0.48991119861602783	0.003066451	Yes	
