NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL20RB	na	71	0.48845693469047546	0.005606344	Yes	
row_1	LEF1	na	83	0.4800873100757599	0.014020083	Yes	
row_2	JAK3	na	142	0.4398094415664673	0.019360906	Yes	
row_3	IL23A	na	203	0.418400377035141	0.024203511	Yes	
row_4	C1R	na	237	0.40602049231529236	0.03014874	Yes	
row_5	IL31RA	na	302	0.38582679629325867	0.034186047	Yes	
row_6	FOXP3	na	364	0.37181660532951355	0.03811014	Yes	
row_7	ADA	na	373	0.3694739043712616	0.044608325	Yes	
row_8	IGHG2	na	407	0.3600960075855255	0.049696736	Yes	
row_9	IGKV5-2	na	426	0.35644590854644775	0.05545793	Yes	
row_10	ZP3	na	430	0.3557868003845215	0.06194772	Yes	
row_11	IL18R1	na	455	0.3500949740409851	0.06729407	Yes	
row_12	RIPK2	na	459	0.34875571727752686	0.07365268	Yes	
row_13	EBI3	na	501	0.34008440375328064	0.07797258	Yes	
row_14	IGKV1-17	na	502	0.34005963802337646	0.084317125	Yes	
row_15	C1S	na	574	0.33051738142967224	0.086976774	Yes	
row_16	CXCL13	na	589	0.32815220952033997	0.09240766	Yes	
row_17	IGHV2-5	na	601	0.3257356286048889	0.09794164	Yes	
row_18	TNFSF13B	na	613	0.3236733078956604	0.10343713	Yes	
row_19	IGHV3-7	na	665	0.31610754132270813	0.106815785	Yes	
row_20	XCL1	na	722	0.30876678228378296	0.10981051	Yes	
row_21	IGHA2	na	746	0.30635905265808105	0.11439027	Yes	
row_22	IGKV1-39	na	751	0.3061506450176239	0.11990459	Yes	
row_23	IGLV7-43	na	784	0.30228161811828613	0.12396374	Yes	
row_24	IGKV2-30	na	793	0.30127277970314026	0.12918949	Yes	
row_25	IGLV2-11	na	803	0.30023935437202454	0.13434656	Yes	
row_26	PVR	na	860	0.29296475648880005	0.13704647	Yes	
row_27	FCGR2B	na	900	0.28987929224967957	0.14052849	Yes	
row_28	IGLC2	na	904	0.2895149290561676	0.14578183	Yes	
row_29	IGKC	na	941	0.2859087884426117	0.14933793	Yes	
row_30	IGHV3-23	na	987	0.2817308306694031	0.15237157	Yes	
row_31	IGKV3-20	na	993	0.28093045949935913	0.15736596	Yes	
row_32	IGHV3-74	na	997	0.2804419994354248	0.16245003	Yes	
row_33	IGHV2-26	na	1008	0.27937519550323486	0.16716845	Yes	
row_34	IGHV3-21	na	1054	0.27513518929481506	0.17007902	Yes	
row_35	IGHV5-51	na	1059	0.2748732566833496	0.1750098	Yes	
row_36	SLA2	na	1074	0.2735765278339386	0.17942247	Yes	
row_37	IGHM	na	1084	0.2727442681789398	0.18406656	Yes	
row_38	ULBP2	na	1087	0.2724079191684723	0.18905012	Yes	
row_39	IGLV1-51	na	1094	0.27197879552841187	0.19382812	Yes	
row_40	IGKV1D-12	na	1149	0.2675020098686218	0.19615175	Yes	
row_41	IL27RA	na	1201	0.2632739841938019	0.19854467	Yes	
row_42	IGKV1D-39	na	1203	0.2631934881210327	0.20340571	Yes	
row_43	IGHV3-48	na	1207	0.2628907561302185	0.20816232	Yes	
row_44	CD19	na	1209	0.2627042829990387	0.21301425	Yes	
row_45	IGKV4-1	na	1219	0.2618758976459503	0.21745557	Yes	
row_46	IGKV3D-11	na	1226	0.2616157531738281	0.22204022	Yes	
row_47	CD40LG	na	1241	0.26019832491874695	0.22620328	Yes	
row_48	IGLC7	na	1254	0.25910505652427673	0.23044473	Yes	
row_49	IGHV4-4	na	1277	0.25745558738708496	0.23416148	Yes	
row_50	IGKV3-15	na	1278	0.25739821791648865	0.23896378	Yes	
row_51	IGLC3	na	1305	0.255155473947525	0.24244006	Yes	
row_52	IGKV3D-20	na	1306	0.25510188937187195	0.24719954	Yes	
row_53	IGHV3-43	na	1316	0.2547459304332733	0.25150782	Yes	
row_54	IGLV2-8	na	1318	0.25453388690948486	0.25620732	Yes	
row_55	IGHV1-3	na	1344	0.25193852186203003	0.25967294	Yes	
row_56	MICB	na	1346	0.25172895193099976	0.2643201	Yes	
row_57	FCER1G	na	1348	0.2514953017234802	0.2689629	Yes	
row_58	IGKV1-5	na	1373	0.24959170818328857	0.27243415	Yes	
row_59	IGLV3-25	na	1398	0.2478206306695938	0.27587235	Yes	
row_60	IGHV3-15	na	1422	0.2461109310388565	0.27932805	Yes	
row_61	IL18	na	1429	0.24575456976890564	0.28361675	Yes	
row_62	TRBC2	na	1438	0.24489560723304749	0.2877907	Yes	
row_63	IGHV6-1	na	1446	0.2444157898426056	0.29200503	Yes	
row_64	CD28	na	1452	0.24406759440898895	0.29631168	Yes	
row_65	IGHV3-33	na	1455	0.2436956912279129	0.30075955	Yes	
row_66	IGHV3-11	na	1475	0.24258953332901	0.30434713	Yes	
row_67	IGHV3-72	na	1497	0.24082396924495697	0.30780295	Yes	
row_68	IGHV3-20	na	1501	0.24059775471687317	0.31214365	Yes	
row_69	TNFSF4	na	1507	0.2403053343296051	0.31638008	Yes	
row_70	IGKV2D-30	na	1513	0.24013154208660126	0.3206133	Yes	
row_71	EXO1	na	1529	0.23894034326076508	0.32433036	Yes	
row_72	IGHV1-18	na	1535	0.23834790289402008	0.32853028	Yes	
row_73	IGHG3	na	1565	0.23679551482200623	0.33151582	Yes	
row_74	IGHV2-70D	na	1572	0.236491397023201	0.33563173	Yes	
row_75	PRKCQ	na	1573	0.23634390532970428	0.34004122	Yes	
row_76	IGLV6-57	na	1575	0.23629112541675568	0.34440035	Yes	
row_77	IL1R1	na	1606	0.23411986231803894	0.34728658	Yes	
row_78	IGHV3-53	na	1645	0.23162750899791718	0.34973118	Yes	
row_79	SERPING1	na	1670	0.22986051440238953	0.3528343	Yes	
row_80	IGLV3-19	na	1671	0.2297430783510208	0.35712066	Yes	
row_81	LTA	na	1677	0.22935451567173004	0.3611528	Yes	
row_82	IGHV1-24	na	1681	0.22907190024852753	0.36527842	Yes	
row_83	IGKV2-28	na	1713	0.22689534723758698	0.36798048	Yes	
row_84	BATF	na	1718	0.22674281895160675	0.3720133	Yes	
row_85	IGHV3-49	na	1724	0.22631047666072845	0.37598863	Yes	
row_86	IGHG4	na	1727	0.22618331015110016	0.3801098	Yes	
row_87	IGKV1-16	na	1753	0.22484950721263885	0.38307002	Yes	
row_88	AICDA	na	1756	0.22476239502429962	0.38716465	Yes	
row_89	CD80	na	1775	0.22375771403312683	0.39045027	Yes	
row_90	C1RL	na	1779	0.22365976870059967	0.39447495	Yes	
row_91	AIRE	na	1780	0.2236122488975525	0.39864692	Yes	
row_92	IRF7	na	1842	0.22089633345603943	0.39975527	Yes	
row_93	IGHV1-58	na	1844	0.22059601545333862	0.40382156	Yes	
row_94	IGLV3-21	na	1857	0.2199433296918869	0.40733236	Yes	
row_95	IGHV3-13	na	1875	0.21905997395515442	0.4105797	Yes	
row_96	IGHV4-61	na	1913	0.2167336344718933	0.41279584	Yes	
row_97	IGLV2-23	na	1927	0.2161714881658554	0.41618687	Yes	
row_98	IGLV3-1	na	1939	0.21559089422225952	0.41966587	Yes	
row_99	IGHV3-30	na	1941	0.2154637575149536	0.4236364	Yes	
row_100	IGLV1-44	na	1951	0.21500104665756226	0.42720318	Yes	
row_101	CR2	na	1967	0.2142803966999054	0.43046016	Yes	
row_102	IGLV1-47	na	1984	0.21313980221748352	0.43364644	Yes	
row_103	IGLL5	na	2015	0.21060621738433838	0.436094	Yes	
row_104	IGLV1-40	na	2021	0.21031013131141663	0.43977082	Yes	
row_105	IGLV3-27	na	2071	0.20732085406780243	0.44121858	Yes	
row_106	IGHV1-69D	na	2089	0.20671018958091736	0.44423553	Yes	
row_107	IGHV4-34	na	2095	0.20650902390480042	0.44784144	Yes	
row_108	IL2	na	2102	0.2061770111322403	0.45139176	Yes	
row_109	IGLV2-14	na	2113	0.20574979484081268	0.45473653	Yes	
row_110	C2	na	2132	0.20503732562065125	0.4576729	Yes	
row_111	IGHV1-69	na	2239	0.1998671591281891	0.45616624	Yes	
row_112	TRDC	na	2242	0.19979262351989746	0.459795	Yes	
row_113	IL13RA2	na	2251	0.19937466084957123	0.46311963	Yes	
row_114	IGHV4-28	na	2254	0.19912345707416534	0.46673593	Yes	
row_115	TGFB1	na	2269	0.1984594166278839	0.4697471	Yes	
row_116	IGKV2-29	na	2284	0.19760765135288239	0.4727424	Yes	
row_117	IGHV4-59	na	2296	0.19700337946414948	0.4758746	Yes	
row_118	IGHV3-64	na	2316	0.1959466189146042	0.47859195	Yes	
row_119	MAD2L2	na	2335	0.19521991908550262	0.48134515	Yes	
row_120	SLAMF6	na	2364	0.19345876574516296	0.48357153	Yes	
row_121	IGHV1-45	na	2375	0.19302591681480408	0.48667893	Yes	
row_122	IGHA1	na	2384	0.1927376687526703	0.48987973	Yes	
row_123	IGKV1-12	na	2400	0.19209741055965424	0.4927228	Yes	
row_124	IGHV2-70	na	2416	0.19156590104103088	0.495556	Yes	
row_125	IGHV3-73	na	2469	0.18918855488300323	0.4965173	Yes	
row_126	IGLC6	na	2505	0.18749527633190155	0.4982867	Yes	
row_127	SHLD1	na	2518	0.186842679977417	0.50117993	Yes	
row_128	IGHV3-66	na	2636	0.1808818280696869	0.49877575	Yes	
row_129	CD27	na	2658	0.18018463253974915	0.50110024	Yes	
row_130	SLC11A1	na	2760	0.1753152459859848	0.4993825	Yes	
