NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRRX1	na	852	0.29389578104019165	0.018414594	No	
row_1	GATA6	na	3140	0.16072075068950653	-0.060153384	No	
row_2	FOXG1	na	4631	0.11495155841112137	-0.10925445	No	
row_3	ASCL1	na	5516	0.09152424335479736	-0.13363287	No	
row_4	PTCH2	na	6731	0.06477530300617218	-0.17952397	No	
row_5	PAX6	na	6986	0.059760794043540955	-0.17971015	No	
row_6	MESP1	na	7352	0.05329744145274162	-0.1866161	No	
row_7	NOTCH2	na	8347	0.03441457822918892	-0.22798534	No	
row_8	GATA3	na	10616	-0.007073523942381144	-0.33693585	No	
row_9	MCL1	na	11172	-0.01672743260860443	-0.3605413	No	
row_10	IFRD1	na	11527	-0.023299433290958405	-0.37302426	No	
row_11	PROX1	na	11772	-0.028129542246460915	-0.37916893	No	
row_12	BMP4	na	12535	-0.04208683967590332	-0.4076826	No	
row_13	POU6F2	na	13429	-0.05848964303731918	-0.43923023	No	
row_14	WNT7A	na	13554	-0.06096695736050606	-0.43284306	No	
row_15	CTNNB1	na	14172	-0.07372820377349854	-0.44785175	No	
row_16	TRIM15	na	14893	-0.089458167552948	-0.4646687	No	
row_17	HES1	na	15009	-0.09213446080684662	-0.45149273	No	
row_18	MEF2C	na	16297	-0.12361542135477066	-0.4889477	Yes	
row_19	KLF4	na	16442	-0.12792804837226868	-0.46988994	Yes	
row_20	JAG1	na	16534	-0.1305827647447586	-0.44771153	Yes	
row_21	HOXA2	na	17111	-0.14863444864749908	-0.44546163	Yes	
row_22	SOX17	na	17168	-0.15045003592967987	-0.4175315	Yes	
row_23	CYP26B1	na	17812	-0.17434078454971313	-0.41330478	Yes	
row_24	EBF2	na	18161	-0.18970640003681183	-0.3915884	Yes	
row_25	HES5	na	18589	-0.21182459592819214	-0.36921042	Yes	
row_26	NOTCH4	na	18977	-0.23411817848682404	-0.34034294	Yes	
row_27	TBX2	na	19121	-0.24359075725078583	-0.29766893	Yes	
row_28	PTCH1	na	19549	-0.2787715494632721	-0.2616498	Yes	
row_29	GATA2	na	19827	-0.30886930227279663	-0.21219681	Yes	
row_30	DSCAML1	na	19967	-0.32800954580307007	-0.15212685	Yes	
row_31	DLL1	na	20441	-0.44501814246177673	-0.08447208	Yes	
row_32	PAX2	na	20451	-0.4468119442462921	0.0061327624	Yes	
