NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GAD1	na	265	0.3968970775604248	0.09179874	No	
row_1	FAH	na	3947	0.13498909771442413	-0.05170071	No	
row_2	GOT2	na	6749	0.06434876471757889	-0.17101534	No	
row_3	GLUL	na	7213	0.05560345575213432	-0.17887656	No	
row_4	PRODH2	na	8383	0.03376530110836029	-0.22685012	No	
row_5	OAT	na	8791	0.026146799325942993	-0.23975658	No	
row_6	DDAH2	na	10155	0.00126945530064404	-0.3057413	No	
row_7	GLUD2	na	10170	9.784591384232044E-4	-0.3061644	No	
row_8	ATP2B4	na	10473	-0.0043428074568510056	-0.3197133	No	
row_9	GLS	na	10497	-0.004895677324384451	-0.31954104	No	
row_10	ARG2	na	11455	-0.02219502441585064	-0.36025128	No	
row_11	GLUD1	na	11838	-0.029092805460095406	-0.37116423	No	
row_12	DAO	na	11890	-0.030293477699160576	-0.36565498	No	
row_13	PPAT	na	13631	-0.06256819516420364	-0.43381414	No	
row_14	ALDH4A1	na	15206	-0.09656048566102982	-0.4849298	No	
row_15	NOS3	na	16100	-0.11811013519763947	-0.49722564	No	
row_16	GLS2	na	16301	-0.1236691102385521	-0.47433582	No	
row_17	ARG1	na	17831	-0.17504484951496124	-0.5025594	Yes	
row_18	DDAH1	na	19078	-0.24053238332271576	-0.4997389	Yes	
row_19	PADI4	na	19340	-0.26171061396598816	-0.4434048	Yes	
row_20	ASRGL1	na	19377	-0.26474612951278687	-0.37532213	Yes	
row_21	GOT1	na	19440	-0.26890745759010315	-0.3074069	Yes	
row_22	PRODH	na	19472	-0.2708892822265625	-0.23746055	Yes	
row_23	NOS1	na	19754	-0.30065712332725525	-0.17182633	Yes	
row_24	NOS2	na	20147	-0.3569079339504242	-0.09675531	Yes	
row_25	ADHFE1	na	20446	-0.4459393620491028	0.0063740374	Yes	
