NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLPI	na	183	0.42431989312171936	-9.969075E-5	Yes	
row_1	FGA	na	188	0.4218197166919708	0.00856237	Yes	
row_2	C1R	na	237	0.40602049231529236	0.014725984	Yes	
row_3	PI3	na	295	0.38729146122932434	0.020053076	Yes	
row_4	FGB	na	326	0.3799058794975281	0.026554583	Yes	
row_5	CFH	na	356	0.37354975938796997	0.03297184	Yes	
row_6	IGHG2	na	407	0.3600960075855255	0.038072467	Yes	
row_7	PRSS3	na	413	0.3586360216140747	0.045358308	Yes	
row_8	PLA2G1B	na	425	0.35662776231765747	0.052306518	Yes	
row_9	IGKV5-2	na	426	0.35644590854644775	0.05979257	Yes	
row_10	ZP3	na	430	0.3557868003845215	0.06711706	Yes	
row_11	EBI3	na	501	0.34008440375328064	0.07081257	Yes	
row_12	IGKV1-17	na	502	0.34005963802337646	0.07795447	Yes	
row_13	C1S	na	574	0.33051738142967224	0.08139982	Yes	
row_14	F2	na	579	0.3301905393600464	0.08813749	Yes	
row_15	CXCL13	na	589	0.32815220952033997	0.09458614	Yes	
row_16	IGHV2-5	na	601	0.3257356286048889	0.10088556	Yes	
row_17	IGHV3-7	na	665	0.31610754132270813	0.104422204	Yes	
row_18	IGHA2	na	746	0.30635905265808105	0.106917	Yes	
row_19	IGKV1-39	na	751	0.3061506450176239	0.11314979	Yes	
row_20	IGLV7-43	na	784	0.30228161811828613	0.11792255	Yes	
row_21	IGKV2-30	na	793	0.30127277970314026	0.123855926	Yes	
row_22	IGLV2-11	na	803	0.30023935437202454	0.12971836	Yes	
row_23	TREM2	na	871	0.2919146418571472	0.13254994	Yes	
row_24	FCGR2B	na	900	0.28987929224967957	0.1372592	Yes	
row_25	IGLC2	na	904	0.2895149290561676	0.14319184	Yes	
row_26	ROMO1	na	926	0.2873368263244629	0.14819239	Yes	
row_27	IGKC	na	941	0.2859087884426117	0.15350765	Yes	
row_28	IGHV3-23	na	987	0.2817308306694031	0.15720867	Yes	
row_29	IGKV3-20	na	993	0.28093045949935913	0.16286254	Yes	
row_30	IGHV3-74	na	997	0.2804419994354248	0.16860463	Yes	
row_31	IGHV2-26	na	1008	0.27937519550323486	0.17397964	Yes	
row_32	IGHV3-21	na	1054	0.27513518929481506	0.17754214	Yes	
row_33	IGHV5-51	na	1059	0.2748732566833496	0.18311803	Yes	
row_34	IGHM	na	1084	0.2727442681789398	0.18766439	Yes	
row_35	IGLV1-51	na	1094	0.27197879552841187	0.19293329	Yes	
row_36	POU2AF1	na	1124	0.26942959427833557	0.19716382	Yes	
row_37	IGKV1D-12	na	1149	0.2675020098686218	0.20160007	Yes	
row_38	CXCL5	na	1173	0.264867901802063	0.20603026	Yes	
row_39	IGKV1D-39	na	1203	0.2631934881210327	0.21012983	Yes	
row_40	IGHV3-48	na	1207	0.2628907561302185	0.2155033	Yes	
row_41	CD19	na	1209	0.2627042829990387	0.22097136	Yes	
row_42	IGKV4-1	na	1219	0.2618758976459503	0.22602808	Yes	
row_43	IGKV3D-11	na	1226	0.2616157531738281	0.23122707	Yes	
row_44	IGLC7	na	1254	0.25910505652427673	0.23533925	Yes	
row_45	IGHV4-4	na	1277	0.25745558738708496	0.239663	Yes	
row_46	IGKV3-15	na	1278	0.25739821791648865	0.24506886	Yes	
row_47	IGLC3	na	1305	0.255155473947525	0.24914734	Yes	
row_48	IGKV3D-20	na	1306	0.25510188937187195	0.25450498	Yes	
row_49	IGHV3-43	na	1316	0.2547459304332733	0.25941196	Yes	
row_50	IGLV2-8	na	1318	0.25453388690948486	0.2647084	Yes	
row_51	IFNE	na	1328	0.2531535029411316	0.26958194	Yes	
row_52	IGHV1-3	na	1344	0.25193852186203003	0.27413452	Yes	
row_53	IGKV1-5	na	1373	0.24959170818328857	0.27799764	Yes	
row_54	RPL39	na	1387	0.2488095611333847	0.282583	Yes	
row_55	IGLV3-25	na	1398	0.2478206306695938	0.28729528	Yes	
row_56	PDZD11	na	1419	0.2463005632162094	0.29148325	Yes	
row_57	IGHV3-15	na	1422	0.2461109310388565	0.29655355	Yes	
row_58	TRBC2	na	1438	0.24489560723304749	0.30095822	Yes	
row_59	IGHV6-1	na	1446	0.2444157898426056	0.30574673	Yes	
row_60	CD28	na	1452	0.24406759440898895	0.31062642	Yes	
row_61	IGHV3-33	na	1455	0.2436956912279129	0.31564602	Yes	
row_62	IGHV3-11	na	1475	0.24258953332901	0.31980526	Yes	
row_63	IGHV3-72	na	1497	0.24082396924495697	0.32382897	Yes	
row_64	IGHV3-20	na	1501	0.24059775471687317	0.32873425	Yes	
row_65	TREM1	na	1502	0.2405962347984314	0.33378723	Yes	
row_66	IGKV2D-30	na	1513	0.24013154208660126	0.33833805	Yes	
row_67	EXO1	na	1529	0.23894034326076508	0.34261763	Yes	
row_68	IGHV1-18	na	1535	0.23834790289402008	0.34737718	Yes	
row_69	IGHG3	na	1565	0.23679551482200623	0.35092235	Yes	
row_70	IGHV2-70D	na	1572	0.236491397023201	0.35559365	Yes	
row_71	IGLV6-57	na	1575	0.23629112541675568	0.36045775	Yes	
row_72	JCHAIN	na	1615	0.23374760150909424	0.36344647	Yes	
row_73	IGHV3-53	na	1645	0.23162750899791718	0.3668831	Yes	
row_74	SERPING1	na	1670	0.22986051440238953	0.37052882	Yes	
row_75	IGLV3-19	na	1671	0.2297430783510208	0.37535384	Yes	
row_76	LTA	na	1677	0.22935451567173004	0.37992454	Yes	
row_77	IGHV1-24	na	1681	0.22907190024852753	0.38458776	Yes	
row_78	IGKV2-28	na	1713	0.22689534723758698	0.3878265	Yes	
row_79	IGHV3-49	na	1724	0.22631047666072845	0.39208704	Yes	
row_80	IGHG4	na	1727	0.22618331015110016	0.39673886	Yes	
row_81	DMBT1	na	1729	0.2260909378528595	0.40143794	Yes	
row_82	IGKV1-16	na	1753	0.22484950721263885	0.40502766	Yes	
row_83	VSIG4	na	1764	0.22440072894096375	0.4092481	Yes	
row_84	C1RL	na	1779	0.22365976870059967	0.413256	Yes	
row_85	AIRE	na	1780	0.2236122488975525	0.4179523	Yes	
row_86	MS4A1	na	1804	0.2227623462677002	0.42149818	Yes	
