NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXP3	na	364	0.37181660532951355	-0.0038596075	Yes	
row_1	CARD11	na	400	0.36168473958969116	0.008015698	Yes	
row_2	IGKV5-2	na	426	0.35644590854644775	0.020183997	Yes	
row_3	IGKV1-17	na	502	0.34005963802337646	0.02928743	Yes	
row_4	TNFSF13B	na	613	0.3236733078956604	0.036060747	Yes	
row_5	IGKV1-9	na	672	0.3155389726161957	0.045075573	Yes	
row_6	POLQ	na	680	0.3144374191761017	0.056547176	Yes	
row_7	GALNT2	na	686	0.31327497959136963	0.06807307	Yes	
row_8	XCL1	na	722	0.30876678228378296	0.07796007	Yes	
row_9	IGKV1-39	na	751	0.3061506450176239	0.08809165	Yes	
row_10	IGLV7-43	na	784	0.30228161811828613	0.09788193	Yes	
row_11	IGKV2-30	na	793	0.30127277970314026	0.1088099	Yes	
row_12	IGLV2-11	na	803	0.30023935437202454	0.11965007	Yes	
row_13	FCGR2B	na	900	0.28987929224967957	0.1258394	Yes	
row_14	IGKC	na	941	0.2859087884426117	0.13462262	Yes	
row_15	IGKV3-20	na	993	0.28093045949935913	0.14267997	Yes	
row_16	IGLV4-69	na	1001	0.27983853220939636	0.15285158	Yes	
row_17	TRAV9-2	na	1036	0.2768915593624115	0.1615899	Yes	
row_18	IGLV1-51	na	1094	0.27197879552841187	0.16901702	Yes	
row_19	IGKV1-6	na	1130	0.2686596214771271	0.17739704	Yes	
row_20	IGKV1D-12	na	1149	0.2675020098686218	0.18656631	Yes	
row_21	IL27RA	na	1201	0.2632739841938019	0.19396025	Yes	
row_22	IGKV1D-39	na	1203	0.2631934881210327	0.20380034	Yes	
row_23	IGKV4-1	na	1219	0.2618758976459503	0.21290515	Yes	
row_24	IGKV3D-11	na	1226	0.2616157531738281	0.22244105	Yes	
row_25	CD40LG	na	1241	0.26019832491874695	0.23153181	Yes	
row_26	IGKV6-21	na	1272	0.2578881084918976	0.23975205	Yes	
row_27	IGKV3-15	na	1278	0.25739821791648865	0.24917845	Yes	
row_28	IGKV3D-20	na	1306	0.25510188937187195	0.25744095	Yes	
row_29	IGLV2-8	na	1318	0.25453388690948486	0.26646584	Yes	
row_30	IGLV3-16	na	1355	0.25095134973526	0.27413154	Yes	
row_31	IGKV1-5	na	1373	0.24959170818328857	0.28267682	Yes	
row_32	IGLV3-25	na	1398	0.2478206306695938	0.29081267	Yes	
row_33	CD28	na	1452	0.24406759440898895	0.297387	Yes	
row_34	IGLV5-45	na	1456	0.24358907341957092	0.30639252	Yes	
row_35	IGKV1-8	na	1477	0.24248124659061432	0.3145237	Yes	
row_36	TNFSF4	na	1507	0.2403053343296051	0.32213226	Yes	
row_37	IGKV2D-30	na	1513	0.24013154208660126	0.3309099	Yes	
row_38	EXO1	na	1529	0.23894034326076508	0.33915296	Yes	
row_39	MZB1	na	1564	0.23682533204555511	0.34638587	Yes	
