NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRS2	na	111	0.46127790212631226	0.009664497	No	
row_1	PLPPR5	na	153	0.4354393184185028	0.021921901	No	
row_2	PLPPR4	na	273	0.3930678367614746	0.028957596	No	
row_3	IRS1	na	484	0.3431183099746704	0.02988438	No	
row_4	SOCS1	na	628	0.322222501039505	0.033418655	No	
row_5	DGKG	na	698	0.31211864948272705	0.04025813	No	
row_6	CNR1	na	920	0.2877912223339081	0.038830943	No	
row_7	ACOXL	na	990	0.281267911195755	0.04465924	No	
row_8	SLA2	na	1074	0.2735765278339386	0.04954748	No	
row_9	ACOT8	na	1144	0.26785677671432495	0.054936204	No	
row_10	APOC1	na	1423	0.24599000811576843	0.049337942	No	
row_11	PLPP2	na	1445	0.24447794258594513	0.056319118	No	
row_12	MTMR7	na	2106	0.20600178837776184	0.030638687	No	
row_13	FAM126A	na	2209	0.20111088454723358	0.0322181	No	
row_14	PIK3R2	na	2361	0.19364966452121735	0.031145096	No	
row_15	MTMR4	na	2386	0.19272121787071228	0.036282446	No	
row_16	TMEM150A	na	2584	0.18305376172065735	0.032601707	No	
row_17	PLPP5	na	3275	0.1561237871646881	0.0038122528	No	
row_18	TWIST1	na	3344	0.153604194521904	0.0055053267	No	
row_19	PLA2G7	na	3492	0.1490515023469925	0.0031671154	No	
row_20	APOE	na	3505	0.14871138334274292	0.007451663	No	
row_21	SLC35C1	na	3568	0.14651359617710114	0.009207172	No	
row_22	SOAT1	na	3587	0.14595672488212585	0.013106592	No	
row_23	POR	na	3777	0.1401066929101944	0.008411319	No	
row_24	SOAT2	na	3864	0.1371351033449173	0.0086800745	No	
row_25	A3GALT2	na	3873	0.13652433454990387	0.012761734	No	
row_26	PLPPR2	na	4066	0.1316341757774353	0.007641343	No	
row_27	IMPAD1	na	4240	0.1267712414264679	0.0032952232	No	
row_28	DGKA	na	4652	0.11390673369169235	-0.013167881	No	
row_29	APOA1	na	5025	0.10422046482563019	-0.028032005	No	
row_30	PIP5KL1	na	5033	0.10411081463098526	-0.024963604	No	
row_31	INPP1	na	5381	0.09506452828645706	-0.038899325	No	
row_32	PEX13	na	5387	0.09492097795009613	-0.036033854	No	
row_33	PI4K2B	na	5473	0.09256395697593689	-0.037176844	No	
row_34	IP6K2	na	5839	0.08377256244421005	-0.052367195	No	
row_35	ABCD1	na	5851	0.08343856036663055	-0.050172918	No	
row_36	PLPP6	na	5958	0.08091903477907181	-0.05272953	No	
row_37	SOCS3	na	6515	0.06894384324550629	-0.07779166	No	
row_38	CYP3A5	na	6604	0.06745026260614395	-0.079905204	No	
row_39	HACL1	na	6708	0.0650736391544342	-0.08283375	No	
row_40	PRKAG2	na	6725	0.06486449390649796	-0.08149397	No	
row_41	TTC7A	na	6759	0.06411712616682053	-0.08101406	No	
row_42	OCRL	na	6765	0.06395397335290909	-0.07916357	No	
row_43	MTMR1	na	6911	0.06133050471544266	-0.08427869	No	
row_44	ACOX3	na	7003	0.059443164616823196	-0.086802095	No	
row_45	GBGT1	na	7168	0.05646015703678131	-0.0930105	No	
row_46	AGK	na	7260	0.05479966476559639	-0.09568611	No	
row_47	ECH1	na	7366	0.052930574864149094	-0.09911094	No	
row_48	SPHK1	na	7381	0.0525020994246006	-0.098078065	No	
row_49	ABCD2	na	7673	0.04685014486312866	-0.11084224	No	
row_50	IMPA1	na	7766	0.045203473418951035	-0.11388152	No	
row_51	MCAT	na	7769	0.045150112360715866	-0.11249994	No	
row_52	ETFB	na	7774	0.04506079852581024	-0.11121956	No	
row_53	EFR3A	na	7795	0.04482121393084526	-0.110733286	No	
row_54	PIP4K2C	na	8046	0.039868950843811035	-0.12171154	No	
row_55	DGKZ	na	8293	0.0354158878326416	-0.13263918	No	
row_56	STARD4	na	8307	0.03506734222173691	-0.13212863	No	
row_57	AGT	na	8326	0.03481217473745346	-0.13187212	No	
row_58	PIP5K1C	na	8431	0.0330570787191391	-0.1358992	No	
row_59	PLPP4	na	8475	0.032253339886665344	-0.13695507	No	
row_60	AKT2	na	8669	0.02834502048790455	-0.14551005	No	
row_61	B4GALNT2	na	8671	0.02828567661345005	-0.14463209	No	
row_62	B4GALNT1	na	8674	0.02826877124607563	-0.14380382	No	
row_63	ST3GAL2	na	8892	0.024102400988340378	-0.15367723	No	
row_64	DECR1	na	8942	0.02340763621032238	-0.15531786	No	
row_65	INPP5D	na	8945	0.023353302851319313	-0.1546507	No	
row_66	TYSND1	na	9000	0.022503312677145004	-0.1565667	No	
row_67	ADIPOR2	na	9116	0.020264554768800735	-0.16155359	No	
row_68	PIK3R1	na	9233	0.018277423456311226	-0.16665477	No	
row_69	LONP2	na	9234	0.018265360966324806	-0.1660561	No	
row_70	LEP	na	9257	0.017596110701560974	-0.16656044	No	
row_71	HADH	na	9261	0.01751004531979561	-0.16613394	No	
row_72	SLC25A17	na	9269	0.01722586899995804	-0.16591333	No	
row_73	MTMR2	na	9314	0.016417982056736946	-0.16753736	No	
row_74	DGAT2	na	9371	0.015240900218486786	-0.16978966	No	
row_75	MECR	na	9463	0.013769809156656265	-0.17381008	No	
row_76	HADHA	na	9480	0.013428461737930775	-0.17415619	No	
row_77	PIP4K2A	na	9641	0.010692969895899296	-0.18166812	No	
row_78	ADIPOR1	na	9665	0.01017388142645359	-0.18246487	No	
row_79	SCP2	na	9766	0.008445643819868565	-0.18710206	No	
row_80	C1QTNF2	na	9782	0.008069773204624653	-0.18757467	No	
row_81	HSD17B4	na	9864	0.00645084772258997	-0.19134358	No	
row_82	PECR	na	9953	0.004879445303231478	-0.19550796	No	
row_83	DECR2	na	10149	0.0013935123570263386	-0.2050446	No	
row_84	LAMTOR1	na	10267	-6.517229485325515E-4	-0.21077262	No	
row_85	PI4K2A	na	10348	-0.0020658106077462435	-0.21463612	No	
row_86	SMG1	na	10356	-0.002227821620181203	-0.21490708	No	
row_87	AMACR	na	10459	-0.003971452359110117	-0.21978919	No	
row_88	ECI1	na	10463	-0.004074796102941036	-0.21980305	No	
row_89	MTMR8	na	10760	-0.00926470011472702	-0.23404485	No	
row_90	PIP4P2	na	10779	-0.009701317176222801	-0.23461139	No	
row_91	ACADS	na	10871	-0.011037120595574379	-0.23872139	No	
row_92	PIK3CB	na	10883	-0.011316066607832909	-0.23889102	No	
row_93	PRKAA1	na	10964	-0.012986472807824612	-0.24239658	No	
row_94	APOD	na	11035	-0.014458473771810532	-0.24536248	No	
row_95	CYP1A1	na	11216	-0.017684323713183403	-0.25362808	No	
row_96	CYP3A4	na	11277	-0.018797773867845535	-0.25596035	No	
row_97	PEX2	na	11303	-0.019229138270020485	-0.25655857	No	
row_98	HADHB	na	11322	-0.019715333357453346	-0.2567969	No	
row_99	SESN2	na	11485	-0.022691458463668823	-0.26401386	No	
row_100	DGKD	na	11682	-0.026366766542196274	-0.27278107	No	
row_101	CPT1C	na	11724	-0.02726481482386589	-0.27390218	No	
row_102	ACAA1	na	11816	-0.028794115409255028	-0.27743015	No	
row_103	PIP5K1A	na	11921	-0.030833158642053604	-0.2815301	No	
row_104	LCAT	na	12008	-0.03223785012960434	-0.28469953	No	
row_105	SACM1L	na	12038	-0.032882366329431534	-0.28504682	No	
row_106	PIP4K2B	na	12060	-0.03315319865942001	-0.28499213	No	
row_107	FA2H	na	12061	-0.03315335884690285	-0.28390548	No	
row_108	PDK4	na	12072	-0.033453505486249924	-0.2833004	No	
row_109	GBA	na	12086	-0.033753182739019394	-0.2828329	No	
row_110	MAPK14	na	12104	-0.03409614786505699	-0.28255072	No	
row_111	APOA2	na	12362	-0.03881463408470154	-0.29390752	No	
row_112	SIRT4	na	12453	-0.04057009890675545	-0.29700038	No	
row_113	ACADVL	na	12494	-0.041399817913770676	-0.29760903	No	
row_114	PTEN	na	12757	-0.04601337015628815	-0.30897558	No	
row_115	GCDH	na	12828	-0.047404173761606216	-0.31086165	No	
row_116	SPHK2	na	12839	-0.04753224924206734	-0.3097951	No	
row_117	PIK3CG	na	12981	-0.05027928203344345	-0.31507587	No	
row_118	AKT1	na	13010	-0.0507674477994442	-0.31478783	No	
row_119	ABCG1	na	13103	-0.05230814218521118	-0.31759423	No	
row_120	ACOX1	na	13172	-0.05394041910767555	-0.3191678	No	
row_121	ECHDC1	na	13186	-0.05438312515616417	-0.31802413	No	
row_122	MTMR6	na	13211	-0.05469890311360359	-0.31741065	No	
row_123	ECI2	na	13276	-0.05574371665716171	-0.31872854	No	
row_124	CRAT	na	13422	-0.0582810714840889	-0.3239436	No	
row_125	ECHS1	na	13635	-0.06272551417350769	-0.33230537	No	
row_126	MTOR	na	13787	-0.06583595275878906	-0.33756766	No	
row_127	APPL2	na	13837	-0.06696026027202606	-0.3377808	No	
row_128	ACSM1	na	13856	-0.06737865507602692	-0.33645687	No	
row_129	CROT	na	13960	-0.06932087242603302	-0.3392462	No	
row_130	INPPL1	na	14208	-0.07439477741718292	-0.3489454	No	
row_131	ST3GAL4	na	14351	-0.07784144580364227	-0.35337192	No	
row_132	PIK3R6	na	14374	-0.07820015400648117	-0.35188988	No	
row_133	SYNJ2	na	14388	-0.07859919965267181	-0.34995252	No	
row_134	INPP5K	na	14497	-0.08087589591741562	-0.3526088	No	
row_135	PIK3CD	na	14586	-0.08280173689126968	-0.3542192	No	
row_136	PIK3CA	na	14693	-0.08510924875736237	-0.35663846	No	
row_137	DGKQ	na	14726	-0.08582618087530136	-0.35539788	No	
row_138	FAM126B	na	14759	-0.08649560064077377	-0.35413533	No	
row_139	ABCD3	na	14861	-0.08863064646720886	-0.35619348	No	
row_140	INPP5F	na	14992	-0.09173623472452164	-0.3595749	No	
