NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL20RB	na	71	0.48845693469047546	0.0060939193	Yes	
row_1	IL23A	na	203	0.418400377035141	0.007848674	Yes	
row_2	C1R	na	237	0.40602049231529236	0.014198684	Yes	
row_3	KLRC2	na	263	0.39746740460395813	0.020775588	Yes	
row_4	IL31RA	na	302	0.38582679629325867	0.026481876	Yes	
row_5	FOXP3	na	364	0.37181660532951355	0.030777251	Yes	
row_6	IGHG2	na	407	0.3600960075855255	0.035780374	Yes	
row_7	IGKV5-2	na	426	0.35644590854644775	0.041896712	Yes	
row_8	ZP3	na	430	0.3557868003845215	0.048740692	Yes	
row_9	IL18R1	na	455	0.3500949740409851	0.054435983	Yes	
row_10	IGKV1-17	na	502	0.34005963802337646	0.05884785	Yes	
row_11	C1S	na	574	0.33051738142967224	0.061837863	Yes	
row_12	KLRF2	na	583	0.3295503258705139	0.067919366	Yes	
row_13	IGHV2-5	na	601	0.3257356286048889	0.073481545	Yes	
row_14	IGHV3-7	na	665	0.31610754132270813	0.07658335	Yes	
row_15	XCL1	na	722	0.30876678228378296	0.0798865	Yes	
row_16	IGHA2	na	746	0.30635905265808105	0.08477165	Yes	
row_17	IGKV1-39	na	751	0.3061506450176239	0.09059078	Yes	
row_18	IGLV7-43	na	784	0.30228161811828613	0.094951436	Yes	
row_19	IGKV2-30	na	793	0.30127277970314026	0.10047721	Yes	
row_20	IGLV2-11	na	803	0.30023935437202454	0.10593331	Yes	
row_21	PVR	na	860	0.29296475648880005	0.108925916	Yes	
row_22	FCGR2B	na	900	0.28987929224967957	0.11269722	Yes	
row_23	IGLC2	na	904	0.2895149290561676	0.11823879	Yes	
row_24	IGKC	na	941	0.2859087884426117	0.12208019	Yes	
row_25	IGHV3-23	na	987	0.2817308306694031	0.12539512	Yes	
row_26	IGKV3-20	na	993	0.28093045949935913	0.13066924	Yes	
row_27	IGHV3-74	na	997	0.2804419994354248	0.1360325	Yes	
row_28	IGHV2-26	na	1008	0.27937519550323486	0.1410292	Yes	
row_29	CD96	na	1052	0.2752061188220978	0.14431465	Yes	
row_30	IGHV3-21	na	1054	0.27513518929481506	0.14967237	Yes	
row_31	IGHV5-51	na	1059	0.2748732566833496	0.15487683	Yes	
row_32	SLA2	na	1074	0.2735765278339386	0.15956207	Yes	
row_33	IGHM	na	1084	0.2727442681789398	0.16447783	Yes	
row_34	ULBP2	na	1087	0.2724079191684723	0.16973257	Yes	
row_35	IGLV1-51	na	1094	0.27197879552841187	0.1747814	Yes	
row_36	IGKV1D-12	na	1149	0.2675020098686218	0.17737234	Yes	
row_37	IL27RA	na	1201	0.2632739841938019	0.1800283	Yes	
row_38	IGKV1D-39	na	1203	0.2631934881210327	0.18515134	Yes	
row_39	IGHV3-48	na	1207	0.2628907561302185	0.19016969	Yes	
row_40	CD19	na	1209	0.2627042829990387	0.19528311	Yes	
row_41	IGKV4-1	na	1219	0.2618758976459503	0.19998527	Yes	
row_42	IGKV3D-11	na	1226	0.2616157531738281	0.20483044	Yes	
row_43	CD40LG	na	1241	0.26019832491874695	0.20925276	Yes	
