NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCGR1A	na	330	0.3783264756202698	0.0024974989	Yes	
row_1	AURKB	na	359	0.37257125973701477	0.019474993	Yes	
row_2	IGHG2	na	407	0.3600960075855255	0.034909353	Yes	
row_3	IGHV2-5	na	601	0.3257356286048889	0.041514456	Yes	
row_4	SPIRE2	na	602	0.32567524909973145	0.05755147	Yes	
row_5	IGHV3-7	na	665	0.31610754132270813	0.07008646	Yes	
row_6	IGHA2	na	746	0.30635905265808105	0.08126146	Yes	
row_7	TREM2	na	871	0.2919146418571472	0.08957423	Yes	
row_8	FCGR2B	na	900	0.28987929224967957	0.10247978	Yes	
row_9	IGLC2	na	904	0.2895149290561676	0.116589524	Yes	
row_10	IGKC	na	941	0.2859087884426117	0.12890847	Yes	
row_11	IGHV3-23	na	987	0.2817308306694031	0.14058171	Yes	
row_12	IGHV3-74	na	997	0.2804419994354248	0.15395136	Yes	
row_13	IGHV2-26	na	1008	0.27937519550323486	0.16721961	Yes	
row_14	IGHV3-21	na	1054	0.27513518929481506	0.17856807	Yes	
row_15	IGHV5-51	na	1059	0.2748732566833496	0.19190793	Yes	
row_16	IGHM	na	1084	0.2727442681789398	0.20416525	Yes	
row_17	IGHV3-48	na	1207	0.2628907561302185	0.2111466	Yes	
row_18	IGLC7	na	1254	0.25910505652427673	0.2216568	Yes	
row_19	IGHV4-4	na	1277	0.25745558738708496	0.23325904	Yes	
row_20	IGLC3	na	1305	0.255155473947525	0.24450359	Yes	
row_21	IGHV3-43	na	1316	0.2547459304332733	0.256559	Yes	
row_22	IGHV1-3	na	1344	0.25193852186203003	0.26764515	Yes	
row_23	FCER1G	na	1348	0.2514953017234802	0.27988273	Yes	
row_24	IGHV3-15	na	1422	0.2461109310388565	0.28843316	Yes	
row_25	TRBC2	na	1438	0.24489560723304749	0.29975912	Yes	
row_26	IGHV6-1	na	1446	0.2444157898426056	0.31145254	Yes	
row_27	IGHV3-33	na	1455	0.2436956912279129	0.32306162	Yes	
row_28	IGHV3-11	na	1475	0.24258953332901	0.33407846	Yes	
row_29	IGHV3-72	na	1497	0.24082396924495697	0.3449106	Yes	
row_30	IGHV3-20	na	1501	0.24059775471687317	0.35661155	Yes	
row_31	IGHV1-18	na	1535	0.23834790289402008	0.36673513	Yes	
row_32	IGHG3	na	1565	0.23679551482200623	0.37697783	Yes	
row_33	IGHV2-70D	na	1572	0.236491397023201	0.38832992	Yes	
row_34	IGHV3-53	na	1645	0.23162750899791718	0.39621603	Yes	
row_35	IGHV1-24	na	1681	0.22907190024852753	0.40578508	Yes	
row_36	IGHV3-49	na	1724	0.22631047666072845	0.41487595	Yes	
row_37	IGHG4	na	1727	0.22618331015110016	0.425916	Yes	
row_38	IGHV1-58	na	1844	0.22059601545333862	0.43110797	Yes	
row_39	IGHV3-13	na	1875	0.21905997395515442	0.4404284	Yes	
row_40	IGHV4-61	na	1913	0.2167336344718933	0.44929212	Yes	
row_41	IGHV3-30	na	1941	0.2154637575149536	0.45858216	Yes	
row_42	IGLL5	na	2015	0.21060621738433838	0.46538427	Yes	
row_43	MEGF10	na	2078	0.20706269145011902	0.47254965	Yes	
row_44	IGHV1-69D	na	2089	0.20671018958091736	0.4822397	Yes	
row_45	IGHV4-34	na	2095	0.20650902390480042	0.49216425	Yes	
row_46	IGHV1-69	na	2239	0.1998671591281891	0.49501556	Yes	
row_47	TRDC	na	2242	0.19979262351989746	0.50475603	Yes	
row_48	IGHV4-28	na	2254	0.19912345707416534	0.5140236	Yes	
row_49	IGHV4-59	na	2296	0.19700337946414948	0.52172023	Yes	
row_50	IGHV3-64	na	2316	0.1959466189146042	0.5304403	Yes	
row_51	IGHV1-45	na	2375	0.19302591681480408	0.53711	Yes	
row_52	IGHA1	na	2384	0.1927376687526703	0.54620975	Yes	
row_53	IGHV2-70	na	2416	0.19156590104103088	0.55412745	Yes	
row_54	IGHV3-73	na	2469	0.18918855488300323	0.5609015	Yes	
row_55	IGLC6	na	2505	0.18749527633190155	0.5684232	Yes	
row_56	IGHV3-66	na	2636	0.1808818280696869	0.5709752	Yes	
row_57	XKR8	na	2668	0.17968136072158813	0.5783076	Yes	
row_58	IGHG1	na	2856	0.1720527857542038	0.5776383	Yes	
row_59	IGHV4-39	na	2921	0.1696271449327469	0.58286256	Yes	
row_60	XKR7	na	2937	0.16903287172317505	0.59045285	Yes	
row_61	IGHV4-31	na	3162	0.15990540385246277	0.5873766	Yes	
row_62	MSR1	na	3206	0.15827913582324982	0.5930686	Yes	
row_63	F2RL1	na	3471	0.14976337552070618	0.5875375	Yes	
row_64	C3	na	3479	0.14946912229061127	0.59455556	Yes	
row_65	SH3BP1	na	3642	0.14441390335559845	0.5937474	No	
row_66	XKR9	na	3773	0.14026710391044617	0.5942994	No	
row_67	XKR4	na	4080	0.13119085133075714	0.5858006	No	
row_68	AIF1	na	4531	0.1180158257484436	0.5696135	No	
row_69	TRBC1	na	4599	0.11596722155809402	0.57204866	No	
row_70	CHMP2A	na	4716	0.11218056827783585	0.57190204	No	
row_71	MARCO	na	4887	0.10778441280126572	0.56889904	No	
row_72	NCKAP1L	na	5016	0.10434658080339432	0.56778	No	
row_73	STAP1	na	5400	0.09459099173545837	0.55371475	No	
row_74	ABCA1	na	5960	0.08087217807769775	0.5303702	No	
row_75	ITGB2	na	6245	0.07471372187137604	0.5201658	No	
row_76	ALKBH4	na	6261	0.07430500537157059	0.52309144	No	
row_77	RAB31	na	6348	0.07225818186998367	0.52244544	No	
row_78	RHOBTB1	na	6674	0.06585582345724106	0.5098006	No	
row_79	ADGRB1	na	6816	0.06297668069601059	0.50600886	No	
row_80	ANO6	na	6881	0.06184874102473259	0.5059258	No	
row_81	BIN2	na	7070	0.058337580412626266	0.499608	No	
row_82	VAMP7	na	7237	0.055208802223205566	0.49421164	No	
row_83	RAC3	na	7446	0.05125930905342102	0.48656762	No	
row_84	CD300A	na	7526	0.04972907900810242	0.48515445	No	
row_85	IGHE	na	7958	0.041321296244859695	0.4661196	No	
row_86	HGS	na	8152	0.03809240460395813	0.45856047	No	
row_87	ARF1	na	8869	0.024521833285689354	0.424766	No	
row_88	IGHD	na	9386	0.014996013604104519	0.40027958	No	
row_89	CDC42	na	9671	0.010052391327917576	0.38689113	No	
row_90	ELMO1	na	9718	0.009338386356830597	0.38510224	No	
row_91	SNX3	na	9726	0.0091638108715415	0.3852113	No	
row_92	ITGAM	na	9909	0.005673903040587902	0.37659353	No	
row_93	XKR6	na	10128	0.0017337111057713628	0.3660219	No	
row_94	SMURF1	na	10216	1.8304291006643325E-4	0.36177787	No	
row_95	RHOA	na	11421	-0.021576296538114548	0.30398232	No	
row_96	MYH9	na	11701	-0.026716629043221474	0.29165888	No	
row_97	MFGE8	na	11709	-0.026941243559122086	0.2926433	No	
row_98	ALOX15	na	11790	-0.028444334864616394	0.29013315	No	
row_99	ABCA7	na	12257	-0.03690337762236595	0.26916975	No	
row_100	ITGA2	na	12351	-0.03857015445828438	0.2665227	No	
row_101	SNX33	na	12483	-0.041117195039987564	0.2621434	No	
row_102	BECN1	na	12819	-0.04717607423663139	0.24808986	No	
row_103	ARHGAP25	na	13424	-0.058341965079307556	0.22143596	No	
row_104	SNX18	na	13517	-0.06021213158965111	0.2199035	No	
row_105	APPL2	na	13837	-0.06696026027202606	0.20760633	No	
row_106	FCHO2	na	14332	-0.07736368477344513	0.18726651	No	
row_107	SNX9	na	14605	-0.08308029174804688	0.17806074	No	
row_108	IGLL1	na	14614	-0.0834093764424324	0.18177694	No	
row_109	GULP1	na	14776	-0.08676960319280624	0.17817913	No	
row_110	ARHGAP12	na	14897	-0.08953297138214111	0.17672169	No	
row_111	DOCK1	na	15690	-0.10815426707267761	0.14333022	No	
row_112	THBS1	na	16086	-0.11773132532835007	0.12981784	No	
row_113	CHMP4A	na	16350	-0.12553024291992188	0.123142384	No	
row_114	FNBP1L	na	16473	-0.12883232533931732	0.12352237	No	
row_115	GSN	na	16843	-0.13937535881996155	0.11234682	No	
row_116	SYT11	na	17568	-0.16475744545459747	0.085066825	No	
row_117	SPIRE1	na	17771	-0.17262592911720276	0.08369248	No	
row_118	RHOBTB2	na	18042	-0.18428489565849304	0.07956804	No	
row_119	PPARG	na	18755	-0.22013938426971436	0.05560181	No	
row_120	GATA2	na	19827	-0.30886930227279663	0.018454982	No	
row_121	CD36	na	20195	-0.36879295110702515	0.018674266	No	
