NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRS2	na	111	0.46127790212631226	0.008095607	No	
row_1	GAD1	na	265	0.3968970775604248	0.012234186	No	
row_2	IRS1	na	484	0.3431183099746704	0.01159626	No	
row_3	MAT1A	na	847	0.29469040036201477	0.0024543183	No	
row_4	GLDC	na	895	0.29004430770874023	0.0086656315	No	
row_5	CNR1	na	920	0.2877912223339081	0.01594174	No	
row_6	ACOXL	na	990	0.281267911195755	0.020813348	No	
row_7	ACOT8	na	1144	0.26785677671432495	0.021160284	No	
row_8	AKR1D1	na	1175	0.2647671103477478	0.027464822	No	
row_9	CYP4F3	na	1208	0.26271575689315796	0.03361074	No	
row_10	GLYATL2	na	1616	0.23373955488204956	0.02046503	No	
row_11	GPT2	na	1690	0.2285534292459488	0.02359101	No	
row_12	QPRT	na	1698	0.2279146909713745	0.029943699	No	
row_13	BCAT1	na	1792	0.22299571335315704	0.0319229	No	
row_14	KMO	na	1839	0.22099706530570984	0.036154542	No	
row_15	HPD	na	2055	0.2081378698348999	0.031697955	No	
row_16	ADTRP	na	2184	0.20272234082221985	0.03136037	No	
row_17	NPL	na	2282	0.19766193628311157	0.03239848	No	
row_18	TDO2	na	2692	0.17849880456924438	0.017531263	No	
row_19	CYP4F2	na	2758	0.1753809154033661	0.019488247	No	
row_20	HSD17B10	na	3040	0.16461215913295746	0.01050725	No	
row_21	NUDT19	na	3071	0.16326484084129333	0.013829308	No	
row_22	MPST	na	3103	0.16221536695957184	0.017071355	No	
row_23	SDS	na	3219	0.15800201892852783	0.016058994	No	
row_24	CYP4F12	na	3271	0.1562359780073166	0.01814187	No	
row_25	PIPOX	na	3276	0.1560131460428238	0.022529367	No	
row_26	TWIST1	na	3344	0.153604194521904	0.02374813	No	
row_27	CRABP1	na	3354	0.15338043868541718	0.027812403	No	
row_28	AHCY	na	3876	0.13648992776870728	0.006203348	No	
row_29	FAH	na	3947	0.13498909771442413	0.0067276135	No	
row_30	LPIN1	na	4180	0.1281522810459137	-9.151781E-4	No	
row_31	PON1	na	4495	0.11893709748983383	-0.012861001	No	
row_32	BCKDK	na	5015	0.1044149249792099	-0.03531418	No	
row_33	KYNU	na	5224	0.09885387122631073	-0.042637683	No	
row_34	PEX13	na	5387	0.09492097795009613	-0.047814753	No	
row_35	GNPDA1	na	5433	0.093805693089962	-0.047271248	No	
row_36	SDSL	na	5453	0.093190036714077	-0.045467313	No	
row_37	ABCD1	na	5851	0.08343856036663055	-0.06253763	No	
row_38	AADAT	na	6131	0.07700924575328827	-0.07399435	No	
row_39	CYP26A1	na	6448	0.07030066102743149	-0.087467626	No	
row_40	LPIN3	na	6600	0.06750989705324173	-0.09290922	No	
row_41	HACL1	na	6708	0.0650736391544342	-0.09625874	No	
row_42	GOT2	na	6749	0.06434876471757889	-0.096334904	No	
row_43	PLA2G15	na	6879	0.0618615560233593	-0.10086063	No	
row_44	ACOX3	na	7003	0.059443164616823196	-0.10516238	No	
row_45	GLUL	na	7213	0.05560345575213432	-0.113805905	No	
row_46	UROC1	na	7239	0.055192336440086365	-0.11341351	No	
row_47	ECH1	na	7366	0.052930574864149094	-0.118054144	No	
row_48	ABCD2	na	7673	0.04685014486312866	-0.13172473	No	
row_49	SHMT2	na	7763	0.04526417329907417	-0.1347712	No	
row_50	MCAT	na	7769	0.045150112360715866	-0.1336904	No	
row_51	ETFB	na	7774	0.04506079852581024	-0.13256305	No	
row_52	HIBADH	na	7960	0.0413043387234211	-0.14044656	No	
row_53	NAGK	na	7996	0.040776558220386505	-0.1409695	No	
row_54	SARDH	na	8045	0.039869826287031174	-0.14215833	No	
row_55	PCBD1	na	8094	0.039057325571775436	-0.14337105	No	
row_56	PRODH2	na	8383	0.03376530110836029	-0.15654097	No	
row_57	AKT2	na	8669	0.02834502048790455	-0.16972266	No	
row_58	MCEE	na	8698	0.027850763872265816	-0.17028117	No	
row_59	MTRR	na	8777	0.026411475613713264	-0.17334068	No	
row_60	OAT	na	8791	0.026146799325942993	-0.17321166	No	
row_61	DECR1	na	8942	0.02340763621032238	-0.17989995	No	
row_62	TYSND1	na	9000	0.022503312677145004	-0.18204163	No	
row_63	MCCC2	na	9018	0.02218640223145485	-0.18222567	No	
row_64	TXN2	na	9103	0.02063949592411518	-0.18574983	No	
row_65	LONP2	na	9234	0.018265360966324806	-0.19160573	No	
row_66	CARNS1	na	9252	0.01764238066971302	-0.19192329	No	
row_67	LEP	na	9257	0.017596110701560974	-0.19160296	No	
row_68	HADH	na	9261	0.01751004531979561	-0.19123597	No	
row_69	SLC25A17	na	9269	0.01722586899995804	-0.19107404	No	
row_70	CDO1	na	9288	0.016986291855573654	-0.19146006	No	
row_71	MECR	na	9463	0.013769809156656265	-0.19961171	No	
row_72	HADHA	na	9480	0.013428461737930775	-0.2000039	No	
row_73	SCP2	na	9766	0.008445643819868565	-0.2137703	No	
row_74	HSD17B4	na	9864	0.00645084772258997	-0.21835062	No	
row_75	ACSF3	na	9935	0.00530786719173193	-0.22163683	No	
row_76	PECR	na	9953	0.004879445303231478	-0.22232941	No	
row_77	CSAD	na	10002	0.003999155946075916	-0.22457226	No	
row_78	ADO	na	10050	0.0032346516381949186	-0.22678837	No	
row_79	SORD	na	10126	0.0017383169615641236	-0.23042534	No	
row_80	CBS	na	10139	0.0016515881288796663	-0.2309669	No	
row_81	DECR2	na	10149	0.0013935123570263386	-0.23136851	No	
row_82	DDAH2	na	10155	0.00126945530064404	-0.23157708	No	
row_83	GLUD2	na	10170	9.784591384232044E-4	-0.23223677	No	
row_84	AKR1A1	na	10205	3.0231301207095385E-4	-0.2338998	No	
row_85	LPIN2	na	10422	-0.0034929460380226374	-0.24441873	No	
row_86	AMACR	na	10459	-0.003971452359110117	-0.24607229	No	
row_87	ECI1	na	10463	-0.004074796102941036	-0.24610008	No	
row_88	ATP2B4	na	10473	-0.0043428074568510056	-0.24641503	No	
