NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRS2	na	111	0.46127790212631226	0.016853783	Yes	
row_1	ADA	na	373	0.3694739043712616	0.02193932	Yes	
row_2	CARD11	na	400	0.36168473958969116	0.03813838	Yes	
row_3	IGHG2	na	407	0.3600960075855255	0.05523855	Yes	
row_4	IGHV2-5	na	601	0.3257356286048889	0.061536115	Yes	
row_5	TNFSF13B	na	613	0.3236733078956604	0.076632515	Yes	
row_6	IGHV3-7	na	665	0.31610754132270813	0.089407764	Yes	
row_7	IGHA2	na	746	0.30635905265808105	0.100294255	Yes	
row_8	IGLC2	na	904	0.2895149290561676	0.10660241	Yes	
row_9	IGKC	na	941	0.2859087884426117	0.11865237	Yes	
row_10	IGHV3-23	na	987	0.2817308306694031	0.1300605	Yes	
row_11	IGHV3-74	na	997	0.2804419994354248	0.14316651	Yes	
row_12	IGHV2-26	na	1008	0.27937519550323486	0.1561721	Yes	
row_13	IGHV3-21	na	1054	0.27513518929481506	0.16726163	Yes	
row_14	IGHV5-51	na	1059	0.2748732566833496	0.18034312	Yes	
row_15	IGHM	na	1084	0.2727442681789398	0.19234392	Yes	
row_16	IGHV3-48	na	1207	0.2628907561302185	0.1990773	Yes	
row_17	IGLC7	na	1254	0.25910505652427673	0.20934364	Yes	
row_18	IGHV4-4	na	1277	0.25745558738708496	0.22070375	Yes	
row_19	IGLC3	na	1305	0.255155473947525	0.23170829	Yes	
row_20	IGHV3-43	na	1316	0.2547459304332733	0.24352422	Yes	
row_21	IGHV1-3	na	1344	0.25193852186203003	0.25437337	Yes	
row_22	IGHV3-15	na	1422	0.2461109310388565	0.2624964	Yes	
row_23	TRBC2	na	1438	0.24489560723304749	0.27359208	Yes	
row_24	IGHV6-1	na	1446	0.2444157898426056	0.28505573	Yes	
row_25	CD28	na	1452	0.24406759440898895	0.2966003	Yes	
row_26	IGHV3-33	na	1455	0.2436956912279129	0.30827364	Yes	
row_27	IGHV3-11	na	1475	0.24258953332901	0.31906235	Yes	
row_28	IGHV3-72	na	1497	0.24082396924495697	0.329668	Yes	
row_29	IGHV3-20	na	1501	0.24059775471687317	0.34114277	Yes	
row_30	TNFSF4	na	1507	0.2403053343296051	0.35250565	Yes	
row_31	IGHV1-18	na	1535	0.23834790289402008	0.36269835	Yes	
row_32	IGHG3	na	1565	0.23679551482200623	0.37271827	Yes	
row_33	IGHV2-70D	na	1572	0.236491397023201	0.38384804	Yes	
row_34	IGHV3-53	na	1645	0.23162750899791718	0.39151594	Yes	
row_35	IGHV1-24	na	1681	0.22907190024852753	0.40086946	Yes	
row_36	IGHV3-49	na	1724	0.22631047666072845	0.4097473	Yes	
row_37	IGHG4	na	1727	0.22618331015110016	0.42057475	Yes	
row_38	IGHV1-58	na	1844	0.22059601545333862	0.42555854	Yes	
row_39	IGHV3-13	na	1875	0.21905997395515442	0.4346729	Yes	
row_40	IGHV4-61	na	1913	0.2167336344718933	0.44333264	Yes	
row_41	IGHV3-30	na	1941	0.2154637575149536	0.45241997	Yes	
row_42	IGLL5	na	2015	0.21060621738433838	0.4590236	Yes	
row_43	IGHV1-69D	na	2089	0.20671018958091736	0.46543905	Yes	
row_44	IGHV4-34	na	2095	0.20650902390480042	0.47516948	Yes	
row_45	IL2	na	2102	0.2061770111322403	0.484835	Yes	
row_46	IGHV1-69	na	2239	0.1998671591281891	0.48783967	Yes	
row_47	TRDC	na	2242	0.19979262351989746	0.4973924	Yes	
row_48	IGHV4-28	na	2254	0.19912345707416534	0.5064727	Yes	
row_49	TGFB1	na	2269	0.1984594166278839	0.5153743	Yes	
row_50	IGHV4-59	na	2296	0.19700337946414948	0.5236188	Yes	
row_51	IGHV3-64	na	2316	0.1959466189146042	0.53215456	Yes	
row_52	MAD2L2	na	2335	0.19521991908550262	0.54070413	Yes	
row_53	IGHV1-45	na	2375	0.19302591681480408	0.5481209	Yes	
row_54	IGHA1	na	2384	0.1927376687526703	0.5570395	Yes	
row_55	IGHV2-70	na	2416	0.19156590104103088	0.56477696	Yes	
row_56	IGHV3-73	na	2469	0.18918855488300323	0.5713728	Yes	
row_57	IGLC6	na	2505	0.18749527633190155	0.578718	Yes	
row_58	SHLD1	na	2518	0.186842679977417	0.5871563	Yes	
row_59	IGHV3-66	na	2636	0.1808818280696869	0.5901729	Yes	
row_60	CD27	na	2658	0.18018463253974915	0.5978495	Yes	
row_61	IL6	na	2768	0.17508122324943542	0.60097706	Yes	
row_62	IGHG1	na	2856	0.1720527857542038	0.605034	Yes	
row_63	GPR183	na	2861	0.1718953251838684	0.6131414	Yes	
row_64	CHRNB2	na	2902	0.17020662128925323	0.61940706	Yes	
row_65	TNFRSF13C	na	2910	0.16991758346557617	0.62727225	Yes	
row_66	IGHV4-39	na	2921	0.1696271449327469	0.63497674	Yes	
row_67	IGHV4-31	na	3162	0.15990540385246277	0.63096637	Yes	
row_68	NOD2	na	3216	0.15804129838943481	0.63600886	Yes	
row_69	BCL6	na	3501	0.14875368773937225	0.6293085	No	
row_70	UNG	na	3525	0.1480599343776703	0.6353356	No	
row_71	TNIP2	na	4587	0.1163008064031601	0.58907825	No	
row_72	TRBC1	na	4599	0.11596722155809402	0.5941419	No	
row_73	NCKAP1L	na	5016	0.10434658080339432	0.5788428	No	
row_74	CD320	na	5322	0.09647474437952042	0.5685905	No	
row_75	CD38	na	5372	0.09517088532447815	0.5707918	No	
row_76	IL7	na	5422	0.09405204653739929	0.572939	No	
row_77	SASH3	na	5522	0.09135133773088455	0.57251114	No	
row_78	CD40	na	5532	0.09117154031991959	0.5764749	No	
row_79	MMP14	na	6149	0.07665082067251205	0.5500595	No	
row_80	SHLD3	na	6234	0.07500002533197403	0.5495752	No	
row_81	PTPRC	na	6292	0.07362503558397293	0.5503446	No	
row_82	BTK	na	6971	0.06004887446761131	0.52009594	No	
row_83	MIF	na	6977	0.05994002893567085	0.52274674	No	
row_84	MSH6	na	7002	0.05948887765407562	0.5244467	No	
row_85	CD74	na	7058	0.058552443981170654	0.5245859	No	
row_86	BAD	na	7200	0.05581777170300484	0.5203882	No	
row_87	MLH1	na	7225	0.05542168766260147	0.5218918	No	
row_88	ATAD5	na	7500	0.050281405448913574	0.5109239	No	
row_89	EXOSC6	na	7691	0.046447038650512695	0.5038778	No	
row_90	IGHE	na	7958	0.041321296244859695	0.4928683	No	
row_91	CD81	na	8817	0.025725362822413445	0.45216107	No	
row_92	INPP5D	na	8945	0.023353302851319313	0.44707975	No	
row_93	SLC39A10	na	9218	0.018657993525266647	0.4346822	No	
row_94	IGHD	na	9386	0.014996013604104519	0.42724147	No	
row_95	TFRC	na	9588	0.011766630224883556	0.4179824	No	
row_96	BST1	na	9756	0.008597521111369133	0.41023263	No	
row_97	RIF1	na	10015	0.0037966326344758272	0.39780173	No	
row_98	NSD2	na	10042	0.0032971310429275036	0.39668977	No	
row_99	PAXIP1	na	10168	0.0010186544386669993	0.3906274	No	
row_100	NFATC2	na	10214	1.945570547832176E-4	0.38843665	No	
row_101	WNT3A	na	10791	-0.009869926609098911	0.36075127	No	
row_102	MSH2	na	11019	-0.014154933393001556	0.35033637	No	
row_103	ATP11C	na	11110	-0.015712471678853035	0.34669498	No	
row_104	STAT6	na	11179	-0.01688963547348976	0.3441861	No	
row_105	TICAM1	na	11312	-0.01953921653330326	0.33867607	No	
row_106	FCRL3	na	11519	-0.02321709506213665	0.32972562	No	
row_107	SYK	na	12521	-0.04186462238430977	0.28280634	No	
row_108	TBX21	na	12643	-0.044063106179237366	0.27901867	No	
row_109	PPP2R3C	na	12752	-0.04594848304986954	0.2759577	No	
row_110	CLCF1	na	13059	-0.05151555687189102	0.2634849	No	
row_111	TNFRSF4	na	13164	-0.05381489545106888	0.26099947	No	
row_112	EXOSC3	na	13192	-0.05444169417023659	0.26230904	No	
row_113	PELI1	na	13841	-0.0671752393245697	0.23387137	No	
row_114	STAT5B	na	14431	-0.07944054156541824	0.20891081	No	
row_115	IGLL1	na	14614	-0.0834093764424324	0.20404124	No	
row_116	PCID2	na	14998	-0.09185661375522614	0.18975228	No	
row_117	MEF2C	na	16297	-0.12361542135477066	0.13226064	No	
row_118	SHLD2	na	16741	-0.13678497076034546	0.11720827	No	
row_119	TP53BP1	na	16776	-0.13758981227874756	0.122191854	No	
row_120	VAV3	na	17506	-0.16293063759803772	0.094419114	No	
row_121	TLR4	na	18282	-0.19508421421051025	0.06595041	No	
row_122	TIRAP	na	19075	-0.24023008346557617	0.03883119	No	
row_123	BCL2	na	19436	-0.2687431573867798	0.034210816	No	
row_124	TNFSF13	na	20443	-0.4456615447998047	0.0065514264	No	
