NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRS2	na	111	0.46127790212631226	0.0049083154	Yes	
row_1	JAK3	na	142	0.4398094415664673	0.013330121	Yes	
row_2	IL23A	na	203	0.418400377035141	0.019789599	Yes	
row_3	FOXP3	na	364	0.37181660532951355	0.02026589	Yes	
row_4	ADA	na	373	0.3694739043712616	0.028189683	Yes	
row_5	CARD11	na	400	0.36168473958969116	0.03504992	Yes	
row_6	IGHG2	na	407	0.3600960075855255	0.04286126	Yes	
row_7	ZP3	na	430	0.3557868003845215	0.049786083	Yes	
row_8	RIPK2	na	459	0.34875571727752686	0.05625654	Yes	
row_9	EBI3	na	501	0.34008440375328064	0.0618903	Yes	
row_10	RUNX1	na	503	0.3398120701313019	0.06949168	Yes	
row_11	IGHV2-5	na	601	0.3257356286048889	0.07203913	Yes	
row_12	TNFSF13B	na	613	0.3236733078956604	0.07878371	Yes	
row_13	SOCS1	na	628	0.322222501039505	0.0853476	Yes	
row_14	IGHV3-7	na	665	0.31610754132270813	0.09068824	Yes	
row_15	XCL1	na	722	0.30876678228378296	0.094876744	Yes	
row_16	PAK3	na	725	0.3083442449569702	0.101720296	Yes	
row_17	PYCARD	na	727	0.3081575036048889	0.10860898	Yes	
row_18	IGHA2	na	746	0.30635905265808105	0.11461833	Yes	
row_19	IGLC2	na	904	0.2895149290561676	0.11338967	Yes	
row_20	IL2RA	na	921	0.2876865267753601	0.1190773	Yes	
row_21	TNFSF9	na	924	0.28747743368148804	0.12545104	Yes	
row_22	IGKC	na	941	0.2859087884426117	0.13109866	Yes	
row_23	IGHV3-23	na	987	0.2817308306694031	0.13522124	Yes	
row_24	IGHV3-74	na	997	0.2804419994354248	0.14109117	Yes	
row_25	IGHV2-26	na	1008	0.27937519550323486	0.14688775	Yes	
row_26	IGHV3-21	na	1054	0.27513518929481506	0.15086183	Yes	
row_27	IGHV5-51	na	1059	0.2748732566833496	0.1568531	Yes	
row_28	IGHM	na	1084	0.2727442681789398	0.16180956	Yes	
row_29	BLM	na	1120	0.26988485455513	0.16615888	Yes	
row_30	LGALS1	na	1129	0.26879385113716125	0.1718159	Yes	
row_31	FLT3LG	na	1142	0.26804354786872864	0.17725866	Yes	
row_32	IGHV3-48	na	1207	0.2628907561302185	0.18001953	Yes	
row_33	CD40LG	na	1241	0.26019832491874695	0.18424945	Yes	
row_34	IGLC7	na	1254	0.25910505652427673	0.18949096	Yes	
row_35	ADAM8	na	1268	0.258099228143692	0.19466047	Yes	
row_36	IGHV4-4	na	1277	0.25745558738708496	0.20006223	Yes	
row_37	IGLC3	na	1305	0.255155473947525	0.20447466	Yes	
row_38	SIRPG	na	1313	0.2547893822193146	0.20986572	Yes	
row_39	IGHV3-43	na	1316	0.2547459304332733	0.21550253	Yes	
row_40	IGHV1-3	na	1344	0.25193852186203003	0.21984254	Yes	
row_41	LILRB4	na	1375	0.24944844841957092	0.22397844	Yes	
row_42	IGHV3-15	na	1422	0.2461109310388565	0.22724971	Yes	
row_43	IL18	na	1429	0.24575456976890564	0.23248671	Yes	
row_44	TRBC2	na	1438	0.24489560723304749	0.23760568	Yes	
row_45	IGHV6-1	na	1446	0.2444157898426056	0.24276318	Yes	
row_46	CD28	na	1452	0.24406759440898895	0.24801154	Yes	
row_47	IGHV3-33	na	1455	0.2436956912279129	0.25339955	Yes	
row_48	IGHV3-11	na	1475	0.24258953332901	0.2579238	Yes	
row_49	IGHV3-72	na	1497	0.24082396924495697	0.26230964	Yes	
row_50	IGHV3-20	na	1501	0.24059775471687317	0.26757857	Yes	
row_51	TNFSF4	na	1507	0.2403053343296051	0.2727422	Yes	
row_52	IGHV1-18	na	1535	0.23834790289402008	0.27677622	Yes	
row_53	AXL	na	1543	0.23777669668197632	0.28178427	Yes	
row_54	GLI3	na	1544	0.23777177929878235	0.2871376	Yes	
row_55	CTLA4	na	1550	0.23753254115581512	0.29223883	Yes	
row_56	IGHG3	na	1565	0.23679551482200623	0.29687935	Yes	
row_57	IGHV2-70D	na	1572	0.236491397023201	0.3019078	Yes	
row_58	PRKCQ	na	1573	0.23634390532970428	0.30722898	Yes	
row_59	IGHV3-53	na	1645	0.23162750899791718	0.30894056	Yes	
row_60	CD86	na	1650	0.23123063147068024	0.31394923	Yes	
row_61	TNFSF11	na	1652	0.2308637797832489	0.3190977	Yes	
row_62	IGHV1-24	na	1681	0.22907190024852753	0.32287353	Yes	
row_63	CD3E	na	1684	0.22875724732875824	0.3279252	Yes	
row_64	IGHV3-49	na	1724	0.22631047666072845	0.33109608	Yes	
row_65	IGHG4	na	1727	0.22618331015110016	0.33608982	Yes	
row_66	CD80	na	1775	0.22375771403312683	0.33880848	Yes	
row_67	IGHV1-58	na	1844	0.22059601545333862	0.3404197	Yes	
row_68	IGHV3-13	na	1875	0.21905997395515442	0.34387144	Yes	
row_69	IGHV4-61	na	1913	0.2167336344718933	0.34692538	Yes	
row_70	TMIGD2	na	1931	0.2159866988658905	0.35094938	Yes	
row_71	IGHV3-30	na	1941	0.2154637575149536	0.35535637	Yes	
row_72	SIRPB1	na	1959	0.21467125415802002	0.35935074	Yes	
row_73	IGLL5	na	2015	0.21060621738433838	0.36137855	Yes	
row_74	PDCD1	na	2047	0.20870596170425415	0.36454782	Yes	
row_75	DUSP10	na	2066	0.20751219987869263	0.36833167	Yes	
row_76	IGHV1-69D	na	2089	0.20671018958091736	0.3719001	Yes	
row_77	IGHV4-34	na	2095	0.20650902390480042	0.37630284	Yes	
row_78	IL2	na	2102	0.2061770111322403	0.38064876	Yes	
row_79	CD5	na	2112	0.2058718055486679	0.3848398	Yes	
row_80	IGHV1-69	na	2239	0.1998671591281891	0.3831224	Yes	
row_81	TRDC	na	2242	0.19979262351989746	0.38752195	Yes	
row_82	IGHV4-28	na	2254	0.19912345707416534	0.39146236	Yes	
row_83	TGFB1	na	2269	0.1984594166278839	0.39523977	Yes	
