NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAK3	na	142	0.4398094415664673	0.004947578	Yes	
row_1	IL31RA	na	302	0.38582679629325867	0.007594284	Yes	
row_2	FOXP3	na	364	0.37181660532951355	0.014681573	Yes	
row_3	CARD11	na	400	0.36168473958969116	0.02277293	Yes	
row_4	IGKV5-2	na	426	0.35644590854644775	0.031214058	Yes	
row_5	IL18R1	na	455	0.3500949740409851	0.039335303	Yes	
row_6	IGKV1-17	na	502	0.34005963802337646	0.046298843	Yes	
row_7	SEMA7A	na	529	0.3362022936344147	0.05414154	Yes	
row_8	TNFSF13B	na	613	0.3236733078956604	0.058840435	Yes	
row_9	IGKV1-9	na	672	0.3155389726161957	0.0645484	Yes	
row_10	POLQ	na	680	0.3144374191761017	0.07273521	Yes	
row_11	GALNT2	na	686	0.31327497959136963	0.08098887	Yes	
row_12	XCL1	na	722	0.30876678228378296	0.08764448	Yes	
row_13	IGKV1-39	na	751	0.3061506450176239	0.09457345	Yes	
row_14	IGLV7-43	na	784	0.30228161811828613	0.10120069	Yes	
row_15	IGKV2-30	na	793	0.30127277970314026	0.10898113	Yes	
row_16	IGLV2-11	na	803	0.30023935437202454	0.116684355	Yes	
row_17	WNT5A	na	815	0.29915526509284973	0.12425977	Yes	
row_18	FCGR2B	na	900	0.28987929224967957	0.1279926	Yes	
row_19	IGKC	na	941	0.2859087884426117	0.13378209	Yes	
row_20	IGKV3-20	na	993	0.28093045949935913	0.1388954	Yes	
row_21	IGLV4-69	na	1001	0.27983853220939636	0.1461435	Yes	
row_22	TRAV9-2	na	1036	0.2768915593624115	0.15198348	Yes	
row_23	CD96	na	1052	0.2752061188220978	0.15871237	Yes	
row_24	IGLV1-51	na	1094	0.27197879552841187	0.16407473	Yes	
row_25	IGKV1-6	na	1130	0.2686596214771271	0.16964218	Yes	
row_26	IGKV1D-12	na	1149	0.2675020098686218	0.17601447	Yes	
row_27	IL27RA	na	1201	0.2632739841938019	0.18064874	Yes	
row_28	IGKV1D-39	na	1203	0.2631934881210327	0.18774037	Yes	
row_29	TLR2	na	1215	0.2620372772216797	0.19430873	Yes	
row_30	IGKV4-1	na	1219	0.2618758976459503	0.20126623	Yes	
row_31	IGKV3D-11	na	1226	0.2616157531738281	0.2080691	Yes	
row_32	CD40LG	na	1241	0.26019832491874695	0.21444	Yes	
row_33	IGKV6-21	na	1272	0.2578881084918976	0.21996115	Yes	
row_34	IGKV3-15	na	1278	0.25739821791648865	0.22669879	Yes	
row_35	IGKV3D-20	na	1306	0.25510188937187195	0.23229192	Yes	
row_36	IGLV2-8	na	1318	0.25453388690948486	0.2386567	Yes	
row_37	FCER1G	na	1348	0.2514953017234802	0.2440536	Yes	
row_38	IGLV3-16	na	1355	0.25095134973526	0.25056714	Yes	
row_39	IGKV1-5	na	1373	0.24959170818328857	0.2565027	Yes	
row_40	IGLV3-25	na	1398	0.2478206306695938	0.26204583	Yes	
row_41	IL18	na	1429	0.24575456976890564	0.26723778	Yes	
row_42	CD28	na	1452	0.24406759440898895	0.2727775	Yes	
row_43	IGLV5-45	na	1456	0.24358907341957092	0.27923885	Yes	
row_44	IGKV1-8	na	1477	0.24248124659061432	0.2848339	Yes	
row_45	TNFSF4	na	1507	0.2403053343296051	0.2899272	Yes	
row_46	IGKV2D-30	na	1513	0.24013154208660126	0.29619637	Yes	
row_47	EXO1	na	1529	0.23894034326076508	0.30194134	Yes	
row_48	MZB1	na	1564	0.23682533204555511	0.30669424	Yes	
row_49	IGLV6-57	na	1575	0.23629112541675568	0.31261328	Yes	
row_50	IL1R1	na	1606	0.23411986231803894	0.31748956	Yes	
row_51	IGLV7-46	na	1628	0.23308305442333221	0.32278043	Yes	
row_52	IGLV3-9	na	1644	0.23178060352802277	0.3283311	Yes	
row_53	IGLV3-19	na	1671	0.2297430783510208	0.33328542	Yes	
row_54	IGLV2-18	na	1708	0.22744087874889374	0.33768535	Yes	
row_55	IGKV2-28	na	1713	0.22689534723758698	0.3436446	Yes	
row_56	BATF	na	1718	0.22674281895160675	0.3495997	Yes	
row_57	IGKV1-16	na	1753	0.22484950721263885	0.35402772	Yes	
row_58	AICDA	na	1756	0.22476239502429962	0.36002746	Yes	
row_59	IGKV6D-21	na	1791	0.2230157107114792	0.36440572	Yes	
row_60	IGKV3D-15	na	1810	0.22257812321186066	0.36955914	Yes	
row_61	IGLV3-21	na	1857	0.2199433296918869	0.37326375	Yes	
row_62	IGLV1-36	na	1895	0.21753795444965363	0.37734583	Yes	
row_63	IGKV2-24	na	1911	0.21677924692630768	0.3824895	Yes	
row_64	IGLV2-23	na	1927	0.2161714881658554	0.3876167	Yes	
row_65	IGKV1-13	na	1930	0.2160090059041977	0.39337894	Yes	
row_66	TMIGD2	na	1931	0.2159866988658905	0.39923897	Yes	
row_67	IGLV3-1	na	1939	0.21559089422225952	0.40474394	Yes	
row_68	IGLV1-44	na	1951	0.21500104665756226	0.41003612	Yes	
row_69	IGLV1-47	na	1984	0.21313980221748352	0.41424483	Yes	
row_70	IGKV1D-17	na	2007	0.21131475269794464	0.4188959	Yes	
row_71	IGLV1-40	na	2021	0.21031013131141663	0.42396244	Yes	
row_72	IGLV8-61	na	2058	0.20796221494674683	0.42783388	Yes	
row_73	IGLV3-27	na	2071	0.20732085406780243	0.4328685	Yes	
row_74	IL2	na	2102	0.2061770111322403	0.43698668	Yes	
row_75	IGLV2-14	na	2113	0.20574979484081268	0.44207707	Yes	
row_76	IGKV1-27	na	2120	0.20540979504585266	0.44735497	Yes	
row_77	IGKV1D-8	na	2123	0.20533089339733124	0.45282754	Yes	
row_78	IL13RA2	na	2251	0.19937466084957123	0.45198962	Yes	
row_79	TGFB1	na	2269	0.1984594166278839	0.45653787	Yes	
row_80	IGKV2-29	na	2284	0.19760765135288239	0.46121058	Yes	
row_81	IGKV1D-43	na	2307	0.1964832842350006	0.46545926	Yes	
row_82	MAD2L2	na	2335	0.19521991908550262	0.4694277	Yes	
row_83	KIR2DL4	na	2351	0.19448207318782806	0.47396645	Yes	
row_84	IGKV1-12	na	2400	0.19209741055965424	0.47681716	Yes	
row_85	IGLV9-49	na	2500	0.187720388174057	0.4770404	Yes	
row_86	SHLD1	na	2518	0.186842679977417	0.48127347	Yes	
row_87	IGLV3-10	na	2531	0.1861058473587036	0.4857325	Yes	
row_88	IGKV2D-29	na	2555	0.18484294414520264	0.4896162	Yes	
row_89	POLM	na	2563	0.18442027270793915	0.49427542	Yes	
row_90	SPON2	na	2750	0.17588753998279572	0.48989803	Yes	
row_91	SLC11A1	na	2760	0.1753152459859848	0.49421188	Yes	
row_92	IL6	na	2768	0.17508122324943542	0.49861774	Yes	
row_93	IGLV4-60	na	2852	0.17216889560222626	0.4992061	Yes	
row_94	IGLV5-37	na	2998	0.16655513644218445	0.4965923	Yes	
row_95	NOD2	na	3216	0.15804129838943481	0.4902058	Yes	
row_96	IL12B	na	3294	0.15563222765922546	0.49064064	Yes	
row_97	KDELR1	na	3347	0.15351508557796478	0.49224782	Yes	
row_98	CTNNBL1	na	3365	0.15305212140083313	0.4955641	Yes	
row_99	F2RL1	na	3471	0.14976337552070618	0.49446237	Yes	
row_100	BCL6	na	3501	0.14875368773937225	0.49707174	Yes	
row_101	UNG	na	3525	0.1480599343776703	0.4999574	Yes	
row_102	POU2F2	na	3670	0.14311134815216064	0.49675676	Yes	
row_103	CHGA	na	3698	0.14237752556800842	0.49929154	Yes	
row_104	CGAS	na	3839	0.13797472417354584	0.49614826	Yes	
row_105	TCF3	na	4047	0.1322299987077713	0.48955336	Yes	
row_106	IGLV3-12	na	4085	0.13106532394886017	0.4912893	Yes	
row_107	IGLV5-52	na	4096	0.13088566064834595	0.4943485	Yes	
row_108	CD226	na	4135	0.1295626014471054	0.49599448	Yes	
row_109	TRDV1	na	4164	0.12852104008197784	0.4981041	Yes	
row_110	LILRB1	na	4172	0.12838149070739746	0.50124294	Yes	
row_111	TGFB3	na	4216	0.127297505736351	0.50258154	Yes	
row_112	VPREB3	na	4266	0.12618322670459747	0.5035947	Yes	
row_113	IL18RAP	na	4272	0.12596838176250458	0.50676644	Yes	
row_114	PARP3	na	4316	0.1246471181511879	0.5080331	Yes	
row_115	HSPD1	na	4427	0.1210959255695343	0.5059076	Yes	
row_116	ERCC1	na	4440	0.12067853659391403	0.50859153	Yes	
row_117	CD55	na	4454	0.12017350643873215	0.5112125	Yes	
row_118	IL7R	na	4479	0.11932539939880371	0.5132694	Yes	
row_119	HPX	na	4612	0.11534451693296432	0.5099057	No	
row_120	TRAV38-1	na	4690	0.11289571970701218	0.509181	No	
