NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRS2	na	111	0.46127790212631226	0.012029991	Yes	
row_1	SLAMF8	na	269	0.39553549885749817	0.019316532	Yes	
row_2	FOXP3	na	364	0.37181660532951355	0.028791565	Yes	
row_3	ADA	na	373	0.3694739043712616	0.042391505	Yes	
row_4	CARD11	na	400	0.36168473958969116	0.054814547	Yes	
row_5	IGHG2	na	407	0.3600960075855255	0.06815734	Yes	
row_6	IGHV2-5	na	601	0.3257356286048889	0.071036726	Yes	
row_7	TNFSF13B	na	613	0.3236733078956604	0.08275522	Yes	
row_8	IGHV3-7	na	665	0.31610754132270813	0.09222738	Yes	
row_9	IGHA2	na	746	0.30635905265808105	0.099909484	Yes	
row_10	FCGR2B	na	900	0.28987929224967957	0.10339083	Yes	
row_11	IGLC2	na	904	0.2895149290561676	0.114207715	Yes	
row_12	IGKC	na	941	0.2859087884426117	0.12327118	Yes	
row_13	IGHV3-23	na	987	0.2817308306694031	0.13173547	Yes	
row_14	IGHV3-74	na	997	0.2804419994354248	0.14191478	Yes	
row_15	IGHV2-26	na	1008	0.27937519550323486	0.15200472	Yes	
row_16	IGHV3-21	na	1054	0.27513518929481506	0.16021922	Yes	
row_17	IGHV5-51	na	1059	0.2748732566833496	0.17043264	Yes	
row_18	SLA2	na	1074	0.2735765278339386	0.18010698	Yes	
row_19	IGHM	na	1084	0.2727442681789398	0.1899948	Yes	
row_20	IL27RA	na	1201	0.2632739841938019	0.19428144	Yes	
row_21	IGHV3-48	na	1207	0.2628907561302185	0.20399208	Yes	
row_22	CD19	na	1209	0.2627042829990387	0.21389166	Yes	
row_23	IGLC7	na	1254	0.25910505652427673	0.2215481	Yes	
row_24	SAMSN1	na	1256	0.2590382397174835	0.23130883	Yes	
row_25	IGHV4-4	na	1277	0.25745558738708496	0.2400787	Yes	
row_26	IGLC3	na	1305	0.255155473947525	0.24841851	Yes	
row_27	IGHV3-43	na	1316	0.2547459304332733	0.25757572	Yes	
row_28	IGHV1-3	na	1344	0.25193852186203003	0.2657937	Yes	
row_29	IGHV3-15	na	1422	0.2461109310388565	0.27134123	Yes	
row_30	TRBC2	na	1438	0.24489560723304749	0.27988043	Yes	
row_31	IGHV6-1	na	1446	0.2444157898426056	0.28879344	Yes	
row_32	CD28	na	1452	0.24406759440898895	0.29779127	Yes	
row_33	IGHV3-33	na	1455	0.2436956912279129	0.30692196	Yes	
row_34	IGHV3-11	na	1475	0.24258953332901	0.3151779	Yes	
row_35	IGHV3-72	na	1497	0.24082396924495697	0.32326892	Yes	
row_36	IGHV3-20	na	1501	0.24059775471687317	0.3322333	Yes	
row_37	TNFSF4	na	1507	0.2403053343296051	0.34108865	Yes	
row_38	IGHV1-18	na	1535	0.23834790289402008	0.34879196	Yes	
row_39	CTLA4	na	1550	0.23753254115581512	0.35710132	Yes	
row_40	MZB1	na	1564	0.23682533204555511	0.36543292	Yes	
row_41	IGHG3	na	1565	0.23679551482200623	0.37440032	Yes	
row_42	IGHV2-70D	na	1572	0.236491397023201	0.3830622	Yes	
row_43	IGHV3-53	na	1645	0.23162750899791718	0.38830623	Yes	
row_44	IGHV1-24	na	1681	0.22907190024852753	0.3952663	Yes	
row_45	IGHV3-49	na	1724	0.22631047666072845	0.40177882	Yes	
row_46	IGHG4	na	1727	0.22618331015110016	0.41024634	Yes	
row_47	TNFRSF13B	na	1843	0.22083725035190582	0.4129749	Yes	
row_48	IGHV1-58	na	1844	0.22059601545333862	0.42132884	Yes	
row_49	IGHV3-13	na	1875	0.21905997395515442	0.4281547	Yes	
row_50	IGHV4-61	na	1913	0.2167336344718933	0.43454954	Yes	
row_51	IGHV3-30	na	1941	0.2154637575149536	0.44138622	Yes	
row_52	IGLL5	na	2015	0.21060621738433838	0.44578516	Yes	
row_53	IGHV1-69D	na	2089	0.20671018958091736	0.45003656	Yes	
row_54	IGHV4-34	na	2095	0.20650902390480042	0.45761204	Yes	
row_55	IL2	na	2102	0.2061770111322403	0.46512595	Yes	
row_56	CASP3	na	2215	0.2009301632642746	0.46724764	Yes	
row_57	IGHV1-69	na	2239	0.1998671591281891	0.47368965	Yes	
row_58	TRDC	na	2242	0.19979262351989746	0.48115778	Yes	
row_59	IGHV4-28	na	2254	0.19912345707416534	0.4881596	Yes	
row_60	TGFB1	na	2269	0.1984594166278839	0.49498928	Yes	
row_61	IGHV4-59	na	2296	0.19700337946414948	0.5011759	Yes	
row_62	IGHV3-64	na	2316	0.1959466189146042	0.5076654	Yes	
row_63	MAD2L2	na	2335	0.19521991908550262	0.5141764	Yes	
row_64	IGHV1-45	na	2375	0.19302591681480408	0.5195754	Yes	
row_65	IGHA1	na	2384	0.1927376687526703	0.5264824	Yes	
row_66	IGHV2-70	na	2416	0.19156590104103088	0.5322181	Yes	
row_67	IGHV3-73	na	2469	0.18918855488300323	0.5368349	Yes	
row_68	IGLC6	na	2505	0.18749527633190155	0.5422204	Yes	
row_69	SHLD1	na	2518	0.186842679977417	0.5487082	Yes	
row_70	IGHV3-66	na	2636	0.1808818280696869	0.54982567	Yes	
row_71	CD27	na	2658	0.18018463253974915	0.5556203	Yes	
row_72	IL6	na	2768	0.17508122324943542	0.5569101	Yes	
row_73	IKZF3	na	2806	0.17393890023231506	0.56168425	Yes	
row_74	IGHG1	na	2856	0.1720527857542038	0.5657991	Yes	
row_75	GPR183	na	2861	0.1718953251838684	0.57211274	Yes	
row_76	CHRNB2	na	2902	0.17020662128925323	0.57659864	Yes	
row_77	TNFRSF13C	na	2910	0.16991758346557617	0.5826904	Yes	
row_78	IGHV4-39	na	2921	0.1696271449327469	0.5886242	Yes	
row_79	ID2	na	3056	0.16395722329616547	0.5882678	Yes	
row_80	IGHV4-31	na	3162	0.15990540385246277	0.58917886	Yes	
row_81	NOD2	na	3216	0.15804129838943481	0.5925671	Yes	
row_82	BCL6	na	3501	0.14875368773937225	0.5842856	No	
row_83	UNG	na	3525	0.1480599343776703	0.5887657	No	
row_84	TYROBP	na	3688	0.142594113945961	0.58622843	No	
row_85	INHBA	na	4147	0.12914696335792542	0.5686792	No	
row_86	PARP3	na	4316	0.1246471181511879	0.5651683	No	
row_87	TNIP2	na	4587	0.1163008064031601	0.5563438	No	
row_88	TRBC1	na	4599	0.11596722155809402	0.5601965	No	
row_89	NCKAP1L	na	5016	0.10434658080339432	0.5437659	No	
row_90	IL10	na	5185	0.09995204955339432	0.5393198	No	
row_91	CD320	na	5322	0.09647474437952042	0.5363099	No	
row_92	CD38	na	5372	0.09517088532447815	0.5375132	No	
row_93	IL7	na	5422	0.09405204653739929	0.5386742	No	
row_94	SASH3	na	5522	0.09135133773088455	0.53728306	No	
row_95	CD40	na	5532	0.09117154031991959	0.54029477	No	
row_96	NFAM1	na	5613	0.08924736082553864	0.53975487	No	
row_97	AHR	na	5796	0.08478858321905136	0.5340486	No	
row_98	LYN	na	6101	0.07773490250110626	0.52209777	No	
row_99	MMP14	na	6149	0.07665082067251205	0.5226977	No	
row_100	SHLD3	na	6234	0.07500002533197403	0.5214223	No	
row_101	PTPRC	na	6292	0.07362503558397293	0.52141774	No	
row_102	TBC1D10C	na	6446	0.07033555209636688	0.516585	No	
row_103	BTK	na	6971	0.06004887446761131	0.49318537	No	
row_104	MIF	na	6977	0.05994002893567085	0.4952103	No	
row_105	MSH6	na	7002	0.05948887765407562	0.49628723	No	
row_106	PTPN6	na	7029	0.059058777987957	0.4972499	No	
row_107	CD74	na	7058	0.058552443981170654	0.4980954	No	
row_108	BAD	na	7200	0.05581777170300484	0.49330083	No	
row_109	MLH1	na	7225	0.05542168766260147	0.4942237	No	
row_110	ATAD5	na	7500	0.050281405448913574	0.4827031	No	
row_111	CD300A	na	7526	0.04972907900810242	0.48336142	No	
row_112	INHA	na	7686	0.046626977622509	0.47733688	No	
row_113	EXOSC6	na	7691	0.046447038650512695	0.47889984	No	
row_114	ZFP36L1	na	7855	0.04346897453069687	0.47255972	No	
row_115	IGHE	na	7958	0.041321296244859695	0.469127	No	
row_116	NDFIP1	na	7992	0.04081908240914345	0.46905595	No	
row_117	PAWR	na	8035	0.04011545702815056	0.4685173	No	
row_118	MNDA	na	8797	0.02610873058438301	0.4322204	No	
row_119	CD81	na	8817	0.025725362822413445	0.4322637	No	
row_120	TNFAIP3	na	8928	0.023583149537444115	0.42776728	No	
row_121	INPP5D	na	8945	0.023353302851319313	0.4278677	No	
